"text","number","abbr"
"World","1.1","PW_WO"
"Earth, Land","1.21","PW_EL"
"Ground, Soil","1.212","PW_GS"
"Dust, Powder","1.213","PW_DU"
"Mud, Mire","1.214","PW_MU"
"Sand, Grit","1.215","PW_SA"
"Hill, Mountain","1.22","PW_MH"
"Plain, Field","1.23","PW_PF"
"Dale, Valley","1.24","PW_VA"
"Isle, Island","1.25","PW_IS"
"Mainland, Continent","1.26","PW_ML"
"Shore, Beach","1.27","PW_SH"
"Water","1.31","PW_WA"
"Sea","1.32","PW_SE"
"Lake, Pond","1.33","PW_LA"
"Gulf, Bay","1.34","PW_GB"
"Wave, Surge","1.35","PW_WV"
"Brook, Stream, River","1.36","PW_RS"
"Spring, Well","1.37","PW_SW"
"Woods, Forest","1.41","PW_WF"
"Tree, Oak","1.42","PW_TR"
"Wood, Timber","1.43","PW_WD"
"Rock, Stone","1.44","PW_SR"
"Sky, Heavens","1.51","PW_SK"
"Sun","1.52","PW_SU"
"Moon","1.53","PW_MO"
"Star","1.54","PW_ST"
"Flash, Lightning","1.55","PW_LI"
"Noise, Thunder","1.56","PW_TH"
"Thunderbolt, Lightning Strike","1.57","PW_LT"
"Light","1.61","PW_LG"
"Darkness","1.62","PW_DA"
"Shade, Shadow","1.63","PW_SD"
"Air, Ether","1.71","PW_AI"
"Wind, Breeze","1.72","PW_WI"
"Cloud, Mirk","1.73","PW_CL"
"Mist, Fog, Haze","1.74","PW_MI"
"Rain (n)","1.75","PW_RA"
"Snow (n)","1.76","PW_SN"
"Ice, Frost","1.77","PW_IC"
"Weather","1.78","PW_WE"
"Fire (n)","1.81","PW_FI"
"Flame (n)","1.82","PW_FL"
"Smoke (n)","1.83","PW_SM"
"Ash(es)","1.84","PW_AS"
"to Burn, Scorch","1.85","PW_BU"
"to Light, Kindle","1.86","PW_LK"
"Match, Fire Stick","1.87","PW_MT"
"Human Being","2.1","MK_HB"
"Man","2.21","MK_MA"
"Woman","2.22","MK_WO"
"Male","2.23","MK_MS"
"Female","2.24","MK_FS"
"Sex","2.242","MK_SX"
"Boy","2.25","MK_BO"
"Girl","2.26","MK_GI"
"Child","2.27","MK_CH"
"Infant","2.28","MK_IN"
"Husband","2.31","MK_HU"
"Wife","2.32","MK_WI"
