Starling ID,Headwords,Gloss,chosen_abbr,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR001,*ac-,mould (n.),PA_MD,PA_MD,"Physical Acts & Materials — to Mold, Form",0.533,CA_RA,Clothing & Adornment — Razor,0.342,CA_LO,Clothing & Adornment — Loom,0.335
PDR002,*ac-,thorn; to cut,WH_SP,WH_SP,Warfare & Hunting — Spear,0.425,PA_CU,Physical Acts & Materials — to Cut,0.419,WH_SW,Warfare & Hunting — Sword,0.405
PDR003,*aḍái,to hide; to press down,BP_SH,BP_SH,"Body Parts & Functions — Skin, Hide",0.459,SR_HC,"Spatial Relations — to Hide, Conceal",0.435,CA_BU,Clothing & Adornment — Button,0.341
PDR004,*aḍái,green plants (leaves),AV_LE,AV_LE,Agriculture & Vegetation — Leaf,0.593,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.478,AV_TO,Agriculture & Vegetation — Tobacco,0.462
PDR005,*aḍái ~ *aḍí,"to compact, gather together; lump, clot",SR_CG,SR_CG,"Spatial Relations — to Gather, Collect",0.352,SR_NS,Spatial Relations — Thin (in Density),0.318,PA_FO,Physical Acts & Materials — to Fold,0.317
PDR006,*aḍái[j]āḷ- (?),"mark, token",CA_BU,CA_BU,Clothing & Adornment — Button,0.295,CA_NA,Clothing & Adornment — Napkin,0.294,PT_CO,Possession & Trade — Coin,0.293
PDR007,*aḍái[-kāj/-kat-],areca nut (betel nut),FD_NT,FD_NT,Food & Drink — Nut,0.564,FD_FI,Food & Drink — Fig,0.396,FD_MF,"Food & Drink — Meal, Flour",0.356
PDR008,*adáḷ-,"to start, be alarmed",TI_BB,TI_BB,Time — to Begin; Beginning,0.495,EM_FF,"Emotion — Fear, Fright",0.411,TI_FI,Time — to Finish,0.352
PDR009,*aḍál- ~ *aḍáv-,a k. of marine fish,AN_FI,AN_FI,Animals — Fish (n),0.598,AN_FM,Animals — Fisherman,0.565,PW_SE,Physical World — Sea,0.427
PDR010,*aḌ[Ḍ]- (?),thirst; hunger,FD_TH,FD_TH,Food & Drink — Thirst (n),0.806,FD_HU,Food & Drink — Hunger (n),0.782,FD_SS,Food & Drink — Sugar,0.552
PDR011,*ádda- [?],mirror,CA_MR,CA_MR,Clothing & Adornment — Mirror,0.543,MT_TR,"Mind & Thought — to Think, Reflect",0.448,TI_DW,Time — Dawn,0.340
PDR012,*áḍḍa- ~ *aḍái-,to hinder; obstacle,MO_PU,MO_PU,Motion & Transportation — to Pursue,0.411,MO_FE,Motion & Transportation — to Flee,0.409,TI_HH,"Time — to Hurry, Hasten",0.394
PDR013,*áḍḍi-,"necklace, ornament",CA_NC,CA_NC,Clothing & Adornment — Necklace,0.696,CA_FR,Clothing & Adornment — Finger Ring,0.511,CA_BR,"Clothing & Adornment — Armband, Bracelet",0.494
PDR014,*aḍí,"foot; lower, below",BP_FT,BP_FT,Body Parts & Functions — Foot,0.583,BP_TE,Body Parts & Functions — Toe,0.478,BP_LE,Body Parts & Functions — Leg,0.382
PDR015,*aḍí-,"to flap, throb",BP_YG,BP_YG,"Body Parts & Functions — to Gape, Yawn",0.292,TI_FI,Time — to Finish,0.288,AV_TH,Agriculture & Vegetation — to Thresh,0.277
