Starling ID,Headwords,Gloss,chosen_abbr,v1_choice,differs_from_v1,enrichment_used,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR001,*ac-,mould (n.),PA_MD,PA_MD,,yes,PA_MD,"Physical Acts & Materials — to Mold, Form",0.447,PA_PO,Physical Acts & Materials — to Pour,0.352,PA_CL,Physical Acts & Materials — Clay,0.340
PDR002,*ac-,thorn; to cut,WH_SW,WH_SP,YES,yes,WH_SW,Warfare & Hunting — Sword,0.416,WH_BA,Warfare & Hunting — Battle-Ax,0.355,WH_SP,Warfare & Hunting — Spear,0.352
PDR003,*aḍái,to hide; to press down,SR_HC,BP_SH,YES,yes,SR_HC,"Spatial Relations — to Hide, Conceal",0.453,MO_FE,Motion & Transportation — to Flee,0.382,BP_SH,"Body Parts & Functions — Skin, Hide",0.366
PDR004,*aḍái,green plants (leaves),AV_LE,AV_LE,,yes,AV_LE,Agriculture & Vegetation — Leaf,0.535,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.510,AV_CH,"Agriculture & Vegetation — Crop, Harvest",0.425
PDR005,*aḍái ~ *aḍí,"to compact, gather together; lump, clot",SR_CG,SR_CG,,yes,SR_CG,"Spatial Relations — to Gather, Collect",0.435,QN_CW,Quantity & Number — Other Collective Words,0.317,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.309
PDR006,*aḍái[j]āḷ- (?),"mark, token",WH_SP,CA_BU,YES,yes,WH_SP,Warfare & Hunting — Spear,0.285,WH_SW,Warfare & Hunting — Sword,0.262,CA_VE,Clothing & Adornment — Veil,0.256
PDR007,*aḍái[-kāj/-kat-],areca nut (betel nut),FD_NT,FD_NT,,yes,FD_NT,Food & Drink — Nut,0.528,FD_PE,Food & Drink — Pea,0.364,FD_FI,Food & Drink — Fig,0.348
PDR008,*adáḷ-,"to start, be alarmed",EM_FF,TI_BB,YES,yes,EM_FF,"Emotion — Fear, Fright",0.425,EM_DG,"Emotion — Peril, Danger",0.382,EM_AN,Emotion — Anxiety,0.356
PDR009,*aḍál- ~ *aḍáv-,a k. of marine fish,AN_FI,AN_FI,,yes,AN_FI,Animals — Fish (n),0.498,AN_FM,Animals — Fisherman,0.445,PW_SE,Physical World — Sea,0.334
PDR010,*aḌ[Ḍ]- (?),thirst; hunger,FD_TH,FD_TH,,yes,FD_TH,Food & Drink — Thirst (n),0.664,FD_HU,Food & Drink — Hunger (n),0.548,EM_DE,Emotion — to Desire,0.513
PDR011,*ádda- [?],mirror,CA_MR,CA_MR,,yes,CA_MR,Clothing & Adornment — Mirror,0.509,BP_EY,Body Parts & Functions — Eye,0.287,SP_SE,Sense Perception — to See,0.278
PDR012,*áḍḍa- ~ *aḍái-,to hinder; obstacle,SO_HP,MO_PU,YES,yes,SO_HP,"Social Relations — to Hinder, Prevent",0.437,TI_DE,Time — to Delay,0.370,TI_CE,Time — to Cease,0.355
PDR013,*áḍḍi-,"necklace, ornament",CA_NC,CA_NC,,yes,CA_NC,Clothing & Adornment — Necklace,0.737,CA_JW,"Clothing & Adornment — Gem, Jewel",0.566,CA_BR,"Clothing & Adornment — Armband, Bracelet",0.561
PDR014,*aḍí,"foot; lower, below",BP_FT,BP_FT,,yes,BP_FT,Body Parts & Functions — Foot,0.576,BP_TE,Body Parts & Functions — Toe,0.459,CA_SO,Clothing & Adornment — Shoe,0.404
PDR015,*aḍí-,"to flap, throb",PA_SO,BP_YG,YES,yes,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.395,MO_SH,Motion & Transportation — to Shake,0.364,PA_FS,"Physical Acts & Materials — to Flay, Skin",0.359
PDR016,*adír-,"to shake, tremble; to be troubled",MO_SH,MO_SH,,yes,MO_SH,Motion & Transportation — to Shake,0.619,EM_GR,Emotion — to Groan,0.446,EM_FF,"Emotion — Fear, Fright",0.412
PDR017,*aḍú-,"fit, appropriate",CA_TR,CA_TA,YES,yes,CA_TR,Clothing & Adornment — Trousers,0.354,CA_SO,Clothing & Adornment — Shoe,0.351,CA_TA,"Clothing & Adornment — Tailor, Seamstress",0.338
PDR018,*aḍ-[úg-],"to ask, request",LM_AR,LM_AR,,yes,LM_AR,"Language & Music — to Ask, Request",0.499,LM_AQ,"Language & Music — to Question, Inquire",0.441,SO_CO,Social Relations — to Compel,0.376
PDR019,*adúm-,"to squeeze, press",PA_PR,PA_PR,,yes,PA_PR,Physical Acts & Materials — to Press,0.489,PA_RU,Physical Acts & Materials — to Rub,0.429,PA_SR,Physical Acts & Materials — to Stretch,0.419
PDR020,*aḍ-[úŋ]-,"to be piled up, arranged",PA_SO,PT_SP,YES,yes,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.429,SR_CG,"Spatial Relations — to Gather, Collect",0.398,MO_PS,"Motion & Transportation — to Push, Shove",0.383
PDR021,*aḍV́-,to strike,PA_SH,PA_SH,,yes,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",0.555,EM_RF,"Emotion — Rage, Fury",0.347,PA_CV,Physical Acts & Materials — to Carve,0.326
PDR022,*aḍV́-,to be near; to happen,SR_NE,SR_NE,,yes,SR_NE,Spatial Relations — Near (adj),0.621,SR_FR,Spatial Relations — Far (adj),0.423,SR_SI,Spatial Relations — to Sit,0.385
PDR023,*aḍV́-,bad,EM_BD,EM_BD,,yes,EM_BD,Emotion — Bad,0.506,EM_GD,Emotion — Good,0.403,EM_SA,Emotion — Sad,0.291
PDR024,*agá-,1 to appear 2 inside,DF_RO,QN_ON,YES,yes,DF_RO,Dwellings & Furniture — Room,0.334,DF_DG,"Dwellings & Furniture — Door, Gate",0.323,DF_DW,"Dwellings & Furniture — to Live, Dwell",0.300
PDR025,*agá-,"to press, hold firmly",PA_PR,PA_PR,,yes,PA_PR,Physical Acts & Materials — to Press,0.459,MO_PS,"Motion & Transportation — to Push, Shove",0.381,PA_RU,Physical Acts & Materials — to Rub,0.358
PDR026,*agáḍ-,viciousness; fault,EM_RF,EM_FA,YES,yes,EM_RF,"Emotion — Rage, Fury",0.479,EM_HT,Emotion — Hate (n),0.476,EM_AG,Emotion — Anger,0.423
PDR027,*agái,"to be broken, torn",PA_TE,EM_TR,YES,yes,PA_TE,Physical Acts & Materials — to Tear,0.581,PA_BK,Physical Acts & Materials — to Break,0.487,EM_CW,"Emotion — to Cry, Weep",0.431
PDR028,*agál-,"1 wide, broad 2 to leave, depart",MO_GA,SR_RO,YES,yes,MO_GA,"Motion & Transportation — to Depart, Go Away",0.503,SR_LE,"Spatial Relations — to Leave, Relinquish",0.382,MO_FE,Motion & Transportation — to Flee,0.353
PDR029,*agál-,pot (earthen),FD_PO,FD_PO,,yes,FD_PO,Food & Drink — Pot,0.595,FD_BO,Food & Drink — to Boil (trans,0.410,FD_CO,Food & Drink — to Cook,0.379
PDR030,*agápai,ladle,FD_SP,FD_ML,YES,yes,FD_SP,Food & Drink — Spoon,0.416,PA_PO,Physical Acts & Materials — to Pour,0.389,FD_KD,Food & Drink — to Knead,0.371
PDR031,*agásaj-,common flax,CA_FL,CA_FL,,yes,CA_FL,"Clothing & Adornment — Flax, Linen",0.547,AV_GG,"Agriculture & Vegetation — Grain (generic, British Corn)",0.460,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.385
PDR032,*agásti,a k. of tree (pea-tree),AV_TR,AV_TR,,yes,AV_TR,Agriculture & Vegetation — Tree (generic),0.523,PW_TR,"Physical World — Tree, Oak",0.416,FD_PE,Food & Drink — Pea,0.397
PDR033,*agáẓ-,to dig,AV_DI,AV_DI,,yes,AV_DI,"Agriculture & Vegetation — to Dig, Delve",0.574,AV_SH,Agriculture & Vegetation — Shovel (n),0.444,AV_PL,Agriculture & Vegetation — to Plow; Plow,0.406
PDR034,*ággai,"sprout, shoot",AV_SS,AV_SS,,yes,AV_SS,Agriculture & Vegetation — to Sow; Seed,0.466,AV_RO,Agriculture & Vegetation — Root,0.400,AV_LE,Agriculture & Vegetation — Leaf,0.392
PDR035,*agí-,"to fear, tremble",EM_FF,EM_FF,,yes,EM_FF,"Emotion — Fear, Fright",0.537,EM_TC,"Emotion — Timid, Cowardly",0.453,EM_DG,"Emotion — Peril, Danger",0.414
