Starling ID,Headwords,Gloss,chosen_abbr,llm_second,v1_choice,v2_choice,agrees_v1,agrees_v2
PDR001,*ac-,mould (n.),PA_MD,PA_MA,PA_MD,PA_MD,YES,YES
PDR002,*ac-,thorn; to cut,PA_CU,PW_SR,WH_SP,WH_SW,,
PDR003,*aḍái,to hide; to press down,SR_HC,SR_SH,BP_SH,SR_HC,,YES
PDR004,*aḍái,green plants (leaves),AV_LE,AV_PN,AV_LE,AV_LE,YES,YES
PDR005,*aḍái ~ *aḍí,"to compact, gather together; lump, clot",SR_CG,PA_SO,SR_CG,SR_CG,YES,YES
PDR006,*aḍái[j]āḷ- (?),"mark, token",SR_SN,LM_WR,CA_BU,WH_SP,,
PDR007,*aḍái[-kāj/-kat-],areca nut (betel nut),FD_VE,AV_PN,FD_NT,FD_NT,,
PDR008,*adáḷ-,"to start, be alarmed",EM_FF,EM_AG,TI_BB,EM_FF,,YES
PDR009,*aḍál- ~ *aḍáv-,a k. of marine fish,AN_FI,AN_AN,AN_FI,AN_FI,YES,YES
PDR010,*aḌ[Ḍ]- (?),thirst; hunger,FD_TH,FD_HU,FD_TH,FD_TH,YES,YES
PDR011,*ádda- [?],mirror,CA_MR,PA_GL,CA_MR,CA_MR,YES,YES
PDR012,*áḍḍa- ~ *aḍái-,to hinder; obstacle,SO_HP,SR_SH,MO_PU,SO_HP,,YES
PDR013,*áḍḍi-,"necklace, ornament",CA_NC,CA_AD,CA_NC,CA_NC,YES,YES
PDR014,*aḍí,"foot; lower, below",BP_FT,SR_BO,BP_FT,BP_FT,YES,YES
PDR015,*aḍí-,"to flap, throb",MO_SH,BP_BB,BP_YG,PA_SO,,
PDR016,*adír-,"to shake, tremble; to be troubled",MO_SH,EM_FF,MO_SH,MO_SH,YES,YES
PDR017,*aḍú-,"fit, appropriate",EM_GD,SR_EQ,CA_TA,CA_TR,,
PDR018,*aḍ-[úg-],"to ask, request",LM_AR,LM_AQ,LM_AR,LM_AR,YES,YES
PDR019,*adúm-,"to squeeze, press",PA_PR,PA_CU,PA_PR,PA_PR,YES,YES
PDR020,*aḍ-[úŋ]-,"to be piled up, arranged",PA_SO,,PT_SP,PA_SO,,YES
PDR021,*aḍV́-,to strike,PA_SH,WH_FI,PA_SH,PA_SH,YES,YES
PDR022,*aḍV́-,to be near; to happen,SR_NE,MO_AP,SR_NE,SR_NE,YES,YES
PDR023,*aḍV́-,bad,EM_BD,MT_FS,EM_BD,EM_BD,YES,YES
PDR024,*agá-,1 to appear 2 inside,SR_PL,BP_FC,QN_ON,DF_RO,,
PDR025,*agá-,"to press, hold firmly",PA_PR,PT_HO,PA_PR,PA_PR,YES,YES
PDR026,*agáḍ-,viciousness; fault,EM_BD,EM_FA,EM_FA,EM_RF,,
PDR027,*agái,"to be broken, torn",PA_BK,PA_TE,EM_TR,PA_TE,,
PDR028,*agál-,"1 wide, broad 2 to leave, depart",SR_WB,MO_GA,SR_RO,MO_GA,,
PDR029,*agál-,pot (earthen),FD_PO,PA_MD,FD_PO,FD_PO,YES,YES
PDR030,*agápai,ladle,FD_SP,FD_BW,FD_ML,FD_SP,,YES
PDR031,*agásaj-,common flax,CA_FL,AV_PN,CA_FL,CA_FL,YES,YES
PDR032,*agásti,a k. of tree (pea-tree),AV_TR,FD_FR,AV_TR,AV_TR,YES,YES
PDR033,*agáẓ-,to dig,AV_DI,PA_CU,AV_DI,AV_DI,YES,YES
PDR034,*ággai,"sprout, shoot",AV_PN,SR_GW,AV_SS,AV_SS,,
PDR035,*agí-,"to fear, tremble",EM_FF,MO_SH,EM_FF,EM_FF,YES,YES
PDR036,*agíl,eagle-wood,AV_TR,PA_GO,PW_WD,PW_WD,,
PDR037,*aj-,mother,MK_MO,MK_GM,MK_ML,MK_MO,,YES
PDR038,*ája-,an elder relative (father's brother; grandfather; father),MK_UN,MK_FA,MK_BS,MK_FL,,
PDR039,*ája- ~ *ajír-,"to doubt, suspect",MT_DB,MT_SU,MT_SU,MT_SU,,
PDR040,*ak-,an elder relative,MK_SI,MK_GM,MK_GM,MK_GM,,
PDR041,*a-/*ā,that (over there),SR_PL,SR_HI,SR_NE,EM_PD,,
PDR042,*al-,"to weave, plait",CA_WE,PA_PL,CA_WE,CA_WE,YES,YES
PDR043,*al-,negative morpheme,LM_ST,MT_TR,EM_HT,EM_HT,,
PDR044,*aḷ-,"to sprinkle, bail out",PA_SO,FD_CO,FD_SU,PA_SO,,YES
PDR045,*àḷ-,fat; strength,BP_SM,BP_FL,BP_SM,FD_BT,YES,
PDR046,*àḷ-,"cave, hole",SR_HL,PW_WF,SR_HL,SR_HL,YES,YES
PDR047,*aḷ-,"to fear, be afraid",EM_FF,EM_TC,EM_FF,EM_FF,YES,YES
PDR048,*al-,"to spread, cover",PA_SO,SR_CO,PA_SO,PA_SO,YES,YES
PDR049,*al- (?),dog,AN_DO,AN_AN,AN_DO,AN_DO,YES,YES
PDR050,*alá-,to suffer (= to be weary),EM_PS,BP_WE,EM_PS,EM_PS,YES,YES
PDR051,*aḷ-a-,to measure,SR_MS,QN_QN,SR_MS,SR_MS,YES,YES
PDR052,*aḷ-a-,"to mix; to join, approach",,SR_JU,FD_MX,FD_MX,,
PDR053,*alá-,to make verbal noise,LM_VC,LM_SC,LM_BS,LM_BS,,
PDR054,*alág-,blade; splint,PA_TO,WH_WA,PA_KF,WH_SW,,
PDR055,*alág-,parched rice,FD_FD,AV_GG,AV_RI,AV_RI,,
PDR056,*alái-,"to wave, move from side to side, wander",MO_SH,MO_MO,MO_FE,MO_SH,,YES
PDR057,*alái-,to rinse,PA_WA,FD_CO,PA_WA,PA_WA,YES,YES
PDR058,*alár-,to blossom,AV_FL,SR_GW,AV_FL,AV_FL,YES,YES
PDR059,*alé,vocative interjection,LM_VC,LM_CS,SR_SE,LM_VO,,
