Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"ask- ""to cut (meat), carve""",to cut,,Gondwan etymology,,"Also Gondi_Traskānā, Gondi_Muask-to cut (meat), carve (ask-is pl. action ofacc-)",,,,,,,,,17,46,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=3&root=config
"aḍḍām ""(SR) shelter""",obstacle; shelter,,Gondwan etymology,,,,,,,,,,,34,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=8&root=config
"aril ""chest of body""",udder; chest,,Gondwan etymology,,,,,,,,,"Retroflex articulation in Betul and Mandla is strange and probably erroneous. Various epenthetic vowels in different dialects are due to developments*arjil>*arijl>*arijVl, on one side, and*arjil>*arVjil>*arVjl>*arVjVl, on the other.",,76,200,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=37&root=config
ar-,to fall,,Gondwan etymology,,"Also caus. Gondi_Trarhuttānā, Gondi_Pharahtānā,arsahtānā, Gondi_Muarih-/arh-, Gondi_Sarah-, Gondi_A (SR)arusānāto cause to fall; Gondi_Korāl-to fall (< Telugu)",,,,,,,,,"72, 3027",233,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=29&root=config
rokk-,to be digested,,Gondwan etymology,,,,,,,,,,,,316,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1066&root=config
aṭṭ-,to cook,,Gondwan etymology,,Also Gondi_Traṭyārboiling water; Gondi_A (SR)aṭvālcooking-pot,,,,,,,,,"26, 27, 28",76,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=41&root=config
"aviyānā ""(SR) to be tired""",to be tired,,Gondwan etymology,,,,,,,,,The intransitive form is*avi-; the opposite transitive one is*av-k-.,,101,267,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=45&root=config
"ārānā ""(SR) to cool""",to warm oneself; cool,,Gondwan etymology,,Also Gondi_Ph caus.ārsahtānā; Gondi_Mu caus.ārih-; Gondi_S caus.ārcah-,,,,,,,,,135,404,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=49&root=config
"āg- ""(Su.) to stop, stand""",to stop,,Gondwan etymology,,Also Gondi_Ko (T)āp-to make stop; Gondi_Ko (Su)āŋ-to stop (intr.);āp-id. (tr.),,,,,,,,,,340,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=67&root=config
"baḍḍe, (SR) baḍḍi, baḍga",stick,,Gondwan etymology,,,,,,,,,,,2510,5224,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=71&root=config
"banḍa ""stone, rock, hail""",stone,,Gondwan etymology,,,,,,,,,,,2484,3903,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=74&root=config
bheli,jaggery,,,,,,,,,,,,,2667,5494,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=89&root=config
"moḍ, (SR) maḍḍ",navel,,Gondwan etymology,,,,,,,,,,,2977,4460,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=732&root=config
"bōṛkal, (SR) bhoḍkal",bald,,Gondwan etymology,,,,,,,,,,,2654,4600,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=108&root=config
purka,gourd,,Gondwan etymology,,,,,,,,,,,2307,4332,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=110&root=config
"būrā ""down""",down; feathers,,Gondwan etymology,,,,,,,,,,,"2589, 2316, 2584",4358,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=118&root=config
"cāhānā ""to stretch""","to stretch, spread",,Gondwan etymology,,"Also Gondi_Tr, Gondi_A (SR)sāngānāto spread as a creeper; Gondi_Ma caus.āʔ-; Gondi_Koāh-to stretch out",,,,,,,The Adilabad form shows an irregular c-; Telugu influence?,,3365,2433,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1097&root=config
sēlāṛ (pl. sēlāk),younger sister,,Gondwan etymology,,,,,,,,,,,3486,2783,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1107&root=config
"hilgānā ""(SR) to entangle""",to be entangled,,Gondwan etymology,,,,,,,,,"Burrow & Emeneau put this root together with*jiRk-, but this is impossible. Not only the resonant is different, but alsoh-in Gondi_A and Gondi_Tr hardly can be traced back to*j-. More probable is the reconstruction*c-or*s-with a usual mix-up before*-l-.",,3553,2498,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1118&root=config
sikāṭi,darkness,,Gondwan etymology,,,,,,,,,"Gondi_Mu is irregular (*hīkaṛwould be expected), probably re-borrowed from another dialect.",,3379,2604,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1132&root=config
coh-,to itch,,Gondwan etymology,,"Also Gondi_Trsohalē-jāṭāthe kōnch or cow-itch, Mucuna pruriens; Gondi_A (Su.)coh-,cohk-to itch",,,,,,,,,3499,2865,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1148&root=config
"supe ""(SR) small mouse""","mouse, rat",,Gondwan etymology,,,,,,,,,,,3440,2675,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1172&root=config
"surve ""(SR) medium-sized beehive""",bee; honeycomb,,Gondwan etymology,,Also Gondi_Maor̨vekind of bee;or̨ve neyihoney,,,,,,,Gondi_Maur̨ve tallahasu-probably due to specific accent/reduction reasons.,,3448,2689,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1164&root=config
