Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"achchānā ""to be cut (of one's foot on a stump, or one's hand with a penknife)""",to cut,,Gondwan etymology,,"Also Gondi_Traskānā, Gondi_Muask-to cut (meat), carve (ask-is pl. action ofacc-)",,,,,,,,,17,46,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=3&root=config
"addām ""shelter""",obstacle; shelter,,Gondwan etymology,,,,,,,,,,,34,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=8&root=config
aḍrai,bad,,Gondwan etymology,,,,,,,,,,,36,107,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=11&root=config
"yāyāl ""mother""",mother; female,,Gondwan etymology,,Also Gondi_Wmaijūwife,,,,,,,"The form*māy-means 'my mother', while*mīy-is 'your mother'",,"69, 180, 2796, 2854, 3007",364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1430&root=config
"akkō ""mother's father (said by granddaughter)""",grandfather; grandchild,,Gondwan etymology,,,,,,,,,,,"6, 7",24,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=18&root=config
"ōr/ōl (obl. ōn-), pl. ōṛ/ōṛk ""he, that man, those men""","he, that man",,Gondwan etymology,,,,,,,,,,,441,1,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=884&root=config
tannāl,elder brother,,Gondwan etymology,,Also Gondi_Trtanhaṛālelder brother (respectful),,,,,,,In some dialects only encountered with the pronominal prefixt-.,,1652,131,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=28&root=config
tangē,elder brother's wife,,Gondwan etymology,,Also Gondi_FHangesister-in-law,,,,,,,Koyayeŋgeshould be considered as a 1st person possessive form ('my..'),,"15, 1644",3015,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=47&root=config
āpōṛā̆l,father,,Gondwan etymology,,"Also Gondi_Trmaipōmy father;mī-āpōthy father; Gondi_Ko (Su.)tappe(his, her) father",,,,,,,,,"133, 1656",156,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=59&root=config
"aṛīl ""udder""",udder; chest,,Gondwan etymology,,,,,,,,,"Retroflex articulation in Betul and Mandla is strange and probably erroneous. Various epenthetic vowels in different dialects are due to developments*arjil>*arijl>*arijVl, on one side, and*arjil>*arVjil>*arVjl>*arVjVl, on the other.",,76,200,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=37&root=config
