Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
aḍ,to hinder; obstacle,,,,,,,,,,,"The best evidence for the inlaut voiced geminate comes from South Dravidian languages (Kannada, Kodagu, and Tulu; in the Nilgiris gemination was lost due to the geminate finding itself in the absolute auslaut position after the syncopation of the last syllable) and Telugu. As for Central Dravidian forms, many of them may actually reflect old re-borrowings from Telugu, due to both the irregular-min the auslaut and the scarceness of the forms (in many languages, only*aḍḍa-m""obstacle"" is attested without the corresponding verbal stems). However, Kondaaṛkandaḍi-are probably original. So are the NDR forms. Cf. also cases like PDR*mok- ~ *mogám""face"" in which the original*-mis almost certainly preserved in Central Dravidian languages. // Present in 6/6 branches.",,,,,,,1,12,
aḍ,"sheltered; shelter, protection",,Dravidian etymology,,"Also BRAaṛobstacle, obstruction, entanglement;aṛīobstacle, obstruction.",,,,,,,,,,83,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=1&root=config
d-ā,that (over there),,Nostratic etymology,,,,,,,,,"In the North Dravidian database cf. also*ā-r,*ā-s,*ā-d, etc. (Additional derivative entries are also available in Telugu and other databases). For Brahuidāsee DEDR 1. // Present in 6/6 branches.",,,,,,,3,1,
d-ā,this,,Dravidian etymology,,,,,,,,,,,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=53&root=config
all-ī,"to weave, plait",,,,,,,,,,,A good common PDR monosyllabic root. // Present in 5/6 branches.,,,,,,,3,2,
all-ī,needlework pattern,,Dravidian etymology,,,,,,,,,,,,260,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=5&root=config
all-,negative morpheme,,Nostratic etymology,,,,,,,,,"A rather common negation morpheme with well-known Nostratic parallels. Its main competition is PDR*śil-with more or less the same meaning (sometimes the two forms are in complementary distribution between branches - e. g. only*śil-is found in Telugu, onlyall-in Brahui). // Present in 4/6 branches.",,,,,,,3,3,
all-,base of past neg. tenses ofanningto be,,Dravidian etymology,,"Also BRAala,alavācertainly not, not a bit of it",,,,,,,,,,234,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=4&root=config
all-a,to suffer (= to be weary),,Nostratic etymology,,,,,,,,,"Cf. also Kuialāṛi'fatigue, distress from fatigue, exhaustion'. See the South Dravidian entry for the possibility of separating SDR*ala-'suffer' from SDR*alai-'wander, shake;caus.harass, annoy'. In this respect it is interesting to consider some of the syncopated/non-syncopated doublets given by Burrow & Emeneau in the same entry: cf. Kuialāṛivs.laha'languor, laziness'; Kur.algāvs.layākoyā, etc. Of course, a final judgement is different to give based on lack of definitive knowledge on the rules of vowel reduction in Gondwan (not to mention North Dravidian, where initiall-is exceedingly rare in the first place). // Present in 5/6 branches.",,,,,,,3,10,
all-a,commotion (KR-46),,Dravidian etymology,,,,,,,,,,,,0,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=261&root=config
hall-ing,"to mix; to join, approach",,,,,,,,,,,The PGn form is dubious.,,,,,,,3,12,
hall-ing,"(present halē-, inper. hal_h_, past halk-) to seize, hold, buy, overtake, detect, tack together (a tear); get caught, stick",,Dravidian etymology,,,,,,,,,,,,296,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=65&root=config
ammā,mother (hon.),,Nostratic etymology,,,,,,,,,"The most common, and most certainly, primary meaning of the stem is 'mother'; however, much like*ápa-, this is the ""formal"" root for this relative, and is in that function opposed to*aj-q. v. // Present in 5/6 branches.",,,,,,,4,3,
ammā,"mother, grandmother; respectful term of address to any woman",,Dravidian etymology,,,,,,,,,,,,183,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=260&root=config
han-inging,"to join, unite",,Nostratic etymology,,,,,,,,,"A common PDR stem commonly displaying two variants, with*anḍ-being the exclusive one in all of Central Dravidian and*aṇái-safely reconstructed only for PSDR (and Telugu, ifanãgu'to mix' really belongs here). Some of the forms with-ṇṭ-may be due to contamination with*anṭ-'to stick'. The two stems, bisyllabic and monosyllabic with retroflex cluster, may well be related on a higher level (with the original root being*aṇ-, which then may have been preserved as an archaism in Tam.aṇṇu), but separate origins cannot be excluded either. // Present in 6/6 branches.",,,,,,,4,13,
han-inging,to copulate (of human beings),,Dravidian etymology,,Alsoaningingid. (KR-23),,,,,,,,,,120,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=67&root=config
hamp-ing,1 to load 2 to send away,,,,,,,,,,,The NDR forms suggest that the base*an-p-is archaic enough to have been represented in PDR.,,,,,,,5,3,
hamp-ing,"to load up, load up and go, start, depart, be wiped out",,Dravidian etymology,,"Also BRAhampifingto make to load, make to start off, help to load;hampstart, starting",,,,,,,,,,329,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=66&root=config
appā,cake (of rice flour; of special interest to children),,Nostratic etymology,,,,,,,,,"Certain problems are caused by the Tamil-Malayalam forms which feature initialā-; also unclear is the fact that Old Indian has the word asapūpá-,pūpa-(Turner 491). This does not include the possibility of Proto-Dravidian origin (cf. the Brahui parallel), but if the vowel length in Tamil and the trisyllabic structure of the OI form are related (e. g.āppa-<*apūpa-), this may hint at an obscure borrowing source for both subgroups. // Present in 3/6 branches.",,,,,,,5,14,
appā,children's food,,Dravidian etymology,,,,,,,,,,,,155,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=7&root=config
harr-ing,to cut,,,,,,,,,,,,,,,,,,6,13,
harr-ing,"to tear, rend asunder",,Dravidian etymology,,,,,,,,,,,,315,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=256&root=config
aval-ēnging,trouble; confusion,,,,,,,,,,,The Brahui form clearly shows that the stem has to be reconstructed as a [C]VCVR-type stem for PDR. // Present in 3/6 branches.,,,,,,,7,9,
aval-ēnging,"to become confused, feel embarrassed",,Dravidian etymology,,,,,,,,,,,,265,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=11&root=config
ann-ing,to be,,Nostratic etymology,,,,,,,,,,,,,,,,8,8,
ann-ing,"to be (stemsan-,ar-,as-a-)",,Dravidian etymology,,,,,,,,,,,,333,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=257&root=config
āv-āning,to yawn,,Nostratic etymology,,,,,,,,,Expressive.,,,,,,,9,12,
āv-āning,to yawn,,Dravidian etymology,,,,,,,,,,,,392,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=248&root=config
pūt,navel,,,,,,,,,,,,,,,,,,11,6,
pūt,"navel, umbilical cord",,Dravidian etymology,,,,,,,,,,,,4460,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=187&root=config
pōg_h_,charcoal,,,,,,,,,,,"If Maltoposan_g̣ebelongs here, the word should be reconstructed as*posaŋ, which later >*posŋ>*posg>*pozg>*pogg>*bogg. The problem with this reconstruction is that such a reduction would not be expected, not in Telugu, at least. On the other hand, it would explain the vowel length in Brahui.",,,,,,,11,7,
pōg_h_,charcoal,,Dravidian etymology,,,,,,,,,,,,4467,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=179&root=config
puṭ,"down, feather; hair",,Nostratic etymology,,,,,,,,,"Vowel length in PN and PKG is probably compensatory, due to simplification of the cluster. The exact nature of the cluster, however, is uknown, since PGn *-ṛy- is a very abstract reconstruction.",,,,,,,12,7,
puṭ,hair,,Dravidian etymology,,"Also BRApuṭ kanningto pluck (of a fowl, the tobacco crop);purruklong hair of males cut at the shoulders",,,,,,,,,,4358,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=175&root=config
curr-ing,to flow,,Nostratic etymology,,,,,,,,,,,,,,,,14,3,
curr-ing,"to flow, gush",,Dravidian etymology,,,,,,,,,,,,2883,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=40&root=config
cōṭ,lame,,Nostratic etymology,,,,,,,,,,,,,,,,14,6,
