Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"adka ""cooking pot [i.e.aṛka]""",cooking-pot,,Gondwan etymology,,,,,,,,,,,25,75,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=43&root=config
"cekkānā ""to cut""",piece; to cut,,Gondwan etymology,,Also Gondi_Acakkabark,,,,,,,It is unclear if Gondi_Sceppabelongs here or is a boroowing.,,"1357, 1356, 329, 1360, 1274",2748,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=128&root=config
"hupsānā ""to show""",to see,,Gondwan etymology,,"Also Gondi_Chd caus.huṛsutānāto show; Gondi_Whūṛsahtānāto reveal; Gondi_Ph, Gondi_Wsūrālblind",,,,,,,The formhupsānāis probably borrowed from Telugu.,,"3462, 3571",2735,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1176&root=config
tenmidi,eight,,Gondwan etymology,,AlsoGondi_Hislopyermudeight; Gondi_Traṛmuhkeight each,,,,,,,,,670,784,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=212&root=config
"ēr (pl. ērk) ""(ChD) he, this man, these men""","he, this man",,Gondwan etymology,,,,,,,,,"The original quality of the vowel has been preserved in Gondi_S (īn<*iv-n) and Gondi_Ch, which alone of all dialects has preserved some traces of-v-in its former position:iyel<*iv-l<*iv-nR. In most other dialects vowel quality has been modified, and some preserved the original-v-by means of a metathese.",,"390, 181, 212, 3314",410,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=348&root=config
"raiyor (pl. -k) ""boy""","boy, young man",,Gondwan etymology,,"Also Gondi_Tr, Gondi_Ph, Gondi_Chd fem.raiyā; Gondi_L fem.leyā; Gondi_Ma fem.leya(pl.-sk); Gondi_Ko fem.lēydaṛ, (T)ledāḍi;Gondi_A (Su.) fem.ḍiyyā; Gondi_A (SR)lehmīyouth",,,,,,,,,"3066, 3125",513,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=612&root=config
yēḍa,year,,Gondwan etymology,,Also Gondi_Ko (Su.)ēṇḍyear,,,,,,,,,379,5153,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1434&root=config
"karitānā ""to learn""",to learn; to teach,,Gondwan etymology,,"Also Gondi_A (SR)karivāla student;karusānāto teach; Gondi_Chdkarutānā, Gondi_Trkarehtānā, Gondi_Wkarahtānā, Gondi_Phkarrahtānā, Gondi_Mukarih-, Gondi_Makar̨ʔ-to teach",,,,,,,,,531,1297,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=380&root=config
kāvāl,crow,,Gondwan etymology,,,,,,,,,,,"619, 659",1425,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=448&root=config
"kīlitānā ""to roar (as a tiger)""","to weep, cry",,Gondwan etymology,,Also Gondi_Mu caus.kilh-/kilih-,,,,,,,,,695,1574,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=484&root=config
mothur,beginning,,Gondwan etymology,,,,,,,,,,,"2979, 2980",4950,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=730&root=config
"""nur""",hundred,,Gondwan etymology,,,,,,,,,"Also Hislopnur, Gondi_A (Su.)nūr(pl.nuhk) hundred",,2019,3729,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1442&root=config
"nor-, nohk-",to grind,,Gondwan etymology,,,,,,,,,,,2065,3728,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=859&root=config
"oda (i.e. ōḍa) ""donga""",boat,,Gondwan etymology,,,,,,,,,,,437,1039,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=888&root=config
"piyal ""noon""","day, daytime",,Gondwan etymology,,"Also Gondi_Mupaŋ, in:paŋ vīnahkthe whole night",,,,,,,,,"2072, 2122",3805,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=947&root=config
peyya,calf of either sex,,Gondwan etymology,,,,,,,,,,,2338,3939,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=948&root=config
"parkānā, (Pat.) pāhakānā",to search,,Gondwan etymology,,,,,,,,,,,2142,3956,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=913&root=config
"pad (pl. patk), (Pat.) padi",ten,,Gondwan etymology,,,,,,,,,,,2105,3918,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=893&root=config
