Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"ava ""elder brother's wife""",female relation,,Gondwan etymology,,,,,,,,,"In Kuwi_F-v-would be expected, since-w-usually goes back to epenthetic*-w-; probably a misspelling or positional variant.",,,273,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=34&root=config
"āca (pl. āska) ""woman""","woman, wife",,Gondwan etymology,,"Also Kuiāliwoman, wife (Letchmajee); Kuwi_Sācafemale",,,,,,,,,,400,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=53&root=config
"kanu būru ""eyebrow""","hair, fur; eyebrow",,Gondwan etymology,,Also Kuwi_Dbūrka(pl.) down,,,,,,,In Kuttia*būr-ma>*būṛ-ma>*bṛū-ma>*pṛū-ma.,,,4358,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=95&root=config
"suk'erika ""stars""",star,,Gondwan etymology,,,,,,,,,,,,2646,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=1128&root=config
"hu'uṛi ""slobber, saliva""","saliva, spittle",,Gondwan etymology,,,,,,,,,The strange correspondence probably reflects one more cluster.,,,2862,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=170&root=config
"ḍō- (-t-) ""to sleep""","to fall, lie down",,Gondwan etymology,,Also Kuwi_Sdulh-to shake off,,,,,,,"The original vowel is*o, as shown by external data. The reasons of*-o->*-u-in Kuwi  are unclear. Vowel length should be original because of loss of-l-; however, it is not, as shown by external data, and this makes us suggest that at least in this case loss of-l-is not connected with vowel length (maybe with the initial retroflex?)",,,2988,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=196&root=config
ne- (-t-),to arrive,,Gondwan etymology,,"Also Kuieppa(ept-) to cause to reach, cause to arrive at, cause to suffice; Kuwi_Isreda-to arrive (personal object);ep-(-it-) to cause to reach.",,,,,,,"The problem with this root is that in most (or all dialects) of Kui-Kuwi it was not used alone,  but only in combination with the root*vā-'to come' (*ey-v[ā]-) or other suffixes. In Kui*ey-v-a>*ey-pa>*e-pa, whileeppais a secondary causative. In Kuwi_F this cluster is probably responsible for the inlaut-j-(since PK*-y-normally > Kuwi_F-y-), although the exact way of development is unclear. Kuwi_Mah is an archaic form:egowā-obviously results from*ey-vā-. Then-in Kuwi_D is mysterious (although it does have parallels in Manda).",,,809,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=209&root=config
lēmpu,white ant,,Gondwan etymology,,,,,,,,,"Kuwi_D and Kuwi_P probably reflect an earlier variant of this bisyllabic root, namely,*elimbu. This is quite understandable for Kuwi_D - an extremely archaic dialect which has preserved old bisyllabic roots in a much better state than others, but unexplainable for Kuwi_P; we may suggest dialectal interaction. Inlaut-mp-in some dialects is not quite clear as well.",,,837,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=230&root=config
"er- (-t-) ""to light, ignite, kindle""","to light, ignite",,Gondwan etymology,,Also Kuirīva(rīt-) burns (of fire).,,,,,,,A typical former bisyllabic base.,,,811,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=993&root=config
dī- (-t-),to fall,,Gondwan etymology,,"Also Kui pl. actiondīpka(dīpki-);dippa(dipt-) to set down, put a pot on the fire",,,,,,,,,,502,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=148&root=config
ṛa'a (pl. -sika),young woman,,Gondwan etymology,,"Also Kuilāvenjugrown-up boy, young man, youth",,,,,,,,,,513,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=584&root=config
ōḍa,goat,,Gondwan etymology,,,,,,,,,,,,5152,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=803&root=config
"krē- (-t-) ""to sing""",story; to sing,,Gondwan etymology,,,,,,,,,"In Kui only the derivative 'story, song' has been preserved. Metathese in Kuwi_D, probably regular (too few material to prove that).",,,2006,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=455&root=config
gri'ni,ankle,,Gondwan etymology,,,,,,,,,In Kuwi_D*kirli>*krili>*grili. The-n-is either developed from-l-or a separate suffix (very hard to determine because of lack of material).,,,1563,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=469&root=config
gok-,to sit,,Gondwan etymology,,,,,,,,,In Kuwi dialects-o->-u-probably because of surrounding back consonants. This is also one of the cases when conjugations in Kui and Kuwi do not match: it is t-conjugation in Kui and it-conjugation in Kuwi.,,,1628,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=535&root=config
kurma,spider,,Gondwan etymology,,,,,,,,,"In Kui probably a voiced variant, assimilated to two resonants.",,,1800,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=548&root=config
sīvenḍi,pus,,Gondwan etymology,,,,,,,,,"Kuwi forms, which behave as if there was an initial*c-, might have been influenced by (or even directly borrowed from) Telugu, especially because of Kuwi_Psīmu(hīmuwould be expected in any case, were it PK*c-or*s-).",,,1606,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=1095&root=config
mara,tree,,Gondwan etymology,,,,,,,,,"Despite all the innumerous variants of this word in Kui and Kuwi dialects, it is the form with initial*mr-that is original. Two main factors have influenced the other variants: a) a tendency to eliminate the original cluster in favor of a permitted and well-used cluster-rn-, thus,*mrān->mā̆rn-; b) influence of plural forms, whence*mrānu>*māru.",,,4711,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=674&root=config
"ṭuḍu mur'eni ""back-bone""","spine, back-bone",,Gondwan etymology,,"Also Kuimusalipresenting the back, at the back of;musali āvato be at the back of;musali givato turn the back on",,,,,,,,,,4955,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=703&root=config
naṭ'a,bug,,Gondwan etymology,,,,,,,,,"The metathese is*-ṭk->-kṭ-(cf. PNDR*naṛgāid.); the mark ""i.e.nakṭa"" in Kuwi_F belongs to B&E - they are probably right, although I don't know why.",,,3621,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=737&root=config
li- (-t-),to stand,,Gondwan etymology,,"Also Kui_Pnilpa(nilt-) to stand, be set up; Kuwi_Fniphali, Kuwi_Sniph'naito cause to stand; Kuwi_Isr caus.nip-(-h-)",,,,,,,"The seemingly unexplainable mess of correspondences eventually can be satisfactorily explained by the cluster*-lc-. In Kui*-lc->*-c-, which regularly >*-s-. The causative form*nilc-p->*nil-p-. In Proto-Kuwi the causative form has taken over the simple one, which explains the t-conjugation. Besides that, the following changes have happened: a) the final cluster*-lc-was lost in all dialects, so that the root has received a vocalic auslaut; b) in some dialects traces of this cluster were preserved in the reduced variant*nilc-p->*nīl-p->*nlī-p->*lī-.On the external level this cluster is proved by forms like Gondinilsp-'to make to stand' and, more significant, by NDR.",,,3675,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=762&root=config
beṭka,frog,,Gondwan etymology,,,,,,,,,"Kuwi_DbeṭkaMUST be a borrowing (maybe from forms like Gadbapanḍake??), for every other Khond dialect always yields apana-type form, and it would be folly to suggest a similar development in a dozen dialects. Gemination in Kuwi_Su is not quite clear, since this dialect does not normally have geminates (in fact, this is the only case of a-nn-in Kuwi_Su).",,,3955,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=827&root=config
dāru,name,,Gondwan etymology,,Also Kuwi_Isrdōru ki-praise,,,,,,,"The initial cluster was not preserved in any dialect: the first element was lost in Kuwi, the second in Kui.",,,4410,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=863&root=config
"potleyu ""wife's father""",father-in-law,,Gondwan etymology,,,,,,,,,See also*poyr-.,,,4508,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=926&root=config
pa'ṭā,belly,,Gondwan etymology,,,,,,,,,,,,4494,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=814&root=config
"tala ""hair""",head,,Gondwan etymology,,"Also Kuitlāmberi, Kui_Ktlamerihair of head",,,,,,,See*kirɣuear for a similar development. In Kuwi_D we probably have the archaic form.,,,3103,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=1144&root=config
