Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"ṛaccu ""to destroy""","damage, harm, injury, loss",,Dravidian etymology,,"Alsoaḍiy-āsavain hopes;aḍuva, (coll.)aḍavaold, damaged (as goods);ḍappidestruction, ruin; (inscr.)ṛassiinfringing;aṛisinawhich destroys;aṛipuṭan. causing destruction",,,,,,,"Since the exact conditions of aphaeresis in Telugu are unknown, it is reasonable to suggest that all of the forms here stem from the same source (although it is also possible that extra borrowings from Kannaḍa are involved).",,,277,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=148&root=config
"cātu-paḍi ""sandal paste""","to rub into a paste, (K also) sharpen blade on stone; n. a black spot on the forehead, beauty spot, a black preparation of burnt rice, etc., used for beauty spot on the forehead",,Dravidian etymology,,,,,,,,,,,,2448,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=1194&root=config
"er_a ""lord (Nellore inscr. [7th-8th cent.])""","king, lord, master, husband",,Dravidian etymology,,,,,,,,,,,,527,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=267&root=config
"ekkumaṭi ""export""","to ascend, mount, get upon",,Dravidian etymology,,Alsoekkincuto cause to ascend,,,,,,,,,,766,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=392&root=config
"Er_ama ""n. pr. man (8th cent.)""","redness, red, scarlet, crimson",,Dravidian etymology,,"Also modern namesErrayya,Erramma",,er_r_a,er_r_ana,er_r_ani,,,,,,865,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=440&root=config
"ēgincu ""to carry the deity in procession through the village streets""","to go, proceed",,Dravidian etymology,,,,,,,,,,,,871,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=444&root=config
"guṇḍamu ""a hollow or pit in the dry bed of a steam""","pond, pit",,Dravidian etymology,,"Alsokuṇḍucistern;guṇḍamufire-pit;guntapit, hollow, depression",,guṇṭa,,,,,,,,1669,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=828&root=config
"envānr_u ""(7th cent.) he who is called""","to say, utter, speak; adj. named, called",,Dravidian etymology,,"Alsoanipincuto seem, look, appear, be considered; pretend, cause to believe, cause to be said;anukonuto think, believe, suppose, say to oneself",,,,,,,Note archaice-(<*ya-).,,,868,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=441&root=config
"ēḷu ""to rule""","to rule, govern, control, manage",,Dravidian etymology,,"Alsoēlikaruler, king, lord, master;ēlikigovernment; [1]ēlubaḍi, [2]ēlbaḍirule, government; (Inscr.)āḍavaṇḍuruler, master",,,,,,,,,,5157,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=1862&root=config
ēṇḍu (gen.ēṇṭi),year,,Dravidian etymology,,Alsoāṇḍuyear (inscr.);ē̃ḍuḍiceremony performed on the first anniversary of a person's death; (inscr.)ēṇṭabaḍiyearly contribution;ēṇṭēṭayearly,,ē̃ḍādi,,,,,,,,5153,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=1859&root=config
