Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
amme,mother,,Dravidian etymology,,,,,,,,,"The most common stem is the one ending in*-ā;*ammaiis also reconstructible on the basis of Tam.ammai, Mal.amma, Iru.amme. Kannaḍa forms with-mb-seem to have been reborrowed from Indo-Aryan. The meaning 'mother' is common for almost all dialects, but in some of them the derivative form*ammaihas assumed the meaning 'father' (cf. Tam.ammān_'maternal uncle, wife's father', i. e. 'he-of-mother').",,,0183,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=165&root=config
gili,fear,,Dravidian etymology,,,,,,,,,Ir. 196.,,,1572,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=1375&root=config
ivä,this,"ivashe (proximate);ivaruthey;ippunow;idi,īnge, īnguhere;inime,innuhereafter;innumutill now;īgaḍe,īngaḍethis side",Dravidian etymology,,,,,,,,,Irula 113-114; Kasaba 175-176; Kodagu 82-84.,,,0410,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=371&root=config
irugu,tight,,Dravidian etymology,,,,,,,,,Ir. 114.,,,0524,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=474&root=config
ini,"sweet, pleasant","inippe,inippusweet;imbahappy",Dravidian etymology,,,,,,,,,Irula 113.,,,0530,*inn-; *in-b-; *in-i-,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=480&root=config
inr_u,today,,Dravidian etymology,,,,,,,,,Ir. 114.,,,0410,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=372&root=config
iḍukku,narrow,,Dravidian etymology,,,,,,,,,"Irula 113. Practically all the Kannada nouns go back to*iḍ-ùk-; the-a-in the second syllable is secondary, which explains the lack of forms like*eḍaku. The few formswithinitiale-(dial. Mal., Tulu) are probably secondary formations as well.",,,0445,"*iṭ- [""narrow""]; *iḍ-ùŋ- [""to shrink""]",1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=401&root=config
īnu,to bear young,,Dravidian etymology,,,,,,,,,,,,0555,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=501&root=config
īppi,"fly, bee",,Dravidian etymology,,,,,,,,"IRUīppifly; PALKU, ALKUīpifly",Ir. 114.,,,0533,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=483&root=config
ille,not to be,,Dravidian etymology,,,,,,,,,Ir. 114.,,,2559,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2180&root=config
īrugoli,nit,,Dravidian etymology,,,,,,,,,Ir. 115.,,,2625,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2238&root=config
vő:r_u,belly,,Dravidian etymology,,,,,,,,,Kas. 218; Zv. Ir. 606. Tulu preserves the original suffixless form.,,,5259,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4378&root=config
