Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
accu,"mould, type",,Dravidian etymology,,,,,,,,,In Kodagu and Tulu the root is augmented by the nominal suffix-i.,,,0047,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=42&root=config
"aḍaŋgu, aḍagu",to submit; to hide,"aḍakuto press, press into narrower compass, pack, subdue, control;aḍacuto press down, pack, stuff in, be humble, silence, shut as the mouth;aḍakapressing into narrow compass, contracting, shrinking, hiding oneself, hiding place, being comprehended or contained in, abridgement;akkuto subdue, bring under control;tāguḍian ambush, lurking or hiding place",Dravidian etymology,,,,,,,,,"The more archaic version of the stem, without the velar nasal suffix, is seen in Tuluaḍē-vuni.",,,0063,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=55&root=config
aḍḍa,heap; to collect,"aḍarto appear in numbers, to amass (as clouds);aṭṭustate of being crowded or thronged, pressed or squeezed;aṭṭuḷia crowd, multitude, state of being squeezed;aḍea sticky, clotty mass, a lump (as of dates, tamarind, sugar, hair, etc.)",Dravidian etymology,,,,,,,,,"Kannadaaḍḍa, with a voiced geminate, and Tuluaṭṭideviate from the general mass of forms with strong verbal suffixes. It is possible that all the stems go back to an original monosyllabic*aṭṭ-(*aḍḍ-?), but contaminations and occasional dialectisms are not excluded either.",,,0084,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=76&root=config
"aḍake, aḍa, aḍike",areca-nut,"aḍakottu,aḍagatti,aḍagarttiscissors for cutting areca-nut",Dravidian etymology,,,,,,,,KOR (T)ḍakkeareca nut,"A compound:*aḍai""betel; areca"" +*kāj""fruit"". The second root becomes reduced in most languages due to its post-tonic position. For the other compound (*aḍai-kat-""instrument for cracking betel nuts"") cf.*kati""knife"".",,,0088,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=80&root=config
adaṭu,"to rebuke, scold, reprimand","adaputo speak intemperately, reprove",Dravidian etymology,,,,,,,,,"Burrow & Emeneau place this in the same entry with*adir-'to shake, tremble, intimidate, etc.'. While the semantic link is possible (atiralso has the meaning 'rebuke'), the morphological ties are harder to understand. The formataṭṭuis an obvious causative, but it cannot be from*adir-tu(which should have yielded Tamilatirttu); it can only be from*adaḷ-tu. The stem*adaḷ-is not, however, attested directly; there is Tuluaddalipuni, with an unclear geminate, and possibly also Kan.adalu'to tremble', if-l-dial. <*-ḷ-. As for the other Tamil forms,atampu(= Kan.adapu) <*adaḷ-mbu;atakaṭiis an unclear expressive formation.",,,0137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=122&root=config
"nīr-aḍike, nīr-aẓke",thirst,nīr-aḍisuto be thirsty,Dravidian etymology,,,,,,,,,See the PDR entry for comments.,,,0109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=95&root=config
aḍe,"to shut, close; to obstruct","aḍavuan impediment, anything to obstruct;aḍa,aḍḍa,aḍḍā,aḍḍestate of being across, transverse, or in the way, state of being broadwise or horizontal, crosswise; obstructing, an obstruction; state of being contrary or perverse;aḍḍane,aḍaneacross, transversely;aḍḍayisu,aḍḍagisu,aḍḍaysu,aḍḍavisuto move obliquely or obstructingly, make opposition, obstruct, impede, intervene, conceal;aḍḍayisuhaobstruction, opposition;aḍḍaysuhagoing transversely, concealment;aḍḍalcrossing, obstructing, obstacle, across, sideways;aḍḍian obstacle, opposition, delay;aḍḍana,aḍḍaṇaa shield;āṭaŋka,ātaŋkaobstruction, obstacle, restraint",Dravidian etymology,,,,,,,,,,,,0083,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=75&root=config
"aḍḍike, aḍḍige",necklace,,Dravidian etymology,,,,,,,,,,,,0095,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=86&root=config
aḍi,foot,aḍimeslavery;aḍiyaslave,Dravidian etymology,,,,,,,,,,,,0072,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=63&root=config
"adir, adaru, aduru, adru",to shake,"adirputrembling, fear;adalu=adirvb.;adarisu,adalisuto make tremble, shake",Dravidian etymology,,,,,,,,,For Kan. adal- cf.*adaḷ-.,,,0137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=121&root=config
aḍagu,to be fit,"aḍavusuitableness, properness, proper way, the state of being sufficient;aṭṭufitting, being becoming or proper; ? (Hav.)eḍito be able to do",Dravidian etymology,,,,,,,,,"The origin of forms like Tam.aṭai-vuis unclear (a different verbal stem*aḍai-, not preserved by itself?). Tamilaṇṭuhardly belongs here; no other Dravidian language has a nasal in this root, so it may have been a secondary contamination with*aṇai-""to approach, come near"".",,,0078,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=69&root=config
"adaku, adapu, adamu, adimu, adugu, adupu, adubu, adumu","to grind; to press, squeeze","adakisu,adugisu,adumisuto cause to press, etc.;adakua bruise in a metal vessel;aduguto be mollified by being pressed with the fingers;adugisuto mollify by pressing",Dravidian etymology,,,,,,,,,"The presence of an inlaut*-m-in this root is well confirmed by external data. We have, therefore, to regard Kannaḍa forms likeadamu, adimu, adumuas the most archaic, despite the confusing mixture of dialectal forms. In Tamil a form like*atumuwould be impossible since-umucan only be found after resonants (cf.ur_umu,kuẓumuetc.); it is possible that Kan.adumu= Tam.atavu, with secondary loss of nasalisation in Tamil (although the 2nd syllable vowel is still irregular). However, the original*atum-may have yieldedatuŋ-when combined with the intransitive suffix:*atum- + *-ŋ->atuŋku, andatukk-when combined with the corresponding transitive suffix. The formatakkuis then either dialectal or due to contamination withaṭakku'control, repress, conceal' (cf. the spectrum of meanings).",,,0133,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=119&root=config
"aḍaku, aḍuku",to pile up,"aḍakil,aḍikilpiling up, a pile",Dravidian etymology,,,,,,,,,,,,0080,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=71&root=config
aḍacu,"to pound, beat; to kill","aḍarto pounce upon, rush at (as dogs, etc., do);aḍaruan attack;aḍibeating, a blow;aḍeto strike or throw with finger;aṇeto strike, push, drive; to strike or propel with the fingers",Dravidian etymology,,,,,,,,,,,,0077,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=68&root=config
aḍar,to approach; to reach,"aḍarcuto bring together, set in readiness, prepare;aḍasuto join, be joined with, unite with, be near to, associate oneself to;aḍeto obtain, get; n. trust;aḍavu,aḍapupawn, pledge, deposit, mortgage;aṭṭuto be within reach, keep close to, follow, run after, pursue; to put; n. closeness, pursuing, putting, placing",Dravidian etymology,,,,,,,,,,,,0079,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=70&root=config
aŋ-gāl,inside,"ōragitti,vāragittihusband's brother's wife;aŋ-geypalm of the hand;āge,āgain, into",Dravidian etymology,,,,,,,,,,,,0007,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=6&root=config
agaḍu,"wicked, mean",,Dravidian etymology,,,,,,,,,,,,0004,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3&root=config
agal (agald-),to spread,"agalaspace, width, extension;agalikeseparation from;agalcuto spread out, remove;agundaleextensiveness, greatness; (PBh.)aguntigreatness, vastness",Dravidian etymology,,,,,,,,,"The auslaut-al- on SDR grounds at least - forms part of the root (Tamilālam< dial.*agalam; Todaoxinox ɨn-, etc. may be a contraction from earlier*oxl-<*agal-).",,,0008,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=7&root=config
agal,small earthen pot,(Hav.)aguḷia kind of flat vessel,Dravidian etymology,,,,,,,,,,,,0009,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=8&root=config
"agape, āpe, hāpe",ladle,,Dravidian etymology,,,,,,,,,Kannadaāpeis re-borrowed from Tamil (Kannada does not normally tolerate loss of inlaut *-g-).,,,0006,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=5&root=config
agase,common flax,,Dravidian etymology,,,,,,,,,,,,0003,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2&root=config
"akace, agace, agase, agise",pea-tree,,Dravidian etymology,,,,,,,,,"Only an old inlaut cluster can account for the correspondences between Tamil and Kannada; the cluster is clearly seen in the Old Indian borrowingagasti-. Some of the Kannada forms (or even all of them) may actually be borrowed from Telugu, which would still leave us with the same correspondence, but between Tamil and Telugu.",,,0005,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4&root=config
"agaẓ (agaẓd-), aguẓ (aguẓd-)",to dig,"agaẓwhat has been dug;agaẓtedigging, pit, ditch;agaẓata,agaẓatedigging, ditch, moat;agalteditch, moat;agi,ageto dig, burrow, make a hole in the ground",Dravidian etymology,,,,,,,,,,,,0011,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=10&root=config
age,"to sprout, flourish",,Dravidian etymology,,,,,,,,,,,,0015,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=14&root=config
agi,"to tremble, fear","agurvu,agurbuamazement, terror; a terrible form;agurvisuto be terrifying or formidable; terrify",Dravidian etymology,,,,,,,,,,,,0012,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=11&root=config
agil,eagle-wood,,Dravidian etymology,,,,,,,,,"Tamilakkumay point to a more archaic monosyllabic form, but could be a later back formation as well.",,,0013,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=12&root=config
"āyi, tāy, tāyi, tāye",mother; woman,,Dravidian etymology,,,,,,,,,,,,0364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=327&root=config
"ayya, aya",father; father's brother,,Dravidian etymology,,,,,,,,,"Just like*t-and-, this root commonly refers to 'father' as an honourable mention. The original meaning differentiation may have been preserved in Kodagu, whereappë= 'father', whileayyë= 'father's brother, male cousin'; none of the other languages present an equally clear picture. The only common PSDR stem is the one in*-n(*ajja-n, pl.*ajja-r).",,,0196,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=175&root=config
ǝyb,"to doubt, suspect","naccu,nasadoubt (Kitt.) (?)",Dravidian etymology,,,,,,,,,"Kittel's forms with initialn-do not fit into the picture at all from a strictly phonetic point of view (the fact that *ń-is regularly eliminated in some positions in some Dravidian languages does not mean that we can easily correlate any two Kannaḍa dialectal variants with and without the initial nasal). They are rather to be compared with similar Tamil roots likenaccu'tease, vex, trouble'.",,,0190,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=171&root=config
