Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"lanj- ""to bail water with hands""",to sprinkle; to bail out,,Gondwan etymology,,,,,,,,,"Vowel lengthening in Kui and Kuwi_F is secondary, as shown by external data; the reasons of this, however, are unknown.",,,305,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=20&root=config
ḍāc-,to measure,,Gondwan etymology,,,,,,,,,,,,295,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=574&root=config
"rēc- ""to rub, smear""","to rub, wash",,Gondwan etymology,,"Also Kuirāpka(<rāk-p-;rākt-) to cause to rub together, wear by friction;rēsa(rēsi-) to rub, chafe; n. act of rubbing; Kuwi_Srājinaito launder",,,,,,,"The final consonant (-k-,-g-,-c-) in all these forms reflects older causative / transitive / intransitive suffixes; more complicated is the question of vocalic differences betweenrā-g-aandrē-s-a, etc. - these indicate that we may actually be dealing with two different roots here.",,,228,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=981&root=config
"ava  ""elder brother's wife""",female relation,,Gondwan etymology,,,,,,,,,"In Kuwi_F-v-would be expected, since-w-usually goes back to epenthetic*-w-; probably a misspelling or positional variant.",,,273,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=34&root=config
āci ki- [to choose],"to sort, choose",,Gondwan etymology,,,,,,,,,In Kuwi_F the vowel is shortened as inakkūleaf (does the non-geminated-c-reflect the original long vowel or is it just misspelled?),,,363,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=37&root=config
"bre- ""(boil) bursts""","to crack, burst",,Gondwan etymology,,"Also Kuiprepka(<prek-p-;prekt-) to crack, cleave;prēju(pl.prēska) cleavage, crevice, crack",,,,,,,"In Kui the initial*b-irregularly devoiced. We may suggest a contamination with*piri-/ŋg-/'to be cracked, torn'.",,,4414,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=86&root=config
"pṛuma ""feather""","hair, fur; eyebrow",,Gondwan etymology,,Also Kuwi_Dbūrka(pl.) down,,,,,,,In Kuttia*būr-ma>*būṛ-ma>*bṛū-ma>*pṛū-ma.,,,4358,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=95&root=config
hīnd-,to blow the nose,,Gondwan etymology,,,,,,,,,,,,2618,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=124&root=config
sro'i,soot,,Gondwan etymology,,,,,,,,,,,,2686,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=1121&root=config
"eŋg- ""to climb""",to climb,,Gondwan etymology,,"Also Kui_Kek-to load on a cart; Kuwi_Sekh'naito heighten, promote, overburden",,,,,,,"The formsekasiandengasiprobably go back to*eŋg-ci, whereasekasiis the regular development andengasiis the secondary epenthesed form.",,,766,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=223&root=config
