Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
amba,cooked rice,,Dravidian etymology,,,,,,,,,Loss of final-lin several Kolami dialects is absotely regular.,,,174,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=27&root=config
andg,sāl tree,,Dravidian etymology,,,,,,,,,,,,151,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=77&root=config
rāl- (rāṭ-),to fall,,Dravidian etymology,,Also Kolami_SRrāp-to fell; Naikrirālp-to make to fall out,,,,,,,,,,233,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1108&root=config
āmeda,castor-oil plant,,Dravidian etymology,,,,,,,,,,,,360,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=74&root=config
"baŋka ""gum""",resin,,Dravidian etymology,,Also Kolami (Pat.)bakkasap,,,,,,,,,,3817,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=92&root=config
bogg,charcoal,,Dravidian etymology,,,,,,,,,,,,4467,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=109&root=config
poŋcur,foam,,Dravidian etymology,,,,,,,,,,,,4463,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=116&root=config
"buḍḍe ""testicles""",genitals,,Dravidian etymology,,,,,,,,,,,,4266,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=126&root=config
"buggi ""ashes""","ashes, earth",,Dravidian etymology,,,,,,,,,,,,4243,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=128&root=config
purug (obl. purg-),basket,,Dravidian etymology,,,,,,,,,,,,4289,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=134&root=config
cīkaṭi,darkness,,Dravidian etymology,,,,,,,,,,,,2604,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=155&root=config
"coppa ""stalk of millet""",millet,,Dravidian etymology,,,,,,,,,,,,2847,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=179&root=config
"cōga namli ""male peacock""",leaf of peacock,,Dravidian etymology,,,,,,,,,,,,2875,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=180&root=config
"cuncur ""crest of cock""","crest, top",,Dravidian etymology,,,,,,,,,,,,2651,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=182&root=config
"cinḍrag ""musk-rat""",a k. of rat,,Dravidian etymology,,,,,,,,,,,,2661,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=173&root=config
"curund ""sp. bee""",bee,,Dravidian etymology,,Also Kolamisurunt pottebee; Kolami_Kincurund taṭṭahoneycomb,,,,,,,,,,2689,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=164&root=config
"cekka ""bark of tree""",to chip; chip of wood,,Dravidian etymology,,"Also Kolami_Psekkabark of tree; Kolami_Brcerguto chip off (tr.); Naikriśekkabark of tree; Parjicekkapiece, slice, chip of wood",,,,,,,"Reconstruction*ć-agrees more with external data; if so, we should eliminate Naikisek-(cf. also the semantics).",,,2748,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=146&root=config
