Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
acci,"mould, type",,Dravidian etymology,,,,,,,,,In Kodagu and Tulu the root is augmented by the nominal suffix-i.,,,0047,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=42&root=config
aḍak- (aḍaki-),to submit; to hide,"aḍakaact of bringing within a compass, thriftiness, restrictions at festivals",Dravidian etymology,,,,,,,,,"The more archaic version of the stem, without the velar nasal suffix, is seen in Tuluaḍē-vuni.",,,0063,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=55&root=config
aḍake,areca-nut,,Dravidian etymology,,,,,,,,KOR (T)ḍakkeareca nut,"A compound:*aḍai""betel; areca"" +*kāj""fruit"". The second root becomes reduced in most languages due to its post-tonic position. For the other compound (*aḍai-kat-""instrument for cracking betel nuts"") cf.*kati""knife"".",,,0088,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=80&root=config
"aḍe- (aḍev-, aḍand-)","to shut, close; to obstruct","aḍa-(aḍap-,aḍat-) to stop (gap, hole);aḍḍacrosswise;aḍḍa būḷ-to prostrate oneself (lit. fall horizontal)",Dravidian etymology,,,,,,,,,,,,0083,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=75&root=config
aḍḍige,necklace,,Dravidian etymology,,,,,,,,,,,,0095,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=86&root=config
aḍi,foot,,Dravidian etymology,,,,,,,,,,,,0072,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=63&root=config
aḍaŋg- (aḍaŋgi-),to pile up,"aḍak-(aḍaki-) to heap in order, filling space, to arrange formally",Dravidian etymology,,,,,,,,,,,,0080,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=71&root=config
"aḍi- (aḍip-, aḍic-)","to pound, beat; to kill",,Dravidian etymology,,,,,,,,,,,,0077,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=68&root=config
"aḍɨ- (aḍɨp-, aḍɨt-)",to approach; to reach,,Dravidian etymology,,,,,,,,,,,,0079,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=70&root=config
aŋgay,inside,aŋgālɨsole of foot,Dravidian etymology,,,,,,,,,,,,0007,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=6&root=config
age,"to sprout, flourish",,Dravidian etymology,,,,,,,,,,,,0015,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=14&root=config
tāyi,mother; woman,,Dravidian etymology,,,,,,,,,,,,0364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=327&root=config
ayyë,father; father's brother,tammayyāNyounger brtoher (voc.),Dravidian etymology,,,,,,,,,"Just like*t-and-, this root commonly refers to 'father' as an honourable mention. The original meaning differentiation may have been preserved in Kodagu, whereappë= 'father', whileayyë= 'father's brother, male cousin'; none of the other languages present an equally clear picture. The only common PSDR stem is the one in*-n(*ajja-n, pl.*ajja-r).",,,0196,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=175&root=config
