Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"ḍāŋg- (ḍāŋkt-) ""to hide (intr.)""",to hide,,Dravidian etymology,,"Also Kolamiḍāp-(ḍāpt-),ḍāŋgip-(ḍāŋgipt-) to hide (tr.); Naikri caus.ḍhāŋgip-;ḍhāp-to cover, hide",,,,,,,The forms with-ip-are probably Kolami-Naikri innovations.,,,63,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=193&root=config
"aḍḍ- (aṭt-) ""to thirst for""",to thirst,,Dravidian etymology,,Also Parjianḍkuḍthirst,,,,,,,! Irregular case.,,,109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=55&root=config
aḍg- (aḍakt-),(pulse) throbs,,Dravidian etymology,,,,,,,,,,,,74,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1503&root=config
adum- (adumt-),to press,,Dravidian etymology,,,,,,,,,"A very rare case of such a cluster in PKG, resulting in a unique occurrence of-yb-in Parji.",,,133,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=6&root=config
"aḍavu ""bad, mischievous; bad person""",bad,,Dravidian etymology,,,,,,,,,,,,107,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=3&root=config
"opaḍ- (opaṭ-) ""to be found, met, (fish) are caught""",to be got,,Dravidian etymology,,Also Kolamioparip-(opaript-) to find,,,,,,,,,,7,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=54&root=config
agul- (agult-),to dig,,Dravidian etymology,,Also Naikiagulmurdigging,,,,,,,,,,11,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=15&root=config
ay,mother,,Dravidian etymology,,"Also Naikriayka(pl.-śikuḷ) husband's elder sister; Parjiiya(pl.iyov) mother; Ollariayalwoman, wife;asmalwoman; Salurayālwife;āsmalwoman",,,,,,,,,,364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=56&root=config
"am/amd, avr, ad, adav ""that man, those men, that woman or thing, those women or things""",that,,Dravidian etymology,,"Also Kolami adj. (rarely used)ā; Naikri adj.ā; Parji adj.ā; Ollari adj.ā,āy",,,,,,,"The inflected forms are as follows:*avnd_(masc. sg.),*avr(masc. pl.),*ad(fem. sg.). As for the fem./neut. pl. form, external data shows*avto be most archaic. The formadavhas obviously developed by analogy withad; as for Naikianda, it is unclear.",,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=9&root=config
al- (alt-),to weave,,Dravidian etymology,,Also Parjialṭ-to be twined around;alṭayp-(alṭayt-) to wind round (tr.),,,,,,,In DEDR Salurall-is separately placed in entry 260 as 'to twine' and entry 207 as 'to spread as a creeper'.,,,260,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=21&root=config
"lāv ""fat""","fat, strength",,Dravidian etymology,,,,,,,,,,,,291,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=633&root=config
"alay- (alayt-) ""to become tired""","to be tired, ill",,Dravidian etymology,,Also Kolamialp-(alapt-) to make to become tired,,,,,,,,,,236,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=19&root=config
