Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
ayyā,mother's father,,Dravidian etymology,,Also Kolami_SRayyākgod,,,,,,,,,,196,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=58&root=config
"all- ""to weave, dress (hair)""",to weave,,Dravidian etymology,,Also Parjialṭ-to be twined around;alṭayp-(alṭayt-) to wind round (tr.),,,,,,,In DEDR Salurall-is separately placed in entry 260 as 'to twine' and entry 207 as 'to spread as a creeper'.,,,260,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=21&root=config
alk-,to sprinkle,,Dravidian etymology,,,,,,,,,,,,305,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=23&root=config
"vallambā ""rice (valrice)""",cooked rice,,Dravidian etymology,,,,,,,,,Loss of final-lin several Kolami dialects is absotely regular.,,,174,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=27&root=config
aṇṭ-,to stick,,Dravidian etymology,,"Also Kolamiaṭip-(aṭipt-) to stick (tr.), put (child) to breast; Naikriaṭip-to stick (tr.)",,,,,,,,,,96,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=34&root=config
"taŋgod ""husband's elder brother""",a k. of relation,,Dravidian etymology,,Also Kolami_SRtaŋgodāwife's elder sister; Naikritaŋgoḍalwife's elder sister; Naikitaŋgodahusband's elder sister; (?) Gadba_S3naggalwife's younger sister,,,,,,,,,,3015,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1237&root=config
"rāk- ""to rub teeth, wash""",to rub,,Dravidian etymology,,,,,,,,,,,,228,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1107&root=config
rāl- (rāṭ-),to fall,,Dravidian etymology,,Also Kolami_SRrāp-to fell; Naikrirālp-to make to fall out,,,,,,,,,,233,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1108&root=config
"ārankei ""palm of the hand (n, notŋ)""",palm,,Dravidian etymology,,,,,,,,,,,,310,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=79&root=config
āmeddā,castor-oil plant,,Dravidian etymology,,,,,,,,,,,,360,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=74&root=config
"badk- ""to subsist""",to live,,Dravidian etymology,,"Also Kolamibatkip-(batkipt-) to rear; Naikribadkip-to make to live, bring up",,,,,,,,,,5372,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=89&root=config
bīrā,gourd,,Dravidian etymology,,,,,,,,,,,,4224,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=103&root=config
boṭla,drop,,Dravidian etymology,,,,,,,,,,,,4492,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=120&root=config
burrā,pumpkin,,Dravidian etymology,,Also Parjiburkagourd,,,,,,,,,,4332,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=135&root=config
cintevelā,evening,,Dravidian etymology,,,,,,,,,,,,2528,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=152&root=config
"ājīr ""that day, day before yesterday""",day,,Dravidian etymology,,Also Kolami_SRejīrwhen; Kolami (Pat.)ašiḍday before yesterday,,,,,,,,,,2553,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=154&root=config
"cīkaṭ ""dark""",darkness,,Dravidian etymology,,,,,,,,,,,,2604,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=155&root=config
"curīpeŋ ""to strain""",to be spilled,,Dravidian etymology,,Also Parji (?)cōp-to overflow,,,,,,,,,,2883,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=181&root=config
"sinnam ""small, young, younger""",small,,Dravidian etymology,,"Also Parjicind, (NE)cinḍson; Ollarisinḍson; Salurcin makilchildren",,,,,,,,,,2594,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=151&root=config
sime,ant,,Dravidian etymology,,,,,,,,,,,,2623,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1150&root=config
daḍpā,good,,Dravidian etymology,,,,,,,,,,,,3020,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=187&root=config
"ḍerkā ""belching""",a belch,,Dravidian etymology,,,,,,,,,,,,3451,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=198&root=config
doḍānd,big,,Dravidian etymology,,Also Kolamidoodbig thing; Naikridohonbig,,,,,,,,,,3491,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=215&root=config
ḍompā,leaf-cup,,Dravidian etymology,,,,,,,,,The nasal cluster is unconfirmed by external data; possibly due to contamination with*gamp-'basket'.,,,2986,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=212&root=config
"ḍome ""blind bee""",a k. of insect,,Dravidian etymology,,,,,,,,,,,,2991,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=211&root=config
"davva, dautān",distant,,Dravidian etymology,,,,,,,,,,,,446,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=376&root=config
"yarg-, yarŋg- (KR-187)",to defecate,,Dravidian etymology,,Also Naikieruŋtaexcrement,,,,,,,,,,813,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=254&root=config
erroḍī,red,,Dravidian etymology,,,,,,,,,,,,865,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=252&root=config
reppā,wing,,Dravidian etymology,,,,,,,,,,,,2591,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1111&root=config
"ettā ""tall""",to lift,,Dravidian etymology,,,,,,,,,,,,796,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=256&root=config
eg,leaf,,Dravidian etymology,,,,,,,,,,,,775,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=257&root=config
"ers-, yers- (KR-188)",to sift,,Dravidian etymology,,,,,,,,,,,,915,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=248&root=config
gell-,to win,,Dravidian etymology,,,,,,,,,,,,1972,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=292&root=config
"koŋkḍī, kokḍī ""crookedly""",to bend,,Dravidian etymology,,"Also Kolamigogip-(gogipt-) to make to bend over, bend (tr.) at a sharp angle; Naikrikoŋkicurved hoe; Parjikokoroa curl;koktacrooked, zigzag;kokṛ-,kokṛayt-to contract (arm, etc.)",,,,,,,,,,2032,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=308&root=config
goḍā,wall,,Dravidian etymology,,,,,,,,,,,,2207,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=306&root=config
"guḍm- ""to make noise""",to thunder,,Dravidian etymology,,,,,,,,,,,,1659,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=328&root=config
guḍī,temple,,Dravidian etymology,,,,,,,,,,,,1655,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=323&root=config
"īneḍ, neḍī",today,,Dravidian etymology,,,,,,,,,,,,410,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=357&root=config
reŋā,Zizyphus jujuba,,Dravidian etymology,,,,,,,,,,,,475,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1115&root=config
"ippā ""mahua tree""",mahua,,Dravidian etymology,,,,,,,,,,,,485,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=372&root=config
uskā,sand,,Dravidian etymology,,,,,,,,,,,,575,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1378&root=config
