Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
ḍāŋ- (-it-),to be hidden,,Dravidian etymology,,,,,,,,,"A bisyllabic root. In Konda it is found only with derivative suffixes, but Kui has preserved the simple form.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=129&root=config
ḍāŋ- (-it-),"to lie hidden, hide oneself",,Gondwan etymology,,"Also Kondaḍāp-to hide, save (money)",,,,,,,,,,63,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=77&root=config
aḍar,herd,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=932&root=config
aḍar,(BB) herd of cows,,Gondwan etymology,,,,,,,,,,,,84,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=945&root=config
adam,mirror,,Dravidian etymology,,,,,,,,,Hardly a proper PGn root (all the forms could have easily been borrowed from Telugu).,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1433&root=config
adam,mirror,,Gondwan etymology,,,,,,,,,,,,147,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=3&root=config
aḍi- (-t-),to conceal; obstacle,,Dravidian etymology,,,,,,,,,"The Kui-Kuwi forms are probably borrowed from Telugu, because geminated-ḍḍ-is not usually reconstructed for PGn.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=3&root=config
aḍi- (-t-),"to stop, intercept",,Gondwan etymology,,Also Kondaaḍamacross;aḍe biḍeall over (lit. crosswise); disorganizedly,,,,,,,,,,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=5&root=config
aḍgi,"below, low",,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1038&root=config
aḍgi,"below, underneath",,Gondwan etymology,,"Also KondaaḍgiR/i/that which is underneath;aḍgiRaṇḍfrom below, from the bottom",,,,,,,,,,72,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=4&root=config
aṭ- (-t-),to be able,,Dravidian etymology,,,,,,,,,"The Konda form unexpectedly changed conjugation type (aṭ-can only go back to*aḍ-C-). Vowel length in PK is irregular; as a matter of fact, Kuwi_Su has shorta-, so this variant is probably more archaic.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=25&root=config
aṭ- (-t-),to be able,,Gondwan etymology,,,,,,,,,,,,78,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=25&root=config
aṭ- (-t-),to be hit,,Dravidian etymology,,,,,,,,,"The root was probably not used by itself in PGn. The form in Konda goes back to an old causative (hence the devoicing:aṭ-<*aḍ-p-), and there are derivatives with the suffix-mb-(in PK) and with the suffixes-ŋ-and-s-(in Konda).",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=4&root=config
aya (pl. ayek),"mother, woman",,Dravidian etymology,,,,,,,,,"The root was heavily used with posessive prefixes. The most frequent form is*yay-'my mother'. In some dialects this form became generalized, with the following shift of meaning: 'my mother' > 'mother in general', 'mother' > 'woman'. A new form, based on the 1st person pl. pronoun (Gondimāy-, Kuwimāya) resulted from the loss of initialy-and the secondary merger of the simple and the prefixed forms.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=22&root=config
