Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aṛ- (aṭ-, aṇ-) ""to plait, weave""","to twine, twist, plait",,Gondwan etymology,,"Also Kondaalpa- (-t-) to twist or twine, plait or weave a cot, weave a garland;aṛpa-(-t-) to spread as a creeper;alṭay ā-to be interwoven, grow thickly and densely as a creeper",,,,,,,,,,260,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=7&root=config
"ās- ""to choose, select""","to choose, select, clean impurities from rice, sift",,Gondwan etymology,,,,,,,,,,,,363,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=40&root=config
ānr_ga,hail,,Gondwan etymology,,,,,,,,,,,,406,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=37&root=config
"baḍga ""stick""",big walking stick,,Gondwan etymology,,,,,,,,,,,,5224,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=42&root=config
"puRka ""gourd, gourd vessel""",small vessel made of scooped gourd shell,,Gondwan etymology,,Also Kondapur_gedrinking vessel made of gourd shell;bur_ahead,,,,,,,,,,4332,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=621&root=config
"buṛus ""feathers, down""","pubic hair, feathers, hair (on legs and chest)",,Gondwan etymology,,,,,,,,,,,,4358,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=67&root=config
"sus- (-t-) ""(Sova dial.) to sleep""",(BB) to sleep,,Gondwan etymology,,"Also Konda_BBsūskaṇkusleepiness, sleepy eyes",,,,,,,,,,3291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=769&root=config
"saldi ""early morning""","cold, cool",,Gondwan etymology,,Also Kondasalvabreakfast;saldibreakfast,,,,,,,,,,2408,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=678&root=config
"dupa ""shrub""","bush, shrub",,Gondwan etymology,,,,,,,,,,,,3322,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=834&root=config
"r_e- (-t-) ""to descend""","to go down, set (as sun), dismount, descend",,Gondwan etymology,,Also Konda_BBr_ep-to put down,,,,,,,,,,516,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=665&root=config
"ēr_- ""to be separated""","to separate (as one's legs), keep away from",,Gondwan etymology,,"Also Kondaēr_p-(-t-) to keep apart, keep separate",,,,,,,,,,915,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=118&root=config
"goḍu ""barren""","cattle, etc.",,Gondwan etymology,,,,,,,,,,,,2074,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=152&root=config
"ṛey-, ṛī-","to beat, strike",,Gondwan etymology,,,,,,,,,,,,443,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=642&root=config
"iddum ""two tūm measures""",two,,Gondwan etymology,,"Also Kondarunḍitwo (fem. and neut.);riʔertwo men;riʔeṭwe two;riʔideryou two;rineṇḍtwo days;riyaŋatwo sides;rizatwice;ruṭkulakaat the rate of two, two each",,,,,,,,,,474,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=644&root=config
"ōnḍkaṛa, ōṭkaṛa ""rainy season""",year,,Gondwan etymology,,Also Kondaiyoṇḍthis year,,,,,,,,,,5153,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=122&root=config
"ēni ""elephant""","elephant (n, notŋ)",,Gondwan etymology,,,,,,,,,,,,5161,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=124&root=config
kaṛan,threshing floor,,Gondwan etymology,,,,,,,,,,,,1376,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=207&root=config
"kapoki ""frog, biceps""",frog,,Gondwan etymology,,,,,,,,,,,,1224,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=222&root=config
"keRpi ""door""","to close, shut (as a door, box, etc.), build a wall (as enclosure)",,Gondwan etymology,,,,,,,,,,,,1980,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=252&root=config
"koʔer_ (obl. koʔeR-) ""sickle""","to reap, harvest, cut, pluck (flowers, etc.)",,Gondwan etymology,,Also Konda (Sova dial.)koʔersickle,,,,,,,,,,2119,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=294&root=config
"kot- (-t-) ""to peck""","to hammer, hit hard on the top",,Gondwan etymology,,,,,,,,,,,,2091,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=292&root=config
gōndru,spider,,Gondwan etymology,,,,,,,,,,,,2195,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=158&root=config
"koṇes ""fat""",fat of animals,,Gondwan etymology,,,,,,,,,,,,2146,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=288&root=config
kuluri,a crane,,Gondwan etymology,,,,,,,,,,,,1808,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=306&root=config
"guRi ""short, small, little""","short, shortness",,Gondwan etymology,,"Also Kondakur_ikanshort man;kor_o nakajackal (small in size, opposed toperi naka)",,,,,,,,,,1851,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=312&root=config
"nā- (-t-), nāv- (-it-) ""to cross""","to go beyond the boundary of a village, fail a promise, disregard (elder's words)",,Gondwan etymology,,,,,,,,,,,,1109,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=134&root=config
"mē-mari ""husband, man""",son,,Gondwan etymology,,Also Kondamar_isison (referring to 3rd person); (Sova dial.)mēmar koṛoboychild,,,,,,,,,,4764,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=353&root=config
"mak- (-t-) ""to dig""","to turn over (as a stone), turn upside down",,Gondwan etymology,,,,,,,,,,,,4617,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=338&root=config
mīril,peacock,,Gondwan etymology,,,,,,,,,,,,4642,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=402&root=config
"man- (maR-) ""to be, stay, dwell""",to be,,Gondwan etymology,,,,,,,,,,,,4778,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=342&root=config
"maddi ""sāj tree""",Terminalia glabra,,Gondwan etymology,,,,,,,,,,,,4718,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=336&root=config
mē-mari (pl. mē-marŋu),husband,,Gondwan etymology,,Also Kondaāl māsirhusband and wife; (Sova dial.)mēmar koṛoboy-child,,,,,,,,,,4791,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=363&root=config
"melesa ""gently, softly""",slowly,,Gondwan etymology,,,,,,,,,,,,5078,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=368&root=config
muluŋa mara,drumstick tree,,Gondwan etymology,,,,,,,,,,,,4982,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=428&root=config
mundala,in front,,Gondwan etymology,,,,,,,,,,,,5020,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=426&root=config
muṭi,marrow,,Gondwan etymology,,,,,,,,,,,,5051,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=416&root=config
naṛ,bug,,Gondwan etymology,,Also Konda (N and W)naṛu(pl.naṛku) bug,,,,,,,,,,3621,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=438&root=config
"lēnz(u) ""moon, month""",moon,,Gondwan etymology,,Also Kondaneleŋ(pl.) months,,,,,,,,,,3754,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=463&root=config
"nēnz- ""to breathe""","to sigh, respire when exhausted or tired, have hiccups while weeping",,Gondwan etymology,,Also Kondanēnzubreath,,,,,,,,,,3765,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=472&root=config
"nīṛga ""shadow""","shadow, shade, reflection",,Gondwan etymology,,,,,,,,,,,,3679,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=486&root=config
nīm (obl. mī-),you (pl.),,Gondwan etymology,,,,,,,,,,,,3688,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=392&root=config
"nōgu ""fever""","to pain, ache (as the limbs after hard work, etc.)",,Gondwan etymology,,Also Kondanōbufever,,,,,,,,,,3793,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=491&root=config
"nuls- ""to twist""",thread,,Gondwan etymology,,,,,,,,,,,,3726,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=498&root=config
"paṛu ""fruit""",to ripen; (hair) to become grey,,Gondwan etymology,,Also Kondapaṇḍis-to cause a crop to grow;paṇṭaa crop; year;paṇḍu(pl.paṭku) fruit,,,,,,,,,,4004,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=524&root=config
dōr,name,,Gondwan etymology,,,,,,,,,,,,4410,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=564&root=config
pita mundi,buttock,,Gondwan etymology,,"Also Kondapitebackwards;pinayoung, small",,,,,,,The exact correlation of-r_-and-t-unclear (contamination of two roots?),,,4205,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=581&root=config
piṛka,green mango,,Gondwan etymology,,,,,,,,,,,,4184,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=577&root=config
poṛu,chaff,,Gondwan etymology,,,,,,,,,,,,4562,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=595&root=config
"poŋ- ""to be spilled""",to pour (water),,Gondwan etymology,,Also Konda_BBpok-to spill,,,,,,,,,,4470,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=594&root=config
piṛi (pl. piṛku),snail,,Gondwan etymology,,"Also Kondapiṛvu(pl.piṛku), Konda_BBpiṛuworm",,,,,,,,,,4312,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=578&root=config
"sirik ""charcoal""",coal,,Gondwan etymology,,,,,,,,,,,,2552,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=733&root=config
"taṛi ""female of animals""",mother (invocatory: e.g.būmi talimother earth!); adj. female (prefixed to certain animal names; e.g.tali kōḍishe-buffalo),,Gondwan etymology,,,,,,,,,,,,3136,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=778&root=config
"taṛki, taṇāki",liver,,Gondwan etymology,,,,,,,,,,,,3120,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=782&root=config
"tiyel- ""to be afraid""",fear,,Gondwan etymology,,Also Kondatiyeli ki-to frighten,,,,,,,,,,3202,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=811&root=config
tōl,skin (of animals),,Gondwan etymology,,,,,,,,,,,,3559,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=823&root=config
"toṛan ""younger brother""","intimate, friend; wife's brother; friendship",,Gondwan etymology,,"Also Kondatōṛuhelp, company, assistance;toṛan(Sembay dial.) brother (younger or elder)",,,,,,,,,,3563,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=824&root=config
"dūŋ- ""to be shaken, dangle, hang, swing""","to be shaken, dangle",,Gondwan etymology,,"Also Konda, Konda_BBdūk-to shake or cause to dangle, (BB) make to hang, swing",,,,,,,,,,3376,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=106&root=config
ur_bu,iguana,,Gondwan etymology,,,,,,,,,,,,592,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=854&root=config
sūrika maran,"aonla tree, emblic myrobalan",,Gondwan etymology,,,,,,,,,,,,574,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=860&root=config
"urs- ""to transplant""",to rest on a support,,Gondwan etymology,,,,,,,,,,,,763,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=941&root=config
"vēg-/vīg- ""to dawn""",tomorrow,,Gondwan etymology,,,,,,,,,,,,5554,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=908&root=config
"vaṛiŋ ""(pl.) in:pūs vaṛiŋsaliva""",to drip down (as through filter),,Gondwan etymology,,Also Kondapūsa valisaliva,,,,,,,,,,5296,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=877&root=config
"vepoṭi ""lip""",mouth,,Gondwan etymology,,,,,,,,,,,,5352,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=900&root=config
ṛaska,"finger, toe",,Gondwan etymology,,,,,,,,,,,,5409,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=632&root=config
vēla,root,,Gondwan etymology,,,,,,,,,,,,5535,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=890&root=config
"ver_i ā- ""(shaman) to be possessed""","foolish, simple",,Gondwan etymology,,,,,,,,,,,,5511,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=896&root=config
"vīvani ""a fan""","to throw off or away, fling",,Gondwan etymology,,,,,,,,,,,,5450,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkonet&text_number=912&root=config
