Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aṇ- (aṇḍ-) ""(hunger or thirst) is felt""",to thirst,,Dravidian etymology,,Also Parjianḍkuḍthirst,,,,,,,! Irregular case.,,,109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=55&root=config
addam,mirror,,Dravidian etymology,,,,,,,,,,,,147,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1&root=config
adr-ap-,to shake (tr.),,Dravidian etymology,,,,,,,,,,,,137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=7&root=config
ag-,to be torn,,Dravidian etymology,,Also Gadba_S3akp-to tear,,,,,,,,,,16,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=11&root=config
anuyp-,to kill,,Dravidian etymology,,"Also Saluranuyk-to kill, destroy",,,,,,,"Initialn-in South Parji is unclear; quite obviously, it cannot be of archaic origin.",,,277,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=31&root=config
arg-ēr-,to be digested,,Dravidian etymology,,,,,,,,,,,,316,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=40&root=config
"ayp- ""to clean, wipe""",to sweep,,Dravidian etymology,,Also Kolamiayak(obl.ayk-) rubbish,,,,,,,,,,194,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=57&root=config
"atkap- ""to mend, join""","to mend, join",,Dravidian etymology,,Also Gadba_S3atkua joint,,,,,,,The Gadba form <*at-k-[V]p-.,,,145,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=50&root=config
atta,father's sister,,Dravidian etymology,,,,,,,,,The Naikri-Naiki forms are somewhat unclear (what is Naikibāy?),,,142,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=48&root=config
"avve ""old woman""",old woman; grandmother,,Dravidian etymology,,,,,,,,,,,,273,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=52&root=config
addap-,to blot,,Dravidian etymology,,,,,,,,,,,,285,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=5&root=config
"ās- ""to choose""",to winnow; to choose,,Dravidian etymology,,,,,,,,,,,,363,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=64&root=config
"āḍa payya ""female calf""",female,,Dravidian etymology,,,,,,,,,,,,400,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=4&root=config
ādir,hail,,Dravidian etymology,,,,,,,,,,,,406,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=66&root=config
"ān-ēr- ""to come to help""",to help,,Dravidian etymology,,,,,,,,,,,,408,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=78&root=config
āgulp-,to obstruct,,Dravidian etymology,,,,,,,,,,,,340,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=69&root=config
"ākupacan ""green""",leaf?,,Dravidian etymology,,,,,,,,,,,,335,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1501&root=config
āmk-,to yawn,,Dravidian etymology,,"Also Parjiāmkuḍ,āvkuḍ,ākuba yawn; Gadba_S3āmkuna yawn",,,,,,,"External data shows*-v-to be original. Both variants were probably free, with*-v->*-m-due to expressive character of the form.",,,392,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=75&root=config
