Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
ḍāpa (ḍāt-),to lie in wait for,,Gondwan etymology,,"Also Kuiāṛpa(āṛt-),āṭpa(āṭt-) to hide (tr.), conceal",,,,,,,"The root is a former bisyllabic base. Original*aḍa-> PK*ḍā-, while in the transitive form no metathese was required.",,,63,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=175&root=config
"aḍa ""a screen, an intervening or intercepting object (said to be < Oraon)""","to obstruct; screen, interception",,Gondwan etymology,,Also Kuiḍākolia hide shield; Kuwi_Saddungaacross (in measuring);aḍḍeānaito resist,,,,,,,"Kuiḍākoliis very hard to compare with Kuwi forms, for in this case we should suppose a   separate Kui reduction. Much more probable is that it is derived from Kuiḍākishell (of   tortoise, etc.), cf. DED 2989. The root itself displays an extremely rare case of PK (and  probably PDR, cf. the dictionary) voiced geminate; in fact, it is so rare it is not excluded that the root itself was borrowed from Telugu.",,,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=6&root=config
"āḍa (āḍi-) ""to be suitable, fitting, proper, convenient, excellent, good, handsome; to suit, fit, agree""",to be able,,Gondwan etymology,,Also Kuiāṭka(āṭki-) pl. action,,,,,,,"The variant found with a short vowel in Kuwi_Su seems to stand isolated against the corresponding data of both Kui and other Kuwi dialects. However, external data indicates that it is this variant that is most archaic.  In Kuwi_F we should expect*ādalior, at least,*addali, but instead find a mysterious -rd-.",,,78,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=39&root=config
"ḍāmba (ḍāmbi-) ""to pound, crush by pounding; n. pounding, crushing""","to pound, break",,Gondwan etymology,,Also Kuwi_Suḍap-(-h-) to break,,,,,,,,,,77,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=8&root=config
"aḍre, aḍrene","useless, empty, idle; adv. without sense or reason, without benefit, without shelter or food, idly, in vain",,Gondwan etymology,,,,,,,,,,,,107,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=9&root=config
"aia, aiali, aja, ia, ija, ijali ""mother, woman""",mother; woman,,Gondwan etymology,,"Also Kuwi_Fmāiyamy mother,māyayour mother;aiyawoman; Kuwi_Smāyiamy, our mother,mīyayour mother; Kuwi_Suiya(pl.-ska) mother;mīyayour mother",,,,,,,"The forms*ayaand*yayaactually had different meanings in PK  (as well as in PDR) -     'woman' and 'mother' respectively. However, in modern dialects they have been  often contaminated,     as in Kui. Moreover, some Kuwi dialects have inherited PDR possessive forms, or,  rather, the     tendency of their ""possessivisation"": the formmāiyagoes back to*mā-yaya'us +  mother',      while  Kuwi_Fmāyaand Kuwi_Smīyago back to*mī-yaya'you +  mother'.  The initial*y-in the form for 'mother' has to be postulated principally because of different vocalism   in     these    two  forms (cf. PK*yamb-> Kuwi_Famb-, Kuwi_Simb-). In Kuwi_F*yaya>*īya(and not*āya, which would have been regular) because of the influence of  the following-y-(like*yambi>imbibecause of the following-i-). In   Kui  the   variants-i-and-j-seem to be free; the variant-j-should be the regular one,  but  we  may  suggest that the variant with-i-has been preserved for expressive reasons. As  for other Kui  dialects, it is hard to say whether some of them have lost one of the two forms  (*ayaand*yaya), having generalized the other one for both meanings, or whether they have  merged  phonetically,  since  reflexes  of  PK*ya-are unknown. Thus,  Kuwi_Isrāyamay   reflectaya, having lost the form*yaya, or may represent both of them, if we suggest a  development*ya->ā-(indeed, the second explanation is preferable, since otherwise it is  impossible to  explain the vowel length).",,,364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=35&root=config
"ake ""grandfather, ancestor""",grandfather,,Gondwan etymology,,Also Kuiakenjagrandfather,,,,,,,,,,24,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=15&root=config
"a- ""that over there""",that (remote),,Gondwan etymology,,,,,,,,,"There are four main deictic stems in PK:*a-,*i-,*e-,*u-. Of these,*i-is  the simplest of all: it is preserved in all the main sources of data (that is, Kui, Kuwi_F and  Kuwi_S) and always means 'this'. As for the other ones, all three were preserved in Kui where they  seem to retain their original functions:e-as 'that nearer',a-as 'that further' ando-(from*u-) as 'that at the greatest distance'. In Kuwi_F*e-was lost, and the other  two shifted meanings:u-'that intermediate',a-'that farthest'. In Kuwi_S, instead,*a-was lost, but the other two forms were left intact.",,,1,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=10&root=config
"alpa (alt-) ""to weave sticks together into fence, interlace, plait, intertwine""","to plait, weave",,Gondwan etymology,,,,,,,,,"Conjugation types do not match here: Kui points to PK*-p-, while in Kuwi there are no traces of this suffix. Both forms may be original.",,,260,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=17&root=config
"lānja (lānji-) ""to sprinkle, scatter around; n. sprinkling""",to sprinkle; to bail out,,Gondwan etymology,,,,,,,,,"Vowel lengthening in Kui and Kuwi_F is secondary, as shown by external data; the reasons of this, however, are unknown.",,,305,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=20&root=config
"ḍāsa (ḍāsi-) ""to measure; act of measuring""",to measure,,Gondwan etymology,,,,,,,,,,,,295,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=574&root=config
algu,rice obtained from paddy without boiling it,,Gondwan etymology,,,,,,,,,,,,255,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=19&root=config
ale,term of affection addressed to a child,,Gondwan etymology,,,,,,,,,Expressive.,,,251,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=16&root=config
"ama, amali, amadi ""father's sister, maternal uncle's wife, lady""",maternal relation,,Gondwan etymology,,,,,,,,,,,,183,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=21&root=config
"āmbu (pl. āpka) ""arrowhead""",arrow,,Gondwan etymology,,Also Kui (Friend-Pereira)ambuarrow,,,,,,,"Winfield has an extremely strangeā-which is supported neither by Kuwi forms, nor by external data, nor even by the Friend-Pereira grammar. One of the possible explanations is compensatory lengthening in the plural (resulting from*-mbk->-pk-) which by analogy has been generalized.",,,178,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=24&root=config
"aja (aji-) ""to fear; fear, dread""",to fear,,Gondwan etymology,,"Also Kuiaska(aski-) pl. action;ajifear, terror;ajanjāpa,ajansāpadanger, peril, terror;aspa(ast-) to cause to fear; Kuwi_Fajjifear",,,,,,,In Kuwi_S we should have expected*ajjinai; lack of gemination occurs also in PKK*vaǯ-.,,,55,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=12&root=config
"tangi, angi",younger sister,,Gondwan etymology,,Also Kuiangomother's younger sister,,,,,,,,,,3015,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=221&root=config
āpo (pl. āporu),"boy, son",,Gondwan etymology,,"Also Kuiāpigirl, wife",,,,,,,,,,156,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=49&root=config
"rāga (rāgi-) ""to be rubbed, worn by friction, be chafed; n. friction, abrasion, attrition""","to rub, wash",,Gondwan etymology,,"Also Kuirāpka(<rāk-p-;rākt-) to cause to rub together, wear by friction;rēsa(rēsi-) to rub, chafe; n. act of rubbing; Kuwi_Srājinaito launder",,,,,,,"The final consonant (-k-,-g-,-c-) in all these forms reflects older causative / transitive / intransitive suffixes; more complicated is the question of vocalic differences betweenrā-g-aandrē-s-a, etc. - these indicate that we may actually be dealing with two different roots here.",,,228,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=981&root=config
