Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
acc,thorn,,Dravidian etymology,,"Also MLTac-acroprickly. (If the root really belongs together with Gondi*ac-'to cut', cf. also MLTasye'to chisel', DEDR 46).",,,,,,,,,,45,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=2&root=config
"aṛknā ""to knead, shampoo by squeezing from place to place""",to knead; to press,,Dravidian etymology,,Also MLTaṛketo thrust or wedge in.,,,,,,,,,,63,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=36&root=config
aṛxā,any leguminous plant or eatable greens.,,Dravidian etymology,,,,,,,,,,,,59,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=37&root=config
aṛxā,spleen,,Dravidian etymology,,,,,,,,,The PND ending is impossible to determine (the suffixes do not match in Kurukh and Malto).,,,91,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=34&root=config
"aḍnā ""to furnish (a drum) with skin, cover it with leather, (birds or bees) construct a nest or honeycomb, stop stubbornly where one is (a naughty child, intrepid combatants, etc.)""",to cover; to hinder,,Dravidian etymology,,Also MLTaṛatreto hinder,,,,,,,The epenthetic vowel in Malto seems to point to an original *-ṛ- (since the inlaut clusterḍris not prohibited in Malto).,,,83,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=32&root=config
"aṭṭnā ""to spread out upon the ground something folded or rolled up, dispose coins on the ground in close heaps (for counting or a big payment), construct, make""",to spread,,Dravidian etymology,,Also MLTaṭpobedding.,,,,,,,,,,102,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=44&root=config
arxnā,to dig,,Dravidian etymology,,,,,,,,,,,,11,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=30&root=config
akhuā,"seed-bud, sprout, shoot",,Dravidian etymology,,"Also KURakrārnāto germinate, shoot, sprout (although [Pfeiffer:168] suggests borrowing from IA, cf. HJ. ãkurā 'sprout', etc.).",,,,,,,"Inlaut-kh-in Kurukh is provisionally traced back to PNDR*-G-; normally a phonetic sequence like-khu-is not met in Kurukh, therefore the reconstruction is quite arbitrary (even if the root is most probably of PDR origin).",,,15,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=1&root=config
"ayaŋg ""mother (without explicit reference to the children)""",mother,,Dravidian etymology,,"Also KURayōmother (iŋgyō,niŋgyō,taŋgyōmy, thy [his, her, their] mother); MLTijjothy or your mother;tehohis, her, or their mother.",,,,,,,,,,364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=49&root=config
ā,that,,Dravidian etymology,,,,,,,,,,,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=52&root=config
alAp,"hollow place underground, cavern",,Dravidian etymology,,"(?) Also KURlātāhole, cavity, den.",,,,,,,,,,308,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=17&root=config
allā,dog,,Dravidian etymology,,,,,,,,,,,,2916,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=13&root=config
"algā ""sluggish, without energy""",sluggish,,Dravidian etymology,,"Also (?) KURlayākoyāmoving or waling listlessly (as though the limbs had no strength);laikoyOrnāto move the limbs in a negligent, languid fashion as though deficient in strength or manliness.",,,,,,,The Malto form may not belong here.,,,236,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=16&root=config
alkhnā,"to laugh, laugh at, mock, seduce",,Dravidian etymology,,"Also KURalkhānakhrnāto laugh together, have unlawful intercourse;alkhābanʔnājoking relations; MLTalqroperson addicted to laughter.",,,,,,,,,,254,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=12&root=config
alkhṛā,parched rice,,Dravidian etymology,,,,,,,,,,,,255,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=18&root=config
alraʔānā,to clean grains from minor rubbish by shaking gently with the hand,,Dravidian etymology,,"Also KURalrārnā(grains mixed with straw bits, etc.) undergo the process of cleaning; to be restless, agitated, fret, behave feverishly.",,,,,,,,,,240,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=15&root=config
"amṛī, amḍī, ambṛī",water in which rice has been cooked,,Dravidian etymology,,,,,,,,,,,,174,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=22&root=config
"ā̃ṛsnā ""to reach, arrive at, come, overtake, hear about""",to arrive,,Dravidian etymology,,"Also KURā̃ṛsrnāto be within reach;ā̃ṛstārnāto be brought up to a certain place; MLTan_ṛstreto cause to arrive, convey.",,,,,,,,,,120,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=67&root=config
