Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aṇp- ""to agree""","to join, unite",,Gondwan etymology,,Also Kuwi_Faṇḍatasipartner;andivi aiyalito be friendly; Kuwi_Fantūmenses; Kuwi_Saṭhinaito add; Kuwi_Israṭ-(-h-) to mix (tr.),,,,,,,"Both Kuwi_Faṇḍatasiandantūare probably borrowings. Kuwi_Sandinaiis probably  misspelled (*anḍinaishould be expected; only one such case). The same problem arises with Kuwi_Saṭhinai: retroflex consonants are extremely rare in this dialect, and we should expect (at least, in the transcription), a simple dental. This way, the retroflex here is either misspelled or, if the word itself is a new borrowing or influenced by some other dialect or language, probably obligatory in a relatively new word-formation.",,,120,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=25&root=config
"āngeṇi ""lane, alley""","to intercept, prevent",,Gondwan etymology,,"Also Kuiāngēni,āngēṛia fence; Kuwi_Sāshinaito impede",,,,,,,Kuwi_Sāshinaiis mysterious (probably borrowed from Teluguā̃cu).,,,340,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=56&root=config
"rāṭ- ""to cry out""",to call,,Gondwan etymology,,"Also Kuwi_Sārpinaito call;ārh'naito invite; Kuwi_Mahrāṭudin, noise, uproar",,,,,,,"The form in  Kui_Mah is unclear, but if  we can tracerāṭ->*ārṭ->*ārt-,  the latter may historically represent the past tense of*ārp-.",,,367,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=50&root=config
bā̃uli,wild cat,,Gondwan etymology,,,,,,,,,,,,4106,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=64&root=config
soṭā,lame,,Gondwan etymology,,Also Kuwi_Fsōtalame man; Kuwi_Isr fem.soṭi,,,,,,,,,,2838,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=121&root=config
"supri ""musk-rat""","shrew, musk-rat",,Gondwan etymology,,,,,,,,,,,,2675,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=129&root=config
damaka,flat ground on top of a mountain,,Gondwan etymology,,,,,,,,,,,,3239,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=137&root=config
"ḍorgi ""chameleon""","chameleon, lizard",,Gondwan etymology,,,,,,,,,"Inlaut*-gḍ-(see external parallels) > Kui-0-; in Kuwi*-gḍ->*-ṛg-(metathese), then another metathese to avoid a bad cluster.",,,2977,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=192&root=config
"egowā- ""to arrive (compound withvā-to come)""",to arrive,,Gondwan etymology,,"Also Kuieppa(ept-) to cause to reach, cause to arrive at, cause to suffice; Kuwi_Isreda-to arrive (personal object);ep-(-it-) to cause to reach.",,,,,,,"The problem with this root is that in most (or all dialects) of Kui-Kuwi it was not used alone,  but only in combination with the root*vā-'to come' (*ey-v[ā]-) or other suffixes. In Kui*ey-v-a>*ey-pa>*e-pa, whileeppais a secondary causative. In Kuwi_F this cluster is probably responsible for the inlaut-j-(since PK*-y-normally > Kuwi_F-y-), although the exact way of development is unclear. Kuwi_Mah is an archaic form:egowā-obviously results from*ey-vā-. Then-in Kuwi_D is mysterious (although it does have parallels in Manda).",,,809,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=209&root=config
"epki ki-""to cause to climb""",to climb,,Gondwan etymology,,"Also Kui_Kek-to load on a cart; Kuwi_Sekh'naito heighten, promote, overburden",,,,,,,"The formsekasiandengasiprobably go back to*eŋg-ci, whereasekasiis the regular development andengasiis the secondary epenthesed form.",,,766,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=223&root=config
"gahpo ""fastening, tying""",to tie,,Gondwan etymology,,,,,,,,,,,,1099,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=243&root=config
"koŋkaṭā ""crooked, bent""","bent, crooked",,Gondwan etymology,,"Also Kuwi_Mahkaŋgaṇielbow; Kuwi_Isrgōŋkoṭ̣ibent, crooked",,,,,,,"The forms with suffixes are*kong-eṇi,*kong-eṛi, maybe*kong-eṭiin Kuwi_Mah and Kuwi_Isr. The reasons of different vocalisation in Kui are not quite clear; maybe it is due to different assimilations.",,,2032,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=498&root=config
o'ḍā,goat,,Gondwan etymology,,,,,,,,,,,,5152,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=803&root=config
gandā,cloth,,Gondwan etymology,,,,,,,,,,,,1180,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=247&root=config
kāyyu,weed,,Gondwan etymology,,,,,,,,,,,,1439,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=440&root=config
kirpā,skull,,Gondwan etymology,,,,,,,,,"In Kuwi_Isr initialg-probably because of contamination withgorpashell of tortoise, skull.",,,1555,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=470&root=config
kakkāyū,boy,,Gondwan etymology,,"Also Kuikogaria small woman, girl, animal, or thing;kogara mogaraa small piece; particle;kogeri,kogismall, tiny, little;goi(pl.goiska) girl friend (a term of endearment used by one woman or girl to another)",,,,,,,In Kuwi*-ɣ->-k-through assimilation.,,,2030,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=483&root=config
"kubbu ""chignon, woman's hair-bun""",coil of hair; coiffure,,Gondwan etymology,,"Also Kuikupulicrest of a bird, tuft of feathers",,,,,,,"In Kuikupuliprobably <*kopuli. Kuwi forms are almost certainly borrowed from SDR, especially since the inlaut-bb-is extremely rare in Kuwi.",,,2110,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=488&root=config
koṛgi,"hoe, mattock",,Gondwan etymology,,,,,,,,,,,,2064,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=482&root=config
"gṛoklā ""throat""",Adam's apple,,Gondwan etymology,,Also Kuwi_Kasigṛoklathroat,,,,,,,,,,2150,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=298&root=config
"kupki ki- ""to make to sit""",to sit,,Gondwan etymology,,,,,,,,,In Kuwi dialects-o->-u-probably because of surrounding back consonants. This is also one of the cases when conjugations in Kui and Kuwi do not match: it is t-conjugation in Kui and it-conjugation in Kuwi.,,,1628,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=535&root=config
kūna,buttock,,Gondwan etymology,,,,,,,,,,,,1693,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=563&root=config
"mrāyenju ""wife's younger brother""",a k. of relation,,Gondwan etymology,,Also Kuimrīgenjumaternal uncle's son;mrīgibelonging to one's maternal uncle,,,,,,,,,,4762,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=651&root=config
"miṇig- ""to shine""",to lighten,,Gondwan etymology,,Also Kuwi_Smrih'naito sparkle; Kuwi_Isrmṇispulightening,,,,,,,,,,4876,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=683&root=config
