Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aḍḍe ānai""to resist""","to obstruct; screen, interception",,Gondwan etymology,,Also Kuiḍākolia hide shield; Kuwi_Saddungaacross (in measuring);aḍḍeānaito resist,,,,,,,"Kuiḍākoliis very hard to compare with Kuwi forms, for in this case we should suppose a   separate Kui reduction. Much more probable is that it is derived from Kuiḍākishell (of   tortoise, etc.), cf. DED 2989. The root itself displays an extremely rare case of PK (and  probably PDR, cf. the dictionary) voiced geminate; in fact, it is so rare it is not excluded that the root itself was borrowed from Telugu.",,,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=6&root=config
āḍ-,to be able,,Gondwan etymology,,Also Kuiāṭka(āṭki-) pl. action,,,,,,,"The variant found with a short vowel in Kuwi_Su seems to stand isolated against the corresponding data of both Kui and other Kuwi dialects. However, external data indicates that it is this variant that is most archaic.  In Kuwi_F we should expect*ādalior, at least,*addali, but instead find a mysterious -rd-.",,,78,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=39&root=config
"īya ""mother, woman""",mother; woman,,Gondwan etymology,,"Also Kuwi_Fmāiyamy mother,māyayour mother;aiyawoman; Kuwi_Smāyiamy, our mother,mīyayour mother; Kuwi_Suiya(pl.-ska) mother;mīyayour mother",,,,,,,"The forms*ayaand*yayaactually had different meanings in PK  (as well as in PDR) -     'woman' and 'mother' respectively. However, in modern dialects they have been  often contaminated,     as in Kui. Moreover, some Kuwi dialects have inherited PDR possessive forms, or,  rather, the     tendency of their ""possessivisation"": the formmāiyagoes back to*mā-yaya'us +  mother',      while  Kuwi_Fmāyaand Kuwi_Smīyago back to*mī-yaya'you +  mother'.  The initial*y-in the form for 'mother' has to be postulated principally because of different vocalism   in     these    two  forms (cf. PK*yamb-> Kuwi_Famb-, Kuwi_Simb-). In Kuwi_F*yaya>*īya(and not*āya, which would have been regular) because of the influence of  the following-y-(like*yambi>imbibecause of the following-i-). In   Kui  the   variants-i-and-j-seem to be free; the variant-j-should be the regular one,  but  we  may  suggest that the variant with-i-has been preserved for expressive reasons. As  for other Kui  dialects, it is hard to say whether some of them have lost one of the two forms  (*ayaand*yaya), having generalized the other one for both meanings, or whether they have  merged  phonetically,  since  reflexes  of  PK*ya-are unknown. Thus,  Kuwi_Isrāyamay   reflectaya, having lost the form*yaya, or may represent both of them, if we suggest a  development*ya->ā-(indeed, the second explanation is preferable, since otherwise it is  impossible to  explain the vowel length).",,,364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=35&root=config
akku,grandfather,,Gondwan etymology,,Also Kuiakenjagrandfather,,,,,,,,,,24,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=15&root=config
"allinai ""to intertangle, plait""","to plait, weave",,Gondwan etymology,,,,,,,,,"Conjugation types do not match here: Kui points to PK*-p-, while in Kuwi there are no traces of this suffix. Both forms may be original.",,,260,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=17&root=config
"lanjinai ""to scatter, speckle""",to sprinkle; to bail out,,Gondwan etymology,,,,,,,,,"Vowel lengthening in Kui and Kuwi_F is secondary, as shown by external data; the reasons of this, however, are unknown.",,,305,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=20&root=config
lācinai,to measure,,Gondwan etymology,,,,,,,,,,,,295,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=574&root=config
"amma ""aunt, mother-in-law""",maternal relation,,Gondwan etymology,,,,,,,,,,,,183,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=21&root=config
"ambu ""bow""",arrow,,Gondwan etymology,,Also Kui (Friend-Pereira)ambuarrow,,,,,,,"Winfield has an extremely strangeā-which is supported neither by Kuwi forms, nor by external data, nor even by the Friend-Pereira grammar. One of the possible explanations is compensatory lengthening in the plural (resulting from*-mbk->-pk-) which by analogy has been generalized.",,,178,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=24&root=config
"andinai ""to join, meet""","to join, unite",,Gondwan etymology,,Also Kuwi_Faṇḍatasipartner;andivi aiyalito be friendly; Kuwi_Fantūmenses; Kuwi_Saṭhinaito add; Kuwi_Israṭ-(-h-) to mix (tr.),,,,,,,"Both Kuwi_Faṇḍatasiandantūare probably borrowings. Kuwi_Sandinaiis probably  misspelled (*anḍinaishould be expected; only one such case). The same problem arises with Kuwi_Saṭhinai: retroflex consonants are extremely rare in this dialect, and we should expect (at least, in the transcription), a simple dental. This way, the retroflex here is either misspelled or, if the word itself is a new borrowing or influenced by some other dialect or language, probably obligatory in a relatively new word-formation.",,,120,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=25&root=config
