Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
accu,"mould, type",,Dravidian etymology,,,,,,,,,In Kodagu and Tulu the root is augmented by the nominal suffix-i.,,,0047,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=42&root=config
aṭaŋŋuka,to submit; to hide,"aṭakkukato press down, subdue, swallow, allay, quiet;aṭakkambeing contained; all, whole; self-control, modesty, secrecy",Dravidian etymology,,,,,,,,,"The more archaic version of the stem, without the velar nasal suffix, is seen in Tuluaḍē-vuni.",,,0063,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=55&root=config
aṭa,betel leaf,,Dravidian etymology,,,,,,,,,,,,0059,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=51&root=config
aṭa-maẓa,heap; to collect,"aṭalincessant (of rain);aṭikkaṭirepeatedly;aṭṭi keṭṭuka,aṭṭikkuiṭukato pile up, ram, pack close",Dravidian etymology,,,,,,,,,"Kannadaaḍḍa, with a voiced geminate, and Tuluaṭṭideviate from the general mass of forms with strong verbal suffixes. It is possible that all the stems go back to an original monosyllabic*aṭṭ-(*aḍḍ-?), but contaminations and occasional dialectisms are not excluded either.",,,0084,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=76&root=config
cilampam,fencing,cilampifencer,,,,,,,,,,,,,2564,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2185&root=config
"aṭakka, aṭekka",areca-nut,,Dravidian etymology,,,,,,,,KOR (T)ḍakkeareca nut,"A compound:*aḍai""betel; areca"" +*kāj""fruit"". The second root becomes reduced in most languages due to its post-tonic position. For the other compound (*aḍai-kat-""instrument for cracking betel nuts"") cf.*kati""knife"".",,,0088,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=80&root=config
ataṭṭuka,"to rebuke, scold, reprimand",,Dravidian etymology,,,,,,,,,"Burrow & Emeneau place this in the same entry with*adir-'to shake, tremble, intimidate, etc.'. While the semantic link is possible (atiralso has the meaning 'rebuke'), the morphological ties are harder to understand. The formataṭṭuis an obvious causative, but it cannot be from*adir-tu(which should have yielded Tamilatirttu); it can only be from*adaḷ-tu. The stem*adaḷ-is not, however, attested directly; there is Tuluaddalipuni, with an unclear geminate, and possibly also Kan.adalu'to tremble', if-l-dial. <*-ḷ-. As for the other Tamil forms,atampu(= Kan.adapu) <*adaḷ-mbu;atakaṭiis an unclear expressive formation.",,,0137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=122&root=config
aṭava,a k. of fish,,Dravidian etymology,,,,,,,,,"It is unclear which variant (with*-l-or*-v-) is primary. Obviously Tam.aṭalai= Mal.aṭava, but whether this is dialectal variation or a case of morphological restructuring is unknown.",,,0068,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=60&root=config
aṭa,"to shut, close; to obstruct","aṭayukato be shut, shut up, be enclosed;aṭavustoppage, block, obstruction;aṭekkato shut, obstruct, block up, lock; to be shut, rendered impervious;aṭeppu,aṭappuobstruction, whatever covers or closes a hole, stopper;aṭappam,aṭappana stopper, cork;aṭeppikkato cause to lock or shut;aṭṭamwhat is across, transverse, thwarting",Dravidian etymology,,,,,,,,,,,,0083,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=75&root=config
aṭṭika,necklace,,Dravidian etymology,,,,,,,,,,,,0095,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=86&root=config
