Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
acu,thorn,,Dravidian etymology,,"Also MLTac-acroprickly. (If the root really belongs together with Gondi*ac-'to cut', cf. also MLTasye'to chisel', DEDR 46).",,,,,,,,,,45,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=2&root=config
"aṛge, aṛgese ""to press down, close an opening by pressing a heavy object against""",to knead; to press,,Dravidian etymology,,Also MLTaṛketo thrust or wedge in.,,,,,,,,,,63,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=36&root=config
aṛgu,spleen,,Dravidian etymology,,,,,,,,,The PND ending is impossible to determine (the suffixes do not match in Kurukh and Malto).,,,91,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=34&root=config
"aṛare ""to be hindered""",to cover; to hinder,,Dravidian etymology,,Also MLTaṛatreto hinder,,,,,,,The epenthetic vowel in Malto seems to point to an original *-ṛ- (since the inlaut clusterḍris not prohibited in Malto).,,,83,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=32&root=config
adyare,to be agitated,,Dravidian etymology,,,,,,,,,,,,137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=3&root=config
aṭye,"to be fit, be enough",,Dravidian etymology,,,,,,,,,,,,78,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=46&root=config
"aṭe ""to spread (as bedding), create""",to spread,,Dravidian etymology,,Also MLTaṭpobedding.,,,,,,,,,,102,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=44&root=config
"aṭge, aṭgi","near, close",,Dravidian etymology,,Also MLTāṭipāṭineighbourhood,,,,,,,,,,79,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=47&root=config
agare,"to spread, increase, become public",,Dravidian etymology,,"Also MLTagatreto spread, distribute.",,,,,,,,,,8,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=9&root=config
arg̣e,to dig,,Dravidian etymology,,,,,,,,,,,,11,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=30&root=config
"ayya ""my mother""",mother,,Dravidian etymology,,"Also KURayōmother (iŋgyō,niŋgyō,taŋgyōmy, thy [his, her, their] mother); MLTijjothy or your mother;tehohis, her, or their mother.",,,,,,,,,,364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=49&root=config
ā,that,,Dravidian etymology,,,,,,,,,,,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=52&root=config
-l-,negative morpheme,,Dravidian etymology,,,,,,,,,,,,234,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=276&root=config
ale,dog,,Dravidian etymology,,,,,,,,,,,,2916,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=13&root=config
"alesi ""sweat, heat""",sluggish,,Dravidian etymology,,"Also (?) KURlayākoyāmoving or waling listlessly (as though the limbs had no strength);laikoyOrnāto move the limbs in a negligent, languid fashion as though deficient in strength or manliness.",,,,,,,The Malto form may not belong here.,,,236,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=16&root=config
alqe,"to laugh, laugh at, mock, seduce",,Dravidian etymology,,"Also KURalkhānakhrnāto laugh together, have unlawful intercourse;alkhābanʔnājoking relations; MLTalqroperson addicted to laughter.",,,,,,,,,,254,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=12&root=config
ale,O! employed to a plurality of persons,,Dravidian etymology,,,,,,,,,,,,251,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=14&root=config
an_ṛse,to arrive,,Dravidian etymology,,"Also KURā̃ṛsrnāto be within reach;ā̃ṛstārnāto be brought up to a certain place; MLTan_ṛstreto cause to arrive, convey.",,,,,,,,,,120,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=67&root=config
"ambe ""to leave off, forsake""","to let go, leave",,Dravidian etymology,,Also KURambādon't!; MLTambadon't!,,,,,,,,,,329,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=21&root=config
anaṛeye,"to affront, mock",,Dravidian etymology,,,,,,,,,,,,111,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=23&root=config
aŋg̣le,to gape,,Dravidian etymology,,"Also KURaŋglnā,aŋglaʔānāto gape, open the mouth wide, be open; MLTaŋg̣loopen-mouthed.",,,,,,,,,,34,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=51&root=config
arge,"to climb, mount an animal, rise (as sun, moon, stars), rise in pitch (as a drum), get puffed up, (eyes) are turned up before death; (argas) to make climb, lift, haul up, take upon one's shoulders, lay a burden on, begin, raise, increase",,Dravidian etymology,,"Also KURargtaʔānā,argaʔānāto make climb, lift up, etc.; MLTargtreto lift, raise.",,,,,,,"A good example on the differentiation of the 'active' and 'concealed'-j-in Kurukh verbal stems: the -j-preterite and simple preterite stems respectively reflect the unmarked and the causative meanings. In Malto the ""concealed""-j-is implicitly indicated by the stop-g-(*arg-nāwould have yielded*arg̣-e).",,,231,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=28&root=config
"asr-, asrān, asr-asr-āne ""to hesitate""",to tremble,,Dravidian etymology,,,,,,,,,"See KR-17. In DEDR the Malto form is tentatively compared with Tam.ayir'to suspect', etc., but it is hardly reasonable to separate it from Kurukhasrnāto which it corresponds perfectly.",,,37,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=41&root=config
asge,to stick,,Dravidian etymology,,"Also KURassAgtaʔānāto glue, paste or make otherwise adhere; MLTasgreto adhere;asg̣eto paste on, make of two things one.",,,,,,,,,,43,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=39&root=config
balre,"to slip off, be left behind",,,,Also MLTbaltreto let escape or slip off,,,,,,,,,,5298,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=77&root=config
"awg̣e ""to expose to the heat of the sun or fire""",to warm (oneself),,Dravidian etymology,,"Also MLTawg̣reto bask in the sun, warm oneself at a fire.",,,,,,,The reconstruction is provisional (Malto -w- could turn out to be secondary).,,,18,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=48&root=config
"āde ""to select, discriminate, judge""",to touch; to select,,Dravidian etymology,,,,,,,,,,,,363,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=58&root=config
āqe,"to ripen, become mature",,Dravidian etymology,,,,,,,,,,,,339,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=53&root=config
