Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
aḍ-,to be able,,Gondwan etymology,,,,,,,,,,,,78,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=1&root=config
aya,mother,,Gondwan etymology,Also Pengoaya-taṛiwoman;teyafemale of animal;teyhimother (related to 3rd person); Mandatayafemale of animal,,,,,,,,In Manda two protoforms (*yay-originally meaning 'my mother') merged phonetically.,,,364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=20&root=config
ṛanj-,to bail out (water) by sprinkling,,Gondwan etymology,,,,,,,,,,,,305,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=522&root=config
lēc-,to measure,,Gondwan etymology,,,,,,,,,,,,295,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=280&root=config
ama,father's sister,,Gondwan etymology,,,,,,,,,,,,183,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=10&root=config
amb (pl. apke),arrow,,Gondwan etymology,,,,,,,,,,,,178,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=9&root=config
aŋlā-,to open mouth,,Gondwan etymology,,,,,,,,,,,,34,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=21&root=config
"re- (-t-) ""to fall, descend, (sun) to set""",to fall,,Gondwan etymology,"Also Pengovēṛa arbonḍsetting of the sun, west;rat-(-t-) to let fall, drop; motionratka-; intens.ratpa-; Mandaret-to let fall, drop",,,,,,,,Mandare-is an analogical back-formation fromre-t-; the Pengo oppositionar-/ra-t-is probably more archaic.,,,233,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=14&root=config
"ah- (-t-) ""to seize, catch""",to seize,,Gondwan etymology,,,,,,,,,,,,51,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=17&root=config
ava,elder brother's wife,,Gondwan etymology,,,,,,,,,,,,273,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=19&root=config
ā- (āt-),"to be, become",,Gondwan etymology,,,,,,,,,,,,333,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=22&root=config
āṛ (pl. ācke),"woman, wife",,Gondwan etymology,Also Mandaāco-mgāṛ(pl.āco-mgahke) woman,,,,,,,,,,,400,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=30&root=config
