Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"accānā ""to cut off (hand, foot, etc.)""",to cut,,Gondwan etymology,,"Also Gondi_Traskānā, Gondi_Muask-to cut (meat), carve (ask-is pl. action ofacc-)",,,,,,,,,17,46,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=3&root=config
"ōr (pl. -k) ""he, that man, those men""","he, that man",,Gondwan etymology,,,,,,,,,,,441,1,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=884&root=config
"tannā, tannāl, tannor",elder brother,,Gondwan etymology,,Also Gondi_Trtanhaṛālelder brother (respectful),,,,,,,In some dialects only encountered with the pronominal prefixt-.,,1652,131,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=28&root=config
tangē,elder brother's wife,,Gondwan etymology,,Also Gondi_FHangesister-in-law,,,,,,,Koyayeŋgeshould be considered as a 1st person possessive form ('my..'),,"15, 1644",3015,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=47&root=config
arrānā,to fall,,Gondwan etymology,,"Also caus. Gondi_Trarhuttānā, Gondi_Pharahtānā,arsahtānā, Gondi_Muarih-/arh-, Gondi_Sarah-, Gondi_A (SR)arusānāto cause to fall; Gondi_Korāl-to fall (< Telugu)",,,,,,,,,"72, 3027",233,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=29&root=config
avval,mother,,Gondwan etymology,,"Also Gondi_Maavval(pl.avvasku) mother; Gondi_Lavālmother; Gondi_Trmaiwalmy mother (lit. our mother);mīwalthy mother (lit. your mother);awhāṛīmother, dam of man or beast; Gondi_Phavhā̆rīid. (for-harisee 2357)",,,,,,,,,102,273,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=46&root=config
"ārānā ""to heat, to cool""",to warm oneself; cool,,Gondwan etymology,,Also Gondi_Ph caus.ārsahtānā; Gondi_Mu caus.ārih-; Gondi_S caus.ārcah-,,,,,,,,,135,404,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=49&root=config
"aittānā ""to ripen (of corn)""",to ripen,,Gondwan etymology,,Also Gondi_Phaiyānāto be ripe; caus.aisahtānā,,,,,,,,,116,339,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=66&root=config
"berelī, birelī ""banyan""","banyan, pipal tree",,Gondwan etymology,,"Also Gondiālī̆pipal tree (many dialects), Gondi_Muberelbanyan",,,,,,,In most dialects*berāl->*berel-through assimilation.,,"142, 2604",382,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=56&root=config
"buḍrī, boḍḍī, muḍ(ḍ) ""navel, navel-string""",navel,,Gondwan etymology,,,,,,,,,,,2977,4460,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=732&root=config
"buiyā ""hair, feathers""",down; feathers,,Gondwan etymology,,,,,,,,,,,"2589, 2316, 2584",4358,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=118&root=config
"sāhcānā, sāhtānā ""to make to grow or spread""","to stretch, spread",,Gondwan etymology,,"Also Gondi_Tr, Gondi_A (SR)sāngānāto spread as a creeper; Gondi_Ma caus.āʔ-; Gondi_Koāh-to stretch out",,,,,,,The Adilabad form shows an irregular c-; Telugu influence?,,3365,2433,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1097&root=config
sēlār,younger sister,,Gondwan etymology,,,,,,,,,,,3486,2783,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1107&root=config
suhkānā,to suck,,Gondwan etymology,,,,,,,,,,,3449,2621,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1166&root=config
sunj-,to sleep,,Gondwan etymology,,"Also Gondi_Mu caus.hunjih-; Gondi_Muhuskaṛsleep; Gondi_Elwinhuskār, Gondi_Mauskaṛ,uskanḍid.",,,,,,,,,"3437, 3578",3291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1171&root=config
"senāl (pl. -or), (Fem.) seno (pl. -hk)",old,,Gondwan etymology,,Also Gondi_Musēnoold woman,,,,,,,,,3479,2808,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=131&root=config
ciḍrāl,squirrel,,Gondwan etymology,,,,,,,,,,,1314,2518,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=133&root=config
"cikkal ""muskrat""",muskrat; mouse,,Gondwan etymology,,,,,,,,,,,1304,2495,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=134&root=config
hūrānā,to see,,Gondwan etymology,,"Also Gondi_Chd caus.huṛsutānāto show; Gondi_Whūṛsahtānāto reveal; Gondi_Ph, Gondi_Wsūrālblind",,,,,,,The formhupsānāis probably borrowed from Telugu.,,"3462, 3571",2735,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1176&root=config
"ḍaṛgāl ""pot-bellied man""",pot-bellied,,Gondwan etymology,,,,,,,,,,,1554,3020,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=154&root=config
dēr (pl. ḍērk),a belch,,Gondwan etymology,,,,,,,,,,,1586,3451,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=162&root=config
"ḍokke ""sp. lizard""",lizard,,Gondwan etymology,,Also Gondi_Trpidrī-ḍokkēthe house-lizard;ḍoggālchameleon,,,,,,,,,"1597, 1600, 2227",2977,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=176&root=config
raigānā,to descend,,Gondwan etymology,,"Also Gondi_Tr caus.rehtānā,ragstānāto cause to descend",,,,,,,,,3049,516,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1059&root=config
"lēng ""voice, noise""",voice; noise,,Gondwan etymology,,,,,,,,,,,3127,835,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=619&root=config
addī,heat of the sun,,Gondwan etymology,,"Also Gondi_A (SR)yaddihot, sunlight",,,,,,,,,342,869,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=199&root=config
"erītānā ""to hurt, pain""",to hurt,,Gondwan etymology,,,,,,,,,,,347,811,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=233&root=config
"attānā ""to take in one's lap""",to take or carry (child),,Gondwan etymology,,Also Gondi_Ph caus.accahtānā; Gondi_Settuhigh,,,,,,,,,"338, 339",796,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=223&root=config
"ērānā ""to be separated, be separate from""",to be separated,,Gondwan etymology,,Also Gondi_Tr caus.ērstānā,,,,,,,,,393,915,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=226&root=config
"kaṭṭe ""whiskers""",whiskers; beard,,Gondwan etymology,,,,,,,,,"Forms in Gondi_W and Gondi_Ph are probably re-borrowed from some Indo-Arian dialect. The final-min Gondi_S is archaic, as shown by external data.",,"479, 1030",1156,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=236&root=config
"ghonṭa ""a section of bamboo used as a receptacle for oil or salt""",pipe; piece of bamboo,,Gondwan etymology,,Also Gondi_A (Su.)goṭṭaquiver,,,,,,,,,"1257, 1188, 1258",2059,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=277&root=config
"guḍḍī ""temple""",temple; tomb,,Gondwan etymology,,,,,,,,,,,1113,1655,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=290&root=config
godā,nest,,Gondwan etymology,,,,,,,,,,,"1171, 1197",1883,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=322&root=config
"ēr (pl. ērk) ""he, this man, these men""","he, this man",,Gondwan etymology,,,,,,,,,"The original quality of the vowel has been preserved in Gondi_S (īn<*iv-n) and Gondi_Ch, which alone of all dialects has preserved some traces of-v-in its former position:iyel<*iv-l<*iv-nR. In most other dialects vowel quality has been modified, and some preserved the original-v-by means of a metathese.",,"390, 181, 212, 3314",410,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=348&root=config
"irrānā ""to keep, place, preserve""","to put, place; to keep",,Gondwan etymology,,,,,,,,,,,182,442,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=325&root=config
iru (pl. iruhk),mahua,,Gondwan etymology,,Also Gondi_A (Su.)hirpmahua;hirūkmahua flowers,,,,,,,Forms with-kare actually plural forms.,,183,485,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=346&root=config
