Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aḍī ""down""","beneath; low, below",,Gondwan etymology,,Also Gondi_Muaḍitalower;aṛkebelow; Gondi_Koaṛgitalower,,,,,,,,,33,72,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=6&root=config
tāpe,father,,Gondwan etymology,,"Also Gondi_Trmaipōmy father;mī-āpōthy father; Gondi_Ko (Su.)tappe(his, her) father",,,,,,,,,"133, 1656",156,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=59&root=config
"aṭuval ""a cook""",to cook,,Gondwan etymology,,Also Gondi_Traṭyārboiling water; Gondi_A (SR)aṭvālcooking-pot,,,,,,,,,"26, 27, 28",76,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=41&root=config
avā,mother,,Gondwan etymology,,"Also Gondi_Maavval(pl.avvasku) mother; Gondi_Lavālmother; Gondi_Trmaiwalmy mother (lit. our mother);mīwalthy mother (lit. your mother);awhāṛīmother, dam of man or beast; Gondi_Phavhā̆rīid. (for-harisee 2357)",,,,,,,,,102,273,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=46&root=config
"phukā, bhukā",cheek,,Gondwan etymology,,,,,,,,,,,2558,4242,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=114&root=config
"burā, puḷā ""feather""",down; feathers,,Gondwan etymology,,,,,,,,,,,"2589, 2316, 2584",4358,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=118&root=config
"hīk- ""to tear""",to tear; splinter,,Gondwan etymology,,Also Gondi_Lhīkavalcarpenter; Gondi_Ko (Su.)īŋ-to be torn,,,,,,,,,"3396, 3560",2491,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1147&root=config
hunjānā,to sleep,,Gondwan etymology,,"Also Gondi_Mu caus.hunjih-; Gondi_Muhuskaṛsleep; Gondi_Elwinhuskār, Gondi_Mauskaṛ,uskanḍid.",,,,,,,,,"3437, 3578",3291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1171&root=config
"hurrve ""honey""",bee; honeycomb,,Gondwan etymology,,Also Gondi_Maor̨vekind of bee;or̨ve neyihoney,,,,,,,Gondi_Maur̨ve tallahasu-probably due to specific accent/reduction reasons.,,3448,2689,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1164&root=config
"dolanā ""to perish, be destroyed""",to die,,Gondwan etymology,,,,,,,,,,,1616,2988,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=177&root=config
dubā,dust,,Gondwan etymology,,Also Gondi_A (Su.)dubbādirt,,,,,,,"The change*-m->-b-in some dialects is probably due to assimilation. However, initial retroflex inḍubais probably misspelled.",,"1571, 1876",3332,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=196&root=config
enmīdī,eight,,Gondwan etymology,,AlsoGondi_Hislopyermudeight; Gondi_Traṛmuhkeight each,,,,,,,,,670,784,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=212&root=config
"ermī ""female buffalo""",buffalo,,Gondwan etymology,,,,,,,,,,,352,816,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=219&root=config
"erpānā ""to spread""",to receive,,,,Other Gondi dialects haveēt-as well.,,,,,,,"The formēt-goes back to*ēn-t-; however, Gondi_Lerpānāis probably not related.",,"380, 351",905,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=229&root=config
"gumiyā ""tomb, grave""",pit; grave,,Gondwan etymology,,,,,,,,,,,1143,1818,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=302&root=config
"leyor ""young (masc.)""","boy, young man",,Gondwan etymology,,"Also Gondi_Tr, Gondi_Ph, Gondi_Chd fem.raiyā; Gondi_L fem.leyā; Gondi_Ma fem.leya(pl.-sk); Gondi_Ko fem.lēydaṛ, (T)ledāḍi;Gondi_A (Su.) fem.ḍiyyā; Gondi_A (SR)lehmīyouth",,,,,,,,,"3066, 3125",513,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=612&root=config
kaṇī,arrow,,Gondwan etymology,,,,,,,,,,,,1166,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=403&root=config
"kahita, kelā",bitter,,Gondwan etymology,,"Also Gondi_W, Gondi_Phkaitālbitter; Gondi_Trkehkebitter; Gondi_Mukaylebitter;kaymul burkabitter gourd; Gondi_Kokaymulbitter; Gondi_Lkayārraw, unripe; Gondi_Kokay-kaṭbile; Gondi_A (Su.)kaymūlbitterness",,,,,,,,,"520, 521, 523",1249,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=443&root=config
kiyānā,"to do, make, prepare",,Gondwan etymology,,"Also caus. Gondi_Phkīsahtānā, Gondi_Mukīh-; Gondi_Skīmuṛdoing",,,,,,,,,703,1957,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=492&root=config
kīnd,cold,,Gondwan etymology,,"Also Gondi_A (Su.)kinnānwet, cool;kinnītacold",,,,,,,,,678,1601,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=485&root=config
"kīr ""a wound""",wound; bit,,Gondwan etymology,,,,,,,,,,,689,1624,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=494&root=config
kāndāl,dumb,,Gondwan etymology,,,,,,,,,,,905,2097,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=511&root=config
"kupā kiyānā ""to gather together""","heap, stack",,Gondwan etymology,,"Also Gondi_Lkupāhanāto gather, collect",,,,,,,,,760,1731,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=572&root=config
"koruku ""crane""",crane; heron,,Gondwan etymology,,,,,,,,,,,"870, 874",2125,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=522&root=config
"gore ""deer""",sheep; deer,,Gondwan etymology,,Also Gondi_A (SR)goregoat,,,,,,,Gondi_Ma-rr-probably stands for-r̨-here.,,"1208, 1209",2165,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=271&root=config
"karīng, koring",cold,,Gondwan etymology,,,,,,,,,,,995,2168,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=412&root=config
"koduvasaka, koselā",fat,,Gondwan etymology,,,,,,,,,,,"944, 951",2146,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=520&root=config
"kusor ""herbs, vegetables""",cooked vegetable,,Gondwan etymology,,,,,,,,,,,812,1760,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=592&root=config
hānā,to die,,Gondwan etymology,,"Also Gondi_A (SR)sānālcorpse; Gondi_Lhāva, Gondi_Wsātāldead",,,,,,,,,3335,2426,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1092&root=config
miyālī,daughter,,Gondwan etymology,,,,,,,,,,,2832,4616,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=724&root=config
meṇḍā,knee,,Gondwan etymology,,,,,,,,,,,2827,4677,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=711&root=config
"vanjī ""rice, seed""","rice, paddy",,Gondwan etymology,,Also Gondi_Avanjipaddy,,,,,,,,,3146,5265,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1354&root=config
matu,medicine,,Gondwan etymology,,,,,,,,,,,,4719,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=662&root=config
"maras, mar(a)su, mag̣su",axe,,Gondwan etymology,,,,,,,,,,,2738,4749,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=629&root=config
veḍer,"neck, throat",,Gondwan etymology,,Also Gondi_Lveḍorīneck;veḍāgāthroat,,,,,,,,,3287,4847,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1394&root=config
meṭā,"mountain, hill",,Gondwan etymology,,Also Gondi_A (SR)meṭṭāhillock,,,,,,,,,2949,5058,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=695&root=config
meṇḍū̆l,body,,Gondwan etymology,,,,,,,,,,,2963,5099,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=700&root=config
"mīḍīnā, miḍiyānā ""to overturn""",to turn round,,Gondwan etymology,,"Also Gondi_Ma caus.miṛʔ-to turn over, invert",,,,,,,,,2845,4870,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=717&root=config
"mīḍsā, mīrcā ""lightning""",to flash; spark,,Gondwan etymology,,Also Gondi_Amiṛc-to lighten; Gondi_A (Su.)miṛc-to glitter;miṛcvallightning; Gondi_Lu_Smeersheetattalightning; Gondi_Mamiṛŋgor̨spark; Gondi_A (Su.)minŋūṛspark,,,,,,,,,"2844, 2837",4876,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=707&root=config
"miyānā, mīnā ""to bathe""","to wash, bathe",,Gondwan etymology,,Also Gondi_Lmīcnāto bathe another; Gondi_Mumīh-id.,,,,,,,,,2855,4878,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=723&root=config
modol,beginning,,Gondwan etymology,,,,,,,,,,,"2979, 2980",4950,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=730&root=config
molkī,back,,Gondwan etymology,,,,,,,,,,,2995,4986,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1447&root=config
muyol,cloud,,Gondwan etymology,,,,,,,,,,,2987,4892,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=747&root=config
"morkānā ""to worship""","to bend, bow",,Gondwan etymology,,,,,,,,,,,"2921, 3004",5123,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=737&root=config
"murculi ""waist""",the back; waist,,Gondwan etymology,,Also Gondi_Mnaṛi-mursūlwaist,,,,,,,,,"2908, 2983, 2995",4955,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=765&root=config
"muṛandānā ""to drown""","to sink, immerse",,Gondwan etymology,,"Also Gondi_Trmuṛhuttānāto plunge (tr.); Gondi_Wmuriānā(sun) to set; Gondi_Ph caus.murīsahtānā,murahtānā; Gondi_Mmuṛndānāto sink, be drowned; Gondi_Ko (Su.)mu-to immerse (tr.); Gondi_A (Su.)muḍḍūŋ-to be immersed;muḍḍūs-to immerse",,,,,,,,,2924,4993,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=775&root=config
"mohā ""face""",beak; snout,,Gondwan etymology,,Also Gondi_Gmundorisnout,,,,,,,,,"2890, 2997",5031,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=759&root=config
murri,cow,,Gondwan etymology,,,,,,,,,,,2898,5041,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=796&root=config
"darkā ""fox""",jackal,,Gondwan etymology,,,,,,,,,The formnarkalis probably influenced by SDRnari.,,"1930, 1842",3606,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=807&root=config
noṇe,rope,,Gondwan etymology,,"Also Gondi_Snōṭ-to twine (rope); Gondi_A (Su.)nōṛerope, bowstring;nōṭ-to entwine",,,,,,,,,2064,2908,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=860&root=config
nihnā,good,,Gondwan etymology,,,,,,,,,,,2041,3735,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=823&root=config
"nīṭum, nītum ""indeed, truly""","true, right",,Gondwan etymology,,,,,,,,,,,2002,3739,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=856&root=config
"nīrā ""shadow""","shade, shadow",,Gondwan etymology,,,,,,,,,,,2009,3679,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=854&root=config
māmaṭ (obl. mā-),we,,Gondwan etymology,,Also Gondinamoṭwe,,,,,,,,,2707,5154,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=866&root=config
"nanā, nannā (obl. nā-)",I,,Gondwan etymology,,,,,,,,,,,1923,5160,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=867&root=config
nīmaṭ (obl. mī-),you (pl.),,Gondwan etymology,,,,,,,,,,,178,3688,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=868&root=config
"nosanā ""to ache, pain""",to hurt; pain,,Gondwan etymology,,"Also Gondi_Munōyh-,nōph-,nōh-to pain (tr.);nōykaṛpain; Gondi_Lnosīpain; Gondi_Konoppupain",,,,,,,,,2057,3793,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=861&root=config
nūr,hundred,,Gondwan etymology,,,,,,,,,"Also Hislopnur, Gondi_A (Su.)nūr(pl.nuhk) hundred",,2019,3729,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1442&root=config
