Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aḍ(ḍ)i ""below, low""","beneath; low, below",,Gondwan etymology,,Also Gondi_Muaḍitalower;aṛkebelow; Gondi_Koaṛgitalower,,,,,,,,,33,72,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=6&root=config
ādmānā,to press,,Gondwan etymology,,,,,,,,,,,50,133,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=10&root=config
"yāyo ""mother""",mother; female,,Gondwan etymology,,Also Gondi_Wmaijūwife,,,,,,,"The form*māy-means 'my mother', while*mīy-is 'your mother'",,"69, 180, 2796, 2854, 3007",364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1430&root=config
"lāv ""force""",strength,,Gondwan etymology,,,,,,,,,,,3112,291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=611&root=config
"amma ""father""",father; grandmother,,Gondwan etymology,,,,,,,,,,,"67, 68",183,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=25&root=config
"ānglānā ""to yawn""","to open mouth, yawn",,Gondwan etymology,,Also Gondi_Mu caus.alŋgh-/alŋgih-,,,,,,,,,14,34,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=48&root=config
-,father,,Gondwan etymology,,"Also Gondi_Trmaipōmy father;mī-āpōthy father; Gondi_Ko (Su.)tappe(his, her) father",,,,,,,,,"133, 1656",156,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=59&root=config
"arayul ""chest of body""",udder; chest,,Gondwan etymology,,,,,,,,,"Retroflex articulation in Betul and Mandla is strange and probably erroneous. Various epenthetic vowels in different dialects are due to developments*arjil>*arijl>*arijVl, on one side, and*arjil>*arVjil>*arVjl>*arVjVl, on the other.",,76,200,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=37&root=config
as-,to buy,,Gondwan etymology,,,,,,,,,,,103,51,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=39&root=config
aṭ-,to cook,,Gondwan etymology,,Also Gondi_Traṭyārboiling water; Gondi_A (SR)aṭvālcooking-pot,,,,,,,,,"26, 27, 28",76,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=41&root=config
"avkānā ""to tire""",to be tired,,Gondwan etymology,,,,,,,,,The intransitive form is*avi-; the opposite transitive one is*av-k-.,,101,267,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=45&root=config
"āl(i) ""pipal tree""","banyan, pipal tree",,Gondwan etymology,,"Also Gondiālī̆pipal tree (many dialects), Gondi_Muberelbanyan",,,,,,,In most dialects*berāl->*berel-through assimilation.,,"142, 2604",382,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=56&root=config
"bail ""plain""",open space,,Gondwan etymology,,,,,,,,,,,2502,3940,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=79&root=config
"banḍa ""stone, rock""",stone,,Gondwan etymology,,,,,,,,,,,2484,3903,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=74&root=config
bukā,cheek,,Gondwan etymology,,,,,,,,,,,2558,4242,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=114&root=config
helāṛ,younger sister,,Gondwan etymology,,,,,,,,,,,3486,2783,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1107&root=config
"hikānā ""to tear""",to tear; splinter,,Gondwan etymology,,Also Gondi_Lhīkavalcarpenter; Gondi_Ko (Su.)īŋ-to be torn,,,,,,,,,"3396, 3560",2491,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1147&root=config
ikāṛ,darkness,,Gondwan etymology,,,,,,,,,"Gondi_Mu is irregular (*hīkaṛwould be expected), probably re-borrowed from another dialect.",,3379,2604,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1132&root=config
"huppe ""rat, mouse""","mouse, rat",,Gondwan etymology,,,,,,,,,,,3440,2675,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1172&root=config
hunjānā,to sleep,,Gondwan etymology,,"Also Gondi_Mu caus.hunjih-; Gondi_Muhuskaṛsleep; Gondi_Elwinhuskār, Gondi_Mauskaṛ,uskanḍid.",,,,,,,,,"3437, 3578",3291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1171&root=config
