Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"ukko ""(i.e.akko) maternal grandfather""",grandfather; grandchild,,Gondwan etymology,,,,,,,,,,,"6, 7",24,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=18&root=config
"belee ""goor""",jaggery,,,,,,,,,,,,,2667,5494,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=89&root=config
"eldè ""a sister""",younger sister,,Gondwan etymology,,,,,,,,,,,3486,2783,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1107&root=config
"hunchkaree ""sleep""",to sleep,,Gondwan etymology,,"Also Gondi_Mu caus.hunjih-; Gondi_Muhuskaṛsleep; Gondi_Elwinhuskār, Gondi_Mauskaṛ,uskanḍid.",,,,,,,,,"3437, 3578",3291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1171&root=config
"koomooree ""the koombhee tree""",a k. of tree,,Gondwan etymology,,,,,,,,,,,1149,1742,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=301&root=config
"goodar ""hoe""",spade; axe,,Gondwan etymology,,,,,,,,,,,749,1722,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=553&root=config
"inkawata ""hiccough""",belch,,Gondwan etymology,,,,,,,,,,,171,419,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=338&root=config
irpoo,mahua,,Gondwan etymology,,Also Gondi_A (Su.)hirpmahua;hirūkmahua flowers,,,,,,,Forms with-kare actually plural forms.,,183,485,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=346&root=config
"kunchukna ""dream""",to dream,,Gondwan etymology,,Also Gondi_Trkanskstānāto send a dream (of god); Gondi_A (SR)kanjkānāto dream,,,,,,,,,507,1407,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=405&root=config
kusee,itch,,Gondwan etymology,,,,,,,,,,,1019,1104,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=241&root=config
"keerkè ""a bit or piece""",wound; bit,,Gondwan etymology,,,,,,,,,,,689,1624,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=494&root=config
