Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"acc- ""to split, saw""",to cut,,Gondwan etymology,,"Also Gondi_Traskānā, Gondi_Muask-to cut (meat), carve (ask-is pl. action ofacc-)",,,,,,,,,17,46,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=3&root=config
"aḍit ""below""","beneath; low, below",,Gondwan etymology,,Also Gondi_Muaḍitalower;aṛkebelow; Gondi_Koaṛgitalower,,,,,,,,,33,72,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=6&root=config
adm-,to press,,Gondwan etymology,,,,,,,,,,,50,133,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=10&root=config
"aḍra ""very bad""",bad,,Gondwan etymology,,,,,,,,,,,36,107,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=11&root=config
"ayal ""mother""",mother; female,,Gondwan etymology,,Also Gondi_Wmaijūwife,,,,,,,"The form*māy-means 'my mother', while*mīy-is 'your mother'",,"69, 180, 2796, 2854, 3007",364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1430&root=config
"akko ""daughter's son or daughter, grandson's wife""",grandfather; grandchild,,Gondwan etymology,,,,,,,,,,,"6, 7",24,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=18&root=config
lāv,strength,,Gondwan etymology,,,,,,,,,,,3112,291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=611&root=config
aŋge,elder brother's wife,,Gondwan etymology,,Also Gondi_FHangesister-in-law,,,,,,,Koyayeŋgeshould be considered as a 1st person possessive form ('my..'),,"15, 1644",3015,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=47&root=config
"alŋg-/aliŋ- ""to open (mouth)""","to open mouth, yawn",,Gondwan etymology,,Also Gondi_Mu caus.alŋgh-/alŋgih-,,,,,,,,,14,34,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=48&root=config
ar-,to fall,,Gondwan etymology,,"Also caus. Gondi_Trarhuttānā, Gondi_Pharahtānā,arsahtānā, Gondi_Muarih-/arh-, Gondi_Sarah-, Gondi_A (SR)arusānāto cause to fall; Gondi_Korāl-to fall (< Telugu)",,,,,,,,,"72, 3027",233,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=29&root=config
as-,to buy,,Gondwan etymology,,,,,,,,,,,103,51,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=39&root=config
"aṛka ""cooking pot""",cooking-pot,,Gondwan etymology,,,,,,,,,,,25,75,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=43&root=config
