Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
aḍḍam,obstruction,,Dravidian etymology,,Also Parjiaḍḍom er-to obstruct,,,,,,,The final-min these forms may betray their origin as borrowings from Telugu (although this is not certain).,,,83,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=2&root=config
"adum- ""to squeeze, press""",to press,,Dravidian etymology,,,,,,,,,"A very rare case of such a cluster in PKG, resulting in a unique occurrence of-yb-in Parji.",,,133,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=6&root=config
agul-/agl-,to dig,,Dravidian etymology,,Also Naikiagulmurdigging,,,,,,,,,,11,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=15&root=config
"ōn, ōr, ad, anda ""that man, those men, that woman or thing, those women or things""",that,,Dravidian etymology,,"Also Kolami adj. (rarely used)ā; Naikri adj.ā; Parji adj.ā; Ollari adj.ā,āy",,,,,,,"The inflected forms are as follows:*avnd_(masc. sg.),*avr(masc. pl.),*ad(fem. sg.). As for the fem./neut. pl. form, external data shows*avto be most archaic. The formadavhas obviously developed by analogy withad; as for Naikianda, it is unclear.",,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=9&root=config
"amṛo ""elder brother's wife""",mother; sister,,Dravidian etymology,,Also Kolamiavre tāk ammanertheir parents (tākfather); Naikiamma tākparents,,,,,,,,,,183,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=28&root=config
"taŋgon ""husband's or wife's elder brother""",a k. of relation,,Dravidian etymology,,Also Kolami_SRtaŋgodāwife's elder sister; Naikritaŋgoḍalwife's elder sister; Naikitaŋgodahusband's elder sister; (?) Gadba_S3naggalwife's younger sister,,,,,,,,,,3015,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1237&root=config
aŋgāṛ,market,,Dravidian etymology,,,,,,,,,,,,35,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=60&root=config
"ar ""half, in:ar sōlaa measure""",,,Dravidian etymology,,,,,,,,,,,,229,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=38&root=config
"argil ""chest of body""",chest,,Dravidian etymology,,,,,,,,,The metathesis*-gil>-gliin Kolami and Naikri is quite regular.,,,200,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=42&root=config
"ark- ""to cut paddy, harvest""","to cut, harvest",,Dravidian etymology,,Also Naikiarup-/arp-to cut,,,,,,,,,,212,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=41&root=config
ay-,to sweep,,Dravidian etymology,,Also Kolamiayak(obl.ayk-) rubbish,,,,,,,,,,194,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=57&root=config
"aṛka ""earthen pot""",earthen pot,,Dravidian etymology,,,,,,,,,,,,75,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=51&root=config
ato bāy,father's sister,,Dravidian etymology,,,,,,,,,The Naikri-Naiki forms are somewhat unclear (what is Naikibāy?),,,142,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=48&root=config
"āy- ""to winnow with sideways motion""",to winnow; to choose,,Dravidian etymology,,,,,,,,,,,,363,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=64&root=config
āṛ- (āṭ-),to play,,Dravidian etymology,,"Also Kolamiāḍp-(āḍapt-) to make to play, fondle (a child); Naiki caus.āṛup-/āṛp-",,,,,,,,,,347,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=65&root=config
"ār- ""to be dried, be emaciated""",to be dry; to cool down,,Dravidian etymology,,"Also Kolamiārp-(ārapt-) to make to dry; Naikiārup-/ārp-to dry up, heal (tr.); Salurālupp-to make something cool; (P)alap-to cure",,,,,,,,,,404,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=81&root=config
