Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"ḍhāŋ- ""to hide (intr.), be hidden""",to hide,,Dravidian etymology,,"Also Kolamiḍāp-(ḍāpt-),ḍāŋgip-(ḍāŋgipt-) to hide (tr.); Naikri caus.ḍhāŋgip-;ḍhāp-to cover, hide",,,,,,,The forms with-ip-are probably Kolami-Naikri innovations.,,,63,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=193&root=config
"aḍ ""thirst""",to thirst,,Dravidian etymology,,Also Parjianḍkuḍthirst,,,,,,,! Irregular case.,,,109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=55&root=config
adum-,to press,,Dravidian etymology,,,,,,,,,"A very rare case of such a cluster in PKG, resulting in a unique occurrence of-yb-in Parji.",,,133,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=6&root=config
ōbaṛ- (ōbaṭ-),to be got,,Dravidian etymology,,Also Kolamioparip-(opaript-) to find,,,,,,,,,,7,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=54&root=config
"ayma ""woman""",mother,,Dravidian etymology,,"Also Naikriayka(pl.-śikuḷ) husband's elder sister; Parjiiya(pl.iyov) mother; Ollariayalwoman, wife;asmalwoman; Salurayālwife;āsmalwoman",,,,,,,,,,364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=56&root=config
"avnd, avr, ad, adav ""that man, those men, that woman or thing, those women or things""",that,,Dravidian etymology,,"Also Kolami adj. (rarely used)ā; Naikri adj.ā; Parji adj.ā; Ollari adj.ā,āy",,,,,,,"The inflected forms are as follows:*avnd_(masc. sg.),*avr(masc. pl.),*ad(fem. sg.). As for the fem./neut. pl. form, external data shows*avto be most archaic. The formadavhas obviously developed by analogy withad; as for Naikianda, it is unclear.",,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=9&root=config
"all- ""to weave, plait""",to weave,,Dravidian etymology,,Also Parjialṭ-to be twined around;alṭayp-(alṭayt-) to wind round (tr.),,,,,,,In DEDR Salurall-is separately placed in entry 260 as 'to twine' and entry 207 as 'to spread as a creeper'.,,,260,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=21&root=config
aḷk-,to sprinkle,,Dravidian etymology,,,,,,,,,,,,305,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=23&root=config
"amma ""mother""",mother; sister,,Dravidian etymology,,Also Kolamiavre tāk ammanertheir parents (tākfather); Naikiamma tākparents,,,,,,,,,,183,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=28&root=config
"ambal ""boiled rice""",cooked rice,,Dravidian etymology,,,,,,,,,Loss of final-lin several Kolami dialects is absotely regular.,,,174,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=27&root=config
"aṭṭ- ""to stick to""",to stick,,Dravidian etymology,,"Also Kolamiaṭip-(aṭipt-) to stick (tr.), put (child) to breast; Naikriaṭip-to stick (tr.)",,,,,,,,,,96,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=34&root=config
"taŋgon, taŋgoḷ ""wife's elder brother""",a k. of relation,,Dravidian etymology,,Also Kolami_SRtaŋgodāwife's elder sister; Naikritaŋgoḍalwife's elder sister; Naikitaŋgodahusband's elder sister; (?) Gadba_S3naggalwife's younger sister,,,,,,,,,,3015,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1237&root=config
"aŋgāṛi ""bazaar""",market,,Dravidian etymology,,,,,,,,,,,,35,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=60&root=config
"aŋgāśi ""a yawn""",yawn; to gape,,Dravidian etymology,,,,,,,,,The Parji form goes back to*aŋ-l-(in PGn this is the regular form for this root).,,,34,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=62&root=config
"appo/appok (pl. appokuḷ) ""wife's younger brother""",a k. of relative,,Dravidian etymology,,,,,,,,,,,,156,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=36&root=config
"aragli ""chest of body""",chest,,Dravidian etymology,,,,,,,,,The metathesis*-gil>-gliin Kolami and Naikri is quite regular.,,,200,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=42&root=config
"ark- ""to cut, reap""","to cut, harvest",,Dravidian etymology,,Also Naikiarup-/arp-to cut,,,,,,,,,,212,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=41&root=config
"rāl- (rāṭ-) ""to fall out""",to fall,,Dravidian etymology,,Also Kolami_SRrāp-to fell; Naikrirālp-to make to fall out,,,,,,,,,,233,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1108&root=config
"arap- ""to crow""",,,Dravidian etymology,,,,,,,,,"Ollariarg-'to bellow' does not belong here, but rather to*ār-.",,,319,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=37&root=config
ayk-,to sweep,,Dravidian etymology,,Also Kolamiayak(obl.ayk-) rubbish,,,,,,,,,,194,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=57&root=config
atiak (pl. -ev),father's sister,,Dravidian etymology,,,,,,,,,The Naikri-Naiki forms are somewhat unclear (what is Naikibāy?),,,142,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=48&root=config
ājak-jaran,grandfather,,Dravidian etymology,,,,,,,,,,,,50,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=70&root=config
āṛ-,to play,,Dravidian etymology,,"Also Kolamiāḍp-(āḍapt-) to make to play, fondle (a child); Naiki caus.āṛup-/āṛp-",,,,,,,,,,347,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=65&root=config
"ār- ""to become dry""",to be dry; to cool down,,Dravidian etymology,,"Also Kolamiārp-(ārapt-) to make to dry; Naikiārup-/ārp-to dry up, heal (tr.); Salurālupp-to make something cool; (P)alap-to cure",,,,,,,,,,404,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=81&root=config
anḍ-,to be,,Dravidian etymology,,"Also Kolamia-allomorph ofer-(edd-) to become;āp-(āpt-) to keep in a place, entrust; Naikriāp-to keep;akk-to make, do",,,,,,,,,,333,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=67&root=config
"bakka ""gum""",resin,,Dravidian etymology,,Also Kolami (Pat.)bakkasap,,,,,,,,,,3817,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=92&root=config
batt-,to live,,Dravidian etymology,,"Also Kolamibatkip-(batkipt-) to rear; Naikribadkip-to make to live, bring up",,,,,,,,,,5372,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=89&root=config
"bucuṛa ""a knot of hair""",eyebrow; hair,,Dravidian etymology,,,,,,,,,,,,4477,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=105&root=config
bokka,bone,,Dravidian etymology,,,,,,,,,,,,4528,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=113&root=config
"burra ""pumpkin, gourd""",pumpkin,,Dravidian etymology,,Also Parjiburkagourd,,,,,,,,,,4332,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=135&root=config
pukli,cheek,,Dravidian etymology,,,,,,,,,,,,4242,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=129&root=config
"būr (pl. būḍl) ""down, fine feather""",hair; eyebrow,,Dravidian etymology,,,,,,,,,,,,4358,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=137&root=config
buṛdi,ash,,Dravidian etymology,,,,,,,,,,,,4316,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=130&root=config
śerak,sugarcane,,Dravidian etymology,,,,,,,,,,,,2795,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1192&root=config
śitte,evening,,Dravidian etymology,,,,,,,,,,,,2528,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=152&root=config
"śir ""day (ok śirone day;āśirthat day, day before yesterday;ēśirwhen?)""",day,,Dravidian etymology,,Also Kolami_SRejīrwhen; Kolami (Pat.)ašiḍday before yesterday,,,,,,,,,,2553,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=154&root=config
cukka,star,,Dravidian etymology,,,,,,,,,,,,2646,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=160&root=config
"surund ""bee, honey""",bee,,Dravidian etymology,,Also Kolamisurunt pottebee; Kolami_Kincurund taṭṭahoneycomb,,,,,,,,,,2689,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=164&root=config
suṭṭ-,to wind,,Dravidian etymology,,Also Naikricuṭṭaleaf-pipe,,,,,,,,,,2715,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=166&root=config
capaṭ,a slap,,Dravidian etymology,,,,,,,,,,,,2335,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=140&root=config
tāṛ,rope,,Dravidian etymology,,,,,,,,,,,,2356,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1260&root=config
