Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"anḍ- ""(hunger or thirst) is felt""",to thirst,,Dravidian etymology,,Also Parjianḍkuḍthirst,,,,,,,! Irregular case.,,,109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=55&root=config
"aṭ- ""to strike, (rain) comes in torrents, (finger) to snap""",to strike,,Dravidian etymology,,"Also Parjimāva aṭṭ-to harrow;poṭkul aṭṭ-to clap hands, snap fingers",,,,,,,,,,77,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=49&root=config
agle,pot,,Dravidian etymology,,,,,,,,,,,,9,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=12&root=config
ā̆ya,mother,,Dravidian etymology,,"Also Naikriayka(pl.-śikuḷ) husband's elder sister; Parjiiya(pl.iyov) mother; Ollariayalwoman, wife;asmalwoman; Salurayālwife;āsmalwoman",,,,,,,,,,364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=56&root=config
"ōnḍ, ōr, ad, av ""that man, those men, that woman or thing, those women or things""",that,,Dravidian etymology,,"Also Kolami adj. (rarely used)ā; Naikri adj.ā; Parji adj.ā; Ollari adj.ā,āy",,,,,,,"The inflected forms are as follows:*avnd_(masc. sg.),*avr(masc. pl.),*ad(fem. sg.). As for the fem./neut. pl. form, external data shows*avto be most archaic. The formadavhas obviously developed by analogy withad; as for Naikianda, it is unclear.",,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=9&root=config
amb,arrow,,Dravidian etymology,,,,,,,,,,,,178,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=26&root=config
"argil ""chest of body""",chest,,Dravidian etymology,,,,,,,,,The metathesis*-gil>-gliin Kolami and Naikri is quite regular.,,,200,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=42&root=config
ays-,to sweep,,Dravidian etymology,,Also Kolamiayak(obl.ayk-) rubbish,,,,,,,,,,194,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=57&root=config
āta,father's sister,,Dravidian etymology,,,,,,,,,The Naikri-Naiki forms are somewhat unclear (what is Naikibāy?),,,142,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=48&root=config
"arg- ""to bellow""",to sound,,Dravidian etymology,,,,,,,,,Ollariarg-<*ār-g-.,,,367,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=80&root=config
