Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"anḍ- ""to be hungry or thirsty, (food or drink) is wanting, (hunger or thirst) is felt""",to thirst,,Dravidian etymology,,Also Parjianḍkuḍthirst,,,,,,,! Irregular case.,,,109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=55&root=config
"aḍḍom ""obstacle, obstruction""",obstruction,,Dravidian etymology,,Also Parjiaḍḍom er-to obstruct,,,,,,,The final-min these forms may betray their origin as borrowings from Telugu (although this is not certain).,,,83,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=2&root=config
ayb-,to press,,Dravidian etymology,,,,,,,,,"A very rare case of such a cluster in PKG, resulting in a unique occurrence of-yb-in Parji.",,,133,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=6&root=config
aṭṭ-,to strike,,Dravidian etymology,,"Also Parjimāva aṭṭ-to harrow;poṭkul aṭṭ-to clap hands, snap fingers",,,,,,,,,,77,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=49&root=config
aḍra,bad,,Dravidian etymology,,,,,,,,,,,,107,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=3&root=config
"ayal (pl. aycil) ""woman, wife""",mother,,Dravidian etymology,,"Also Naikriayka(pl.-śikuḷ) husband's elder sister; Parjiiya(pl.iyov) mother; Ollariayalwoman, wife;asmalwoman; Salurayālwife;āsmalwoman",,,,,,,,,,364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=56&root=config
"akka ""mother's father""",grandfather,,Dravidian etymology,,,,,,,,,,,,24,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=18&root=config
"ōd (obl. ōn-), ōr, ad, av ""that man, those men, that woman or thing, those women or things""",that,,Dravidian etymology,,"Also Kolami adj. (rarely used)ā; Naikri adj.ā; Parji adj.ā; Ollari adj.ā,āy",,,,,,,"The inflected forms are as follows:*avnd_(masc. sg.),*avr(masc. pl.),*ad(fem. sg.). As for the fem./neut. pl. form, external data shows*avto be most archaic. The formadavhas obviously developed by analogy withad; as for Naikianda, it is unclear.",,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=9&root=config
"alc- ""to wind round (as snake or creeper round tree)""",to weave,,Dravidian etymology,,Also Parjialṭ-to be twined around;alṭayp-(alṭayt-) to wind round (tr.),,,,,,,In DEDR Salurall-is separately placed in entry 260 as 'to twine' and entry 207 as 'to spread as a creeper'.,,,260,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=21&root=config
alk-,to sprinkle,,Dravidian etymology,,,,,,,,,,,,305,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=23&root=config
"lāv ""strength""","fat, strength",,Dravidian etymology,,,,,,,,,,,,291,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=633&root=config
"alac ""illness""","to be tired, ill",,Dravidian etymology,,Also Kolamialp-(alapt-) to make to become tired,,,,,,,,,,236,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=19&root=config
"ale ""exclamation used as voc. (a formalorwith the termination of the 2nd pl. is also recorded)""",[interjection],,Dravidian etymology,,,,,,,,,,,,251,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=20&root=config
amb,arrow,,Dravidian etymology,,,,,,,,,,,,178,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=26&root=config
"anḍ- ""(S) to attach string to bow""",bowstring; to attach (bowstring),,Dravidian etymology,,,,,,,,,,,,120,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=29&root=config
