Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
aḍer,herd of cows,,Gondwan etymology,,,,,,,,,,,,84,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=4&root=config
aḍgel,"in the way, intervening, obstructing",,Gondwan etymology,,,,,,,,,,,,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=3&root=config
aḍ- (aṛt-),to be able,,Gondwan etymology,,,,,,,,,,,,78,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=1&root=config
"aya, iya",mother,,Gondwan etymology,Also Pengoaya-taṛiwoman;teyafemale of animal;teyhimother (related to 3rd person); Mandatayafemale of animal,,,,,,,,In Manda two protoforms (*yay-originally meaning 'my mother') merged phonetically.,,,364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=20&root=config
ako (pl. -r),maternal grandfather,,Gondwan etymology,,,,,,,,,,,,24,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=7&root=config
"avan/aven/havan, avar, adel/hadel, avek, adi/adaŋ, avaŋ","that man, those men, that woman, those women, that thing, those things",,Gondwan etymology,"Also Pengo adj.ā,āy,anda;andelthat woman;andaŋthat thing;andaliŋfor that, for that reason;acaka,ace,acekthat big, so big;anṭaŋ,anṭiŋin that direction;anṭiŋtan,anṭiŋdanfrom that direction;aniover there;aneŋthus, in that way;abe,habe,ambethere;aleŋthus, in that way; ?anaymuch (? that much)",,,,,,,,,,,1,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=5&root=config
lāc- (-c-),to measure,,Gondwan etymology,,,,,,,,,,,,295,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=280&root=config
lab- (lapt-),to fit into (intr.),,Gondwan etymology,"Also Pengolap-(-t-) to insert, fit into (tr.)",,,,,,,,,,,296,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=278&root=config
lem- (-t-),"to shake, tremble",,Gondwan etymology,,,,,,,,,,,,240,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=282&root=config
ale,particle used with vocative,,Gondwan etymology,,,,,,,,,,,,251,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=8&root=config
