Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"anḍkir ""hunger""",to thirst,,Dravidian etymology,,Also Parjianḍkuḍthirst,,,,,,,! Irregular case.,,,109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=55&root=config
adb-,to press,,Dravidian etymology,,,,,,,,,"A very rare case of such a cluster in PKG, resulting in a unique occurrence of-yb-in Parji.",,,133,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=6&root=config
aṛg-,to dig,,Dravidian etymology,,Also Naikiagulmurdigging,,,,,,,,,,11,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=15&root=config
"anḍal ""bowstring""",bowstring; to attach (bowstring),,Dravidian etymology,,,,,,,,,,,,120,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=29&root=config
"ayl- ""to sift""",to winnow; to choose,,Dravidian etymology,,,,,,,,,,,,363,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=64&root=config
"al- ""to be cured""",to be dry; to cool down,,Dravidian etymology,,"Also Kolamiārp-(ārapt-) to make to dry; Naikiārup-/ārp-to dry up, heal (tr.); Salurālupp-to make something cool; (P)alap-to cure",,,,,,,,,,404,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=81&root=config
ādir,hail,,Dravidian etymology,,,,,,,,,,,,406,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=66&root=config
"boṭu ""drop, spot""",drop,,Dravidian etymology,,,,,,,,,,,,4492,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=120&root=config
bōṛa,bald,,Dravidian etymology,,,,,,,,,,,,4600,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=125&root=config
buggal (pl. buggasil),cheek,,Dravidian etymology,,,,,,,,,,,,4242,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=129&root=config
