Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*ac-,mould (n.),,,,,,,,,,,"Burrow & Emeneau tentatively suggest an IA origin for the root (Old Indiansañcaka-, Panj.sañcā, saccā""mould""). This is highly unlikely, because inlaut-c-suggests a recent borrowing from one of IA dialects where*-ñc->*-cc-; on the other hand, the ubiquitous dropping of the initial sibilant suggests a very old borrowing. Proto-Dravidian origin (with an old meaning like ""mould"" - not necessarily for casting iron) is thus more probable at the moment. // Present in 2/6 branches.",,,,,,,1,1,
*ac-,thorn; to cut,,,,,,,,,,,"Dubious (we are dealing essentially with a good PNDR root ""thorn"" and a questionable parallel in Gondi). // Present in 2/6 branches.",,,,,,,1,2,
*aḍái,to hide; to press down,,,,,,,,,,,"The original form of this stem is seen only in Tulu (aḍē-vuni). Most of the time, however, it is met with consonantal suffixes: PDR*aḍá-ŋ-, caus.*aḍá-p-with expected aphaeresis of the first syllable throughout Telugu and Central Dravidian languages. // Present in 5/6 branches.",,,,,,,1,3,
*aḍái,green plants (leaves),,,,,,,,,,,"A Tamil-Kurukh isogloss that is nevertheless quite plausible. (More widespread are derivatives like*aḍai-pa-""betel pouch"" and*aḍai-kāj""betel nut""). The PNDR form would reflect the variant*aḍa[i]-kái. // Present in 2/6 branches.",,,,,,,1,4,
*aḍái ~ *aḍí,"to compact, gather together; lump, clot",,,,,,,,,,,"Monosyllabic forms are also found but are in the minority and may be secondary. PNDR*aṛg-""spleen"" can go back to*aḍV́K-and fits in rather well phonetically; as for the shift in meaning, it is commonly observed in South Dravidian: cf. Tam.kaṭṭi""clod, lump, enlarged spleen"", Kod.gëṇḍe""spleen"", etc. // Present in 4/6 branches.",,,,,,,1,5,
*aḍái[j]āḷ- (?),"mark, token",,,,,,,,,,,See the South Dravidian database for comments. // Present in 2/6 branches.,,,,,,,1,6,
*aḍái[-kāj/-kat-],areca nut (betel nut),,,,,,,,,,,"Compound forms derived from SDR*aḍái""green leaves, betel leaves"". // Present in 2/6 branches.",,,,,,,1,7,
*adáḷ-,"to start, be alarmed",,,,,,,,,,,"Joined by Burrow & Emeneau with*adír-'to shake, tremble'. If we think of the original root as*ad-with later suffixal additions, this is quite probable. However, the fact of there being two phonologically different stems cannot be denied (cf. Tamilatirvs.ataṭṭu<*ataḷ-tu; Tel.adaruvs.adalu), and although the meanings are not always differentiated (cf., however, the differentiation in Telugu), this is sufficient evidence for at least granting them two different entries. // Present in 2/6 branches.",,,,,,,1,8,
*aḍál- ~ *aḍáv-,a k. of marine fish,,Nostratic etymology,,,,,,,,,,,,,,,,1,9,
*aḌ[Ḍ]- (?),thirst; hunger,,,,,,,,,,,"A rather odd bunch of forms. First of all, Kan.nīr-aṛkeis not easy to trace back tonīr-aḍike; its second component should better fit in with such forms asaṛipu'desire, affection',aṛkar_'love' (see PSDR*aṛi-, *aṛk-). Second, Kolamiaḍḍ-and Parji/Gadbaanḍ-cannot go back to one and the same prototype either (the former suggests*aḍḍ-, the latter*anḍ-or*and_-). We are obviously dealing with different etymons here - or at least a mix of original and contaminated forms. Dubious. // Present in 3/6 branches.",,,,,,,1,10,
*ádda- [?],mirror,,,,,,,,,,,"A cultural term with an extremely low probability of being PDr; in fact, most of the forms can be explained as borrowings from Telugu (cf. also Tamilattamid., explicitly marked as a borrowing in DEDR). Nevertheless, the origins of the Telugu form are obscure; Burrow & Emeneau compare Prakritaddāa-'mirror', but the word does not seem to have an IE etymology and may be of Dravidian origin. // Present in 3/6 branches.",,,,,,,1,11,
*áḍḍa- ~ *aḍái-,to hinder; obstacle,,,,,,,,,,,"The best evidence for the inlaut voiced geminate comes from South Dravidian languages (Kannada, Kodagu, and Tulu; in the Nilgiris gemination was lost due to the geminate finding itself in the absolute auslaut position after the syncopation of the last syllable) and Telugu. As for Central Dravidian forms, many of them may actually reflect old re-borrowings from Telugu, due to both the irregular-min the auslaut and the scarceness of the forms (in many languages, only*aḍḍa-m""obstacle"" is attested without the corresponding verbal stems). However, Kondaaṛkandaḍi-are probably original. So are the NDR forms. Cf. also cases like PDR*mok- ~ *mogám""face"" in which the original*-mis almost certainly preserved in Central Dravidian languages. // Present in 6/6 branches.",,,,,,,1,12,
*áḍḍi-,"necklace, ornament",,,,,,,,,,,"A SDR-Telugu cultural isogloss hardly pretending for PDR status; no inner etymology, however, is available. // Present in 2/6 branches.",,,,,,,1,13,
*aḍí,"foot; lower, below",,,,,,,,,,,"Cf. also Saluraḍugu""footstep"" (Burrow & Emeneau correctly indicate a borrowing from Telugu, since a trisyllabic form like this should not be expected in Gadba). // Present in 3/6 branches.",,,,,,,1,14,
