Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*ac- (pl. action*ask-),to cut (hand; meat),,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1429&root=config
*ac- (pl. action*ask-),to cut,,Gondwan etymology,,"Also Gondi_Traskānā, Gondi_Muask-to cut (meat), carve (ask-is pl. action ofacc-)",,,,,,,,,17,46,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=3&root=config
*addam,mirror,,Dravidian etymology,,,,,,,,,Hardly a proper PGn root (all the forms could have easily been borrowed from Telugu).,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1433&root=config
*addam,mirror,,Gondwan etymology,,,,,,,,,,,49,147,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=7&root=config
*aḍ-ām,to conceal; obstacle,,Dravidian etymology,,,,,,,,,"The Kui-Kuwi forms are probably borrowed from Telugu, because geminated-ḍḍ-is not usually reconstructed for PGn.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=3&root=config
*aḍ-ām,obstacle; shelter,,Gondwan etymology,,,,,,,,,,,34,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=8&root=config
*aḍi / *aḍ-gi,"below, low",,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1038&root=config
*aḍi / *aḍ-gi,"beneath; low, below",,Gondwan etymology,,Also Gondi_Muaḍitalower;aṛkebelow; Gondi_Koaṛgitalower,,,,,,,,,33,72,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=6&root=config
*adm-,to press,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1432&root=config
*adm-,to press,,Gondwan etymology,,,,,,,,,,,50,133,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=10&root=config
*aḍr-,bad,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=5&root=config
