Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*ac-,thorn; to cut,,,,,,,,,,,"Dubious (we are dealing essentially with a good PNDR root ""thorn"" and a questionable parallel in Gondi). // Present in 2/6 branches.",,,,,,,1,2,
*ac-,to cut (hand; meat),,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1429&root=config
*aḍa-,to hide; to press down,,,,,,,,,,,"The original form of this stem is seen only in Tulu (aḍē-vuni). Most of the time, however, it is met with consonantal suffixes: PDR*aḍá-ŋ-, caus.*aḍá-p-with expected aphaeresis of the first syllable throughout Telugu and Central Dravidian languages. // Present in 5/6 branches.",,,,,,,1,3,
*aḍa-,to be hidden,,Dravidian etymology,,,,,,,,,"A bisyllabic root. In Konda it is found only with derivative suffixes, but Kui has preserved the simple form.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=129&root=config
*aḍar,"to compact, gather together; lump, clot",,,,,,,,,,,"Monosyllabic forms are also found but are in the minority and may be secondary. PNDR*aṛg-""spleen"" can go back to*aḍV́K-and fits in rather well phonetically; as for the shift in meaning, it is commonly observed in South Dravidian: cf. Tam.kaṭṭi""clod, lump, enlarged spleen"", Kod.gëṇḍe""spleen"", etc. // Present in 4/6 branches.",,,,,,,1,5,
*aḍar,herd,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=932&root=config
*addam,mirror,,,,,,,,,,,"A cultural term with an extremely low probability of being PDr; in fact, most of the forms can be explained as borrowings from Telugu (cf. also Tamilattamid., explicitly marked as a borrowing in DEDR). Nevertheless, the origins of the Telugu form are obscure; Burrow & Emeneau compare Prakritaddāa-'mirror', but the word does not seem to have an IE etymology and may be of Dravidian origin. // Present in 3/6 branches.",,,,,,,1,11,
*addam,mirror,,Dravidian etymology,,,,,,,,,Hardly a proper PGn root (all the forms could have easily been borrowed from Telugu).,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1433&root=config
*aḍ- (*-ḍḍ-?),to hinder; obstacle,,,,,,,,,,,"The best evidence for the inlaut voiced geminate comes from South Dravidian languages (Kannada, Kodagu, and Tulu; in the Nilgiris gemination was lost due to the geminate finding itself in the absolute auslaut position after the syncopation of the last syllable) and Telugu. As for Central Dravidian forms, many of them may actually reflect old re-borrowings from Telugu, due to both the irregular-min the auslaut and the scarceness of the forms (in many languages, only*aḍḍa-m""obstacle"" is attested without the corresponding verbal stems). However, Kondaaṛkandaḍi-are probably original. So are the NDR forms. Cf. also cases like PDR*mok- ~ *mogám""face"" in which the original*-mis almost certainly preserved in Central Dravidian languages. // Present in 6/6 branches.",,,,,,,1,12,
*aḍ- (*-ḍḍ-?),to conceal; obstacle,,Dravidian etymology,,,,,,,,,"The Kui-Kuwi forms are probably borrowed from Telugu, because geminated-ḍḍ-is not usually reconstructed for PGn.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=3&root=config
*aḍi,"foot; lower, below",,,,,,,,,,,"Cf. also Saluraḍugu""footstep"" (Burrow & Emeneau correctly indicate a borrowing from Telugu, since a trisyllabic form like this should not be expected in Gadba). // Present in 3/6 branches.",,,,,,,1,14,
*aḍi,"below, low",,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1038&root=config
*aḍ-,"fit, appropriate",,Nostratic etymology,,,,,,,,,"The stem is often met with resonant suffixal extensions in which the original vowel shifts to-a-(*aḍú-r->*aḍǝr->aḍar-, etc.). // Present in 4/6 branches.",,,,,,,1,17,
*aḍ-,to be able,,Dravidian etymology,,,,,,,,,"The Konda form unexpectedly changed conjugation type (aṭ-can only go back to*aḍ-C-). Vowel length in PK is irregular; as a matter of fact, Kuwi_Su has shorta-, so this variant is probably more archaic.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=25&root=config
*adm-,"to squeeze, press",,,,,,,,,,,"The auslaut-m-in this root is only ""detached"" in Tamil, and even there in most forms it can be explained as the result of a secondary loss; its status as part of the root is quite obviously Proto-Dravidian. // Present in 4/6 branches.",,,,,,,1,19,
*adm-,to press,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1432&root=config
*aḍa-mb- ~ *aṭ-,to strike,,,,,,,,,,,Several different stems that may or may not go back to a single PDR root. The voiceless variant in PKG and Konda shows that the root could be monosyllabic as well (unless this is a regular development from a stem like*CVC-ú-). // Present in 4/6 branches.,,,,,,,2,1,
*aḍa-mb- ~ *aṭ-,to be hit,,Dravidian etymology,,,,,,,,,"The root was probably not used by itself in PGn. The form in Konda goes back to an old causative (hence the devoicing:aṭ-<*aḍ-p-), and there are derivatives with the suffix-mb-(in PK) and with the suffixes-ŋ-and-s-(in Konda).",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=4&root=config
*aḍ-,to be near; to happen,,,,,,,,,,,"SDR languages show significant evidence for two bases:*aḍú-(""be near to, approach"") and*aḍái-(""reach, arrive, obtain""). Kannada and Tamil also have a monosyllabic stem*aṭ-""to put, place"", but this is possibly the result of contamination with*anṭ-""to join, stick, paste"". Cf. also*aḍ-[úŋ]-""to be piled up, arranged"" which may be a historical derivative of the same root. PNDR*aṭ-g-<*aḍV́-k-. // Present in 4/6 branches.",,,,,,,2,2,
*aḍ-r-,bad,,,,,,,,,,,"The root is only found in Central Dravidian languages, but cannot be successfully derived from any prototype or traced back as a borrowing. // Present in 2/6 branches.",,,,,,,2,3,
*aḍ-r-,bad,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=5&root=config
*aj-,mother,,Nostratic etymology,,,,,,,,,"The word was used with pronominal prefixes in PDR:*tāy'his, her mother', etc. (some of these forms are innovative). The vowel was presumably long only in prefixed forms, and later was analogized in such languages as Tamil (āy'mother').",,,,,,,2,17,
*aj-,"mother, woman",,Dravidian etymology,,,,,,,,,"The root was heavily used with posessive prefixes. The most frequent form is*yay-'my mother'. In some dialects this form became generalized, with the following shift of meaning: 'my mother' > 'mother in general', 'mother' > 'woman'. A new form, based on the 1st person pl. pronoun (Gondimāy-, Kuwimāya) resulted from the loss of initialy-and the secondary merger of the simple and the prefixed forms.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=22&root=config
*V̄j-,an elder relative (father's brother; grandfather; father),,,,,,,,,,,"A widespread Dravidian root, although the basic meaning 'father' should probably be deemed secondary due to PDR already possessing two more likely candidates:*ápa-(coll.) and*-and_-(hon.). Gondwan vocalism is obscured by possible traces of former pronominal prefixes. // Present in 4/6 branches.",,,,,,,2,18,
*V̄j-,father,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1203&root=config
