Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*ḍā-ŋ- (caus.*ḍā-p-),to hide; to press down,,,,,,,,,,,"The original form of this stem is seen only in Tulu (aḍē-vuni). Most of the time, however, it is met with consonantal suffixes: PDR*aḍá-ŋ-, caus.*aḍá-p-with expected aphaeresis of the first syllable throughout Telugu and Central Dravidian languages. // Present in 5/6 branches.",,,,,,,1,3,
*ḍā-ŋ- (caus.*ḍā-p-),to hide,,Dravidian etymology,,"Also Kolamiḍāp-(ḍāpt-),ḍāŋgip-(ḍāŋgipt-) to hide (tr.); Naikri caus.ḍhāŋgip-;ḍhāp-to cover, hide",,,,,,,The forms with-ip-are probably Kolami-Naikri innovations.,,,63,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=193&root=config
*aḍḍ- ~ *anḍ- (-*-nd_-),thirst; hunger,,,,,,,,,,,"A rather odd bunch of forms. First of all, Kan.nīr-aṛkeis not easy to trace back tonīr-aḍike; its second component should better fit in with such forms asaṛipu'desire, affection',aṛkar_'love' (see PSDR*aṛi-, *aṛk-). Second, Kolamiaḍḍ-and Parji/Gadbaanḍ-cannot go back to one and the same prototype either (the former suggests*aḍḍ-, the latter*anḍ-or*and_-). We are obviously dealing with different etymons here - or at least a mix of original and contaminated forms. Dubious. // Present in 3/6 branches.",,,,,,,1,10,
*aḍḍ- ~ *anḍ- (-*-nd_-),to thirst,,Dravidian etymology,,Also Parjianḍkuḍthirst,,,,,,,! Irregular case.,,,109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=55&root=config
*adda-,mirror,,,,,,,,,,,"A cultural term with an extremely low probability of being PDr; in fact, most of the forms can be explained as borrowings from Telugu (cf. also Tamilattamid., explicitly marked as a borrowing in DEDR). Nevertheless, the origins of the Telugu form are obscure; Burrow & Emeneau compare Prakritaddāa-'mirror', but the word does not seem to have an IE etymology and may be of Dravidian origin. // Present in 3/6 branches.",,,,,,,1,11,
*adda-,mirror,,Dravidian etymology,,,,,,,,,,,,147,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1&root=config
*aḍḍam (?),to hinder; obstacle,,,,,,,,,,,"The best evidence for the inlaut voiced geminate comes from South Dravidian languages (Kannada, Kodagu, and Tulu; in the Nilgiris gemination was lost due to the geminate finding itself in the absolute auslaut position after the syncopation of the last syllable) and Telugu. As for Central Dravidian forms, many of them may actually reflect old re-borrowings from Telugu, due to both the irregular-min the auslaut and the scarceness of the forms (in many languages, only*aḍḍa-m""obstacle"" is attested without the corresponding verbal stems). However, Kondaaṛkandaḍi-are probably original. So are the NDR forms. Cf. also cases like PDR*mok- ~ *mogám""face"" in which the original*-mis almost certainly preserved in Central Dravidian languages. // Present in 6/6 branches.",,,,,,,1,12,
*aḍḍam (?),obstruction,,Dravidian etymology,,Also Parjiaḍḍom er-to obstruct,,,,,,,The final-min these forms may betray their origin as borrowings from Telugu (although this is not certain).,,,83,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=2&root=config
*aḍ-g-,"to flap, throb",,,,,,,,,,,"Kan., Tel.aḍalu<*aḍi-l-. // Present in 3/6 branches.",,,,,,,1,15,
*aḍ-g-,(pulse) throbs,,Dravidian etymology,,,,,,,,,,,,74,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1503&root=config
