Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*ḍā- (caus.*āṭ-),to be hidden,,Dravidian etymology,,,,,,,,,"A bisyllabic root. In Konda it is found only with derivative suffixes, but Kui has preserved the simple form.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=129&root=config
*ḍā- (caus.*āṭ-),to lie in wait for,,Gondwan etymology,,"Also Kuiāṛpa(āṛt-),āṭpa(āṭt-) to hide (tr.), conceal",,,,,,,"The root is a former bisyllabic base. Original*aḍa-> PK*ḍā-, while in the transitive form no metathese was required.",,,63,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=175&root=config
*adem,mirror,,Dravidian etymology,,,,,,,,,Hardly a proper PGn root (all the forms could have easily been borrowed from Telugu).,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1433&root=config
*adem,mirror,,Gondwan etymology,,,,,,,,,,,,147,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=1378&root=config
*aḍḍ- (?),to conceal; obstacle,,Dravidian etymology,,,,,,,,,"The Kui-Kuwi forms are probably borrowed from Telugu, because geminated-ḍḍ-is not usually reconstructed for PGn.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=3&root=config
*aḍḍ- (?),"to obstruct; screen, interception",,Gondwan etymology,,Also Kuiḍākolia hide shield; Kuwi_Saddungaacross (in measuring);aḍḍeānaito resist,,,,,,,"Kuiḍākoliis very hard to compare with Kuwi forms, for in this case we should suppose a   separate Kui reduction. Much more probable is that it is derived from Kuiḍākishell (of   tortoise, etc.), cf. DED 2989. The root itself displays an extremely rare case of PK (and  probably PDR, cf. the dictionary) voiced geminate; in fact, it is so rare it is not excluded that the root itself was borrowed from Telugu.",,,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=6&root=config
*āḍ-,to be able,,Dravidian etymology,,,,,,,,,"The Konda form unexpectedly changed conjugation type (aṭ-can only go back to*aḍ-C-). Vowel length in PK is irregular; as a matter of fact, Kuwi_Su has shorta-, so this variant is probably more archaic.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=25&root=config
*āḍ-,to be able,,Gondwan etymology,,Also Kuiāṭka(āṭki-) pl. action,,,,,,,"The variant found with a short vowel in Kuwi_Su seems to stand isolated against the corresponding data of both Kui and other Kuwi dialects. However, external data indicates that it is this variant that is most archaic.  In Kuwi_F we should expect*ādalior, at least,*addali, but instead find a mysterious -rd-.",,,78,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=39&root=config
*aḍ-mb-,to be hit,,Dravidian etymology,,,,,,,,,"The root was probably not used by itself in PGn. The form in Konda goes back to an old causative (hence the devoicing:aṭ-<*aḍ-p-), and there are derivatives with the suffix-mb-(in PK) and with the suffixes-ŋ-and-s-(in Konda).",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=4&root=config
*aḍ-mb-,"to pound, break",,Gondwan etymology,,Also Kuwi_Suḍap-(-h-) to break,,,,,,,,,,77,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=8&root=config
