Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*as (*-c),"mould, type",,Dravidian etymology,,,,,,,,,In Kodagu and Tulu the root is augmented by the nominal suffix-i.,,,0047,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=42&root=config
*as (*-c),mould for casting iron,,South Dravidian etymology,,,,,,,,,,,,47,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1157&root=config
*aḍǝ-,to submit; to hide,,Dravidian etymology,,,,,,,,,"The more archaic version of the stem, without the velar nasal suffix, is seen in Tuluaḍē-vuni.",,,0063,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=55&root=config
*aḍǝ-,"to stop, calm down",,South Dravidian etymology,,"Also Kotaaṛk-(aṛky-) to cause to stop;aṛkaṭmobedience;aṛkm(obl.aṛkt-) act of making submit, burial; Todaoṛk-(oṛky-) to subdue, give sleeping accomodation in a crowded place;oḍkm(obl.oḍkt-) submission, burial",,,,,,,,,,63,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=51&root=config
*aḍ-ĭ-,heap; to collect,,Dravidian etymology,,,,,,,,,"Kannadaaḍḍa, with a voiced geminate, and Tuluaṭṭideviate from the general mass of forms with strong verbal suffixes. It is possible that all the stems go back to an original monosyllabic*aṭṭ-(*aḍḍ-?), but contaminations and occasional dialectisms are not excluded either.",,,0084,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=76&root=config
*aḍ-ĭ-,often,,South Dravidian etymology,,,,,,,,,,,,84,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1010&root=config
*aḍä,areca-nut,,Dravidian etymology,,,,,,,,KOR (T)ḍakkeareca nut,"A compound:*aḍai""betel; areca"" +*kāj""fruit"". The second root becomes reduced in most languages due to its post-tonic position. For the other compound (*aḍai-kat-""instrument for cracking betel nuts"") cf.*kati""knife"".",,,0088,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=80&root=config
*aḍä,betel pouch,,South Dravidian etymology,,,,,,,,,"*-kǐ < *kāj ""fruit"" (cf. external evidence).",,,88,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=53&root=config
*aḍ[ḍ]-,"to shut, close; to obstruct",,Dravidian etymology,,,,,,,,,,,,0083,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=75&root=config
*aḍ[ḍ]-,to block; to shut,,South Dravidian etymology,,"Also Kotaaṛv-(aṛt-) (door) shuts; to shut (door, hole), shut up (cattle);aḍoblique, slanting, at right angles, crosswise;aḍ aḍat full length, at right angles;aḍ voṛtrising or setting sun;aḍ mug-to bow to ground before god or godlike person;aḍ gaṭ-to obstruct, stop; Todamɨṛk aṛf-to spoil one's voice by shouting (lit. choke to the neck);oḍcrosswise, obstructing, prostrate, contour line round a hill;oḍ oḍ foṭ-to obstruct (lit. lie crosswise);oḍ fɨḍɵ-to prostrate oneself (lit. fall horizontal);oḍ xoṭ-to obstruct;oḍtylimit beyond which one must not go;oḍɵawkward, ugly",,,,,,,,,,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=5&root=config
