Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*ac,thorn; to cut,,,,,,,,,,,"Dubious (we are dealing essentially with a good PNDR root ""thorn"" and a questionable parallel in Gondi). // Present in 2/6 branches.",,,,,,,1,2,
*ac,thorn,,Dravidian etymology,,"Also MLTac-acroprickly. (If the root really belongs together with Gondi*ac-'to cut', cf. also MLTasye'to chisel', DEDR 46).",,,,,,,,,,45,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=2&root=config
*aṛ-q-,to hide; to press down,,,,,,,,,,,"The original form of this stem is seen only in Tulu (aḍē-vuni). Most of the time, however, it is met with consonantal suffixes: PDR*aḍá-ŋ-, caus.*aḍá-p-with expected aphaeresis of the first syllable throughout Telugu and Central Dravidian languages. // Present in 5/6 branches.",,,,,,,1,3,
*aṛ-q-,to knead; to press,,Dravidian etymology,,Also MLTaṛketo thrust or wedge in.,,,,,,,,,,63,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=36&root=config
*aṛ-qā,green plants (leaves),,,,,,,,,,,"A Tamil-Kurukh isogloss that is nevertheless quite plausible. (More widespread are derivatives like*aḍai-pa-""betel pouch"" and*aḍai-kāj""betel nut""). The PNDR form would reflect the variant*aḍa[i]-kái. // Present in 2/6 branches.",,,,,,,1,4,
*aṛ-qā,any leguminous plant or eatable greens.,,Dravidian etymology,,,,,,,,,,,,59,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=37&root=config
*aṛg-,"to compact, gather together; lump, clot",,,,,,,,,,,"Monosyllabic forms are also found but are in the minority and may be secondary. PNDR*aṛg-""spleen"" can go back to*aḍV́K-and fits in rather well phonetically; as for the shift in meaning, it is commonly observed in South Dravidian: cf. Tam.kaṭṭi""clod, lump, enlarged spleen"", Kod.gëṇḍe""spleen"", etc. // Present in 4/6 branches.",,,,,,,1,5,
*aṛg-,spleen,,Dravidian etymology,,,,,,,,,The PND ending is impossible to determine (the suffixes do not match in Kurukh and Malto).,,,91,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=34&root=config
*aṛ-,to hinder; obstacle,,,,,,,,,,,"The best evidence for the inlaut voiced geminate comes from South Dravidian languages (Kannada, Kodagu, and Tulu; in the Nilgiris gemination was lost due to the geminate finding itself in the absolute auslaut position after the syncopation of the last syllable) and Telugu. As for Central Dravidian forms, many of them may actually reflect old re-borrowings from Telugu, due to both the irregular-min the auslaut and the scarceness of the forms (in many languages, only*aḍḍa-m""obstacle"" is attested without the corresponding verbal stems). However, Kondaaṛkandaḍi-are probably original. So are the NDR forms. Cf. also cases like PDR*mok- ~ *mogám""face"" in which the original*-mis almost certainly preserved in Central Dravidian languages. // Present in 6/6 branches.",,,,,,,1,12,
*aṛ-,to cover; to hinder,,Dravidian etymology,,Also MLTaṛatreto hinder,,,,,,,The epenthetic vowel in Malto seems to point to an original *-ṛ- (since the inlaut clusterḍris not prohibited in Malto).,,,83,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=32&root=config
*adjar-,"to shake, tremble; to be troubled",,,,,,,,,,,"The few Malto verbal stems in-yar-that there are do sometimes correspond to SDR stems with-i-in the second syllable (cf.tanyare'to become rich' - PSDR*taṇi-'to thrive, abound', etc.); whether the resonant-r-is the same etymologically is, however, unclear. Nevertheless, all the other forms are more or less in agreement. // Present in 4/6 branches.",,,,,,,1,16,
*adjar-,to be agitated,,Dravidian etymology,,,,,,,,,,,,137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=3&root=config
*aṭ-j-,"fit, appropriate",,Nostratic etymology,,,,,,,,,"The stem is often met with resonant suffixal extensions in which the original vowel shifts to-a-(*aḍú-r->*aḍǝr->aḍar-, etc.). // Present in 4/6 branches.",,,,,,,1,17,
*aṭ-j-,"to be fit, be enough",,Dravidian etymology,,,,,,,,,,,,78,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=46&root=config
*aṭṭ-,"to be piled up, arranged",,,,,,,,,,,"Possibly derived from PDR*aḍV́-""to be near, close"". The NDR parallel is quite dubious due to both the semantics and phonetics of the stem, but PNDR*aṭṭ-has no better etymology. // Present in 3/6 branches.",,,,,,,1,20,
*aṭṭ-,to spread,,Dravidian etymology,,Also MLTaṭpobedding.,,,,,,,,,,102,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=44&root=config
*aṭ-g-,to be near; to happen,,,,,,,,,,,"SDR languages show significant evidence for two bases:*aḍú-(""be near to, approach"") and*aḍái-(""reach, arrive, obtain""). Kannada and Tamil also have a monosyllabic stem*aṭ-""to put, place"", but this is possibly the result of contamination with*anṭ-""to join, stick, paste"". Cf. also*aḍ-[úŋ]-""to be piled up, arranged"" which may be a historical derivative of the same root. PNDR*aṭ-g-<*aḍV́-k-. // Present in 4/6 branches.",,,,,,,2,2,
*aṭ-g-,"near, close",,Dravidian etymology,,Also MLTāṭipāṭineighbourhood,,,,,,,,,,79,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=47&root=config
*agar-,"1 wide, broad 2 to leave, depart",,Nostratic etymology,,,,,,,,,"South Dravidian and Telugu languages mostly agree in displaying a bisyllabic version of the stem. It is unclear how this ties in with Maltoagare, where-ar-is a typical Malto suffix. Perhaps the Malto form <*agl-are? // Present in 3/6 branches.",,,,,,,2,8,
*agar-,"to spread, increase, become public",,Dravidian etymology,,"Also MLTagatreto spread, distribute.",,,,,,,,,,8,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=9&root=config
*arq-,to dig,,Nostratic etymology,,,,,,,,,"A clearly bisyllabic verbal stem. The NDR forms present some trouble, but it is possible that*-rq-is here a regular development <*-ṛg-<*-gǝṛ-. // Present in 4/6 branches.",,,,,,,2,13,
