Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*aḍer,herd,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=932&root=config
*aḍer,herd of cows,,Gondwan etymology,,,,,,,,,,,,84,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=4&root=config
*aḍ-g-,to conceal; obstacle,,Dravidian etymology,,,,,,,,,"The Kui-Kuwi forms are probably borrowed from Telugu, because geminated-ḍḍ-is not usually reconstructed for PGn.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=3&root=config
*aḍ-g-,"in the way, intervening, obstructing",,Gondwan etymology,,,,,,,,,,,,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=3&root=config
*aḍ-,to be able,,Dravidian etymology,,,,,,,,,"The Konda form unexpectedly changed conjugation type (aṭ-can only go back to*aḍ-C-). Vowel length in PK is irregular; as a matter of fact, Kuwi_Su has shorta-, so this variant is probably more archaic.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=25&root=config
*aḍ-,to be able,,Gondwan etymology,,,,,,,,,,,,78,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=1&root=config
*aj-a/*jaj-a/*tjaj-a,"mother, woman",,Dravidian etymology,,,,,,,,,"The root was heavily used with posessive prefixes. The most frequent form is*yay-'my mother'. In some dialects this form became generalized, with the following shift of meaning: 'my mother' > 'mother in general', 'mother' > 'woman'. A new form, based on the 1st person pl. pronoun (Gondimāy-, Kuwimāya) resulted from the loss of initialy-and the secondary merger of the simple and the prefixed forms.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=22&root=config
*aj-a/*jaj-a/*tjaj-a,mother,,Gondwan etymology,Also Pengoaya-taṛiwoman;teyafemale of animal;teyhimother (related to 3rd person); Mandatayafemale of animal,,,,,,,,In Manda two protoforms (*yay-originally meaning 'my mother') merged phonetically.,,,364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=20&root=config
*ak-,grandfather (maternal),,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=8&root=config
*ak-,maternal grandfather,,Gondwan etymology,,,,,,,,,,,,24,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=7&root=config
*a-,that (over there),,Dravidian etymology,,,,,,,,,"This deictic base had the following declineable forms in PGn:*aw-ant_[-u](whence Gondi*ōn-R, Kondavānr_uwith a metathese, etc.) 'that man', plural*aw-ar[-u]'those men'; fem.*a-d-i(PK*ādiby analogy with masculine forms), plural*a-v-i. Also reconstructed for the PGn level is*a-c-'that many, that much' (PG, PPM, PK);*a-tal'that side' (Konda, PK, possibly Gondi);*a-mb-/*a-b-'there' (Konda, PPM, PK).  An enormous number of derivatives has been formed independently in different languages (which is characteristic of all deictic bases).",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1&root=config
*a-,"that man, those men, that woman, those women, that thing, those things",,Gondwan etymology,"Also Pengo adj.ā,āy,anda;andelthat woman;andaŋthat thing;andaliŋfor that, for that reason;acaka,ace,acekthat big, so big;anṭaŋ,anṭiŋin that direction;anṭiŋtan,anṭiŋdanfrom that direction;aniover there;aneŋthus, in that way;abe,habe,ambethere;aleŋthus, in that way; ?anaymuch (? that much)",,,,,,,,,,,1,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=5&root=config
*ṛanǯ-,to bail out,,Dravidian etymology,,,,,,,,,The root existed in PK only with the suffix*-nj-.,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=10&root=config
*ṛanǯ-,to bail out (water) by sprinkling,,Gondwan etymology,,,,,,,,,,,,305,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=522&root=config
*lǟc-,to measure,,Dravidian etymology,,,,,,,,,Bisyllabic root.,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=387&root=config
*lǟc-,to measure,,Gondwan etymology,,,,,,,,,,,,295,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=280&root=config
*lab-,"to fit in, to join",,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=980&root=config
*lab-,to fit into (intr.),,Gondwan etymology,"Also Pengolap-(-t-) to insert, fit into (tr.)",,,,,,,,,,,296,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=278&root=config
*lem-,"to shake, tremble",,Dravidian etymology,,,,,,,,,"An isolated Pengo form that nevertheless corresponds rather well to PDR*ala-(especially in the light of such forms as Tam.ala-mpu, etc.).",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1436&root=config
*lem-,"to shake, tremble",,Gondwan etymology,,,,,,,,,,,,240,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=282&root=config
*ale,interjection,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1437&root=config
*ale,particle used with vocative,,Gondwan etymology,,,,,,,,,,,,251,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=8&root=config
*ama,female relative,,Dravidian etymology,,,,,,,,,"The Gondi semantic shift to 'father' can be connected with the ""extra"" suffix-l.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=11&root=config
*ama,father's sister,,Gondwan etymology,,,,,,,,,,,,183,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=10&root=config
*amb (pl. *ap-ku),arrow,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=13&root=config
*amb (pl. *ap-ku),arrow,,Gondwan etymology,,,,,,,,,,,,178,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=9&root=config
*anḍ-,"to join, meet; to stick",,Dravidian etymology,,,,,,,,,"The root probably contaminated with*a[n]ṭ-'to stick', whence the meaning in PPM.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=14&root=config
*anḍ-,"to stick to, adhere",,Gondwan etymology,,,,,,,,,,,,96,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=12&root=config
*aŋl-,"to open mouth, to yawn",,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=23&root=config
*aŋl-,to open mouth,,Gondwan etymology,,,,,,,,,,,,34,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=21&root=config
*rec-,to rub; to mix,,Dravidian etymology,,,,,,,,,"Possibly more than one root involved; unfortunately, Gondwan reflexes of former bisyllabic verbal bases with a vocalic anlaut are quite poorly studied.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=682&root=config
*rec-,"to scrape (tongue with toothstick), sharpen (pencil)",,Gondwan etymology,,,,,,,,,,,,228,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=508&root=config
*raz-,to cut,,Dravidian etymology,,,,,,,,,"The Kui-Kuwi forms can easily be traced back to a former transitive verbal stem (*ará-t-< PDR*ari-+*-t-). More problematic is Pengoraz-, which should normally go back to*arád_-. It is unclear if this is a real alternate stem or an irregular development in a non-trivial context.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=681&root=config
*raz-,to cut (e.g. with saw),,Gondwan etymology,,,,,,,,,,,,212,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=507&root=config
*ar- (caus. *rä-t-),to fall,,Dravidian etymology,,,,,,,,,Bisyllabic root.,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=690&root=config
*ar- (caus. *rä-t-),to fall,,Gondwan etymology,"Also Pengovēṛa arbonḍsetting of the sun, west;rat-(-t-) to let fall, drop; motionratka-; intens.ratpa-; Mandaret-to let fall, drop",,,,,,,,Mandare-is an analogical back-formation fromre-t-; the Pengo oppositionar-/ra-t-is probably more archaic.,,,233,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=14&root=config
*as-,"to take, buy",,Dravidian etymology,,,,,,,,,Causative type of conjugation in PGn.,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=17&root=config
*as-,to seize,,Gondwan etymology,,,,,,,,,,,,51,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=17&root=config
*ava,mother; elder brother's wife,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=21&root=config
*ava,elder brother's wife,,Gondwan etymology,,,,,,,,,,,,273,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=19&root=config
*anḍ-,to be perceived (as taste),,Dravidian etymology,,,,,,,,,"A questionable etymology with unique correspondences between Konda and PPM; the exact match in semantics, however, suggests that Burrow & Emeneau's comparison is valid. See also external parallels.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1439&root=config
*ā-,to be,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=26&root=config
*ā-,"to be, become",,Gondwan etymology,,,,,,,,,,,,333,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=22&root=config
*āl,pipal tree,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=934&root=config
*āl,pipal tree (in a mythological text),,Gondwan etymology,,,,,,,,,,,,382,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=24&root=config
*āṛ (pl. *āc-),"woman, wife",,Dravidian etymology,,,,,,,,,,PGn*-ṛ> Konda-l(-ṛin some dialects). In some Kui-Kuwi dialects the plural form has been generalised.,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=36&root=config
*āṛ (pl. *āc-),"woman, wife",,Gondwan etymology,Also Mandaāco-mgāṛ(pl.āco-mgahke) woman,,,,,,,,,,,400,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=30&root=config
*ānǯg-ă,hail,,Dravidian etymology,,,,,,,,,"Bisyllabic root. In Konda and PPM it was used with a suffix: *āñd_ur-ka > *ānd_r-ka > *ānd_-ga, *ānd_-i-ka. In PK reduction of the second syllable led to a general simplification of the cluster.",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=28&root=config
*ānǯg-ă,hail,,Gondwan etymology,,,,,,,,,,,,406,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=28&root=config
*ānǯ-,to catch,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=31&root=config
*ānǯ-,to catch (something thrown at one),,Gondwan etymology,,,,,,,,,,,,409,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=27&root=config
*ǟŋ- (*ē-),to stop,,Dravidian etymology,,,,,,,,,,PPM *ǟ- potentially <*āŋ-.,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=38&root=config
*ǟŋ- (*ē-),"to intercept, hold back, hold up",,Gondwan etymology,,,,,,,,,,,,340,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=98&root=config
*ar-,to put on (clothes),,Dravidian etymology,,,,,,,,,Causative conjugation only.,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=933&root=config
*ar-,"to put on (coat, on another), fix (load on carrying-yoke)",,Gondwan etymology,"Also Pengoarpiyā-(<arpiya ā-) to put on, wear (coat)",,,,,,,,,,,369,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=15&root=config
*ār-ku,millet,,Dravidian etymology,,,,,,,,,"The word was frequently used apluralia tantum, whence PPM and PG*ārku<*ārg-ku(cf. also Kuiārka).",,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=34&root=config
*ār-ku,(pl.) a species of millet,,Gondwan etymology,,,,,,,,,,,,379,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=29&root=config
*āk-i,leaf,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=30&root=config
*āk-i,leaf,,Gondwan etymology,,,,,,,,,,,,335,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=23&root=config
*baḍg-,stick,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=40&root=config
*baḍg-,stick,,Gondwan etymology,,,,,,,,,,,,5224,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=32&root=config
*bɔjk- (*-o-),wild cat,,Dravidian etymology,,,,,,,,,"It is hard to say whether in PK-k-was lost for phonetical or morphological reasons. If nasalisation in some Kuwi dialects is not secondary (bā̃vli), it may be a trace of an old nasalised velar.",PPM *-ɔ- < *P-a-P-.,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=46&root=config
*bɔjk- (*-o-),wild cat,,Gondwan etymology,,,,,,,,,,,,4106,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=40&root=config
*bäǯek,many,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1269&root=config
*bäǯek,much,,Gondwan etymology,Also Pengobajoŋ(pl.) many,,,,,,,,,,,3830,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=34&root=config
*vezg-u,firewood,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=903&root=config
*vezg-u,firewood,,Gondwan etymology,,,,,,,,,,,,5440,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=680&root=config
*pusk-,gourd,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1007&root=config
*pusk-,gourd,,Gondwan etymology,,,,,,,,,,,,4332,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=496&root=config
*būr-,"feather, down",,Dravidian etymology,,,,,,,,,"The exact nature of the inlaut cluster (phoneme?) is hard to determine: PK and PPM show*-r-, Konda speaks in favor of*-ṛ-, while Gondi gives several variants (*-y-,*-r-,*-l-; one dialect even has a unique*-ḷ-).","## *-ṛy-: PG *-ṛy-, Konda *-ṛ-, PPM *-r-, PK *-r-.",,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=72&root=config
*būr-,"feathers, hair",,Gondwan etymology,,,,,,,,,,,,4358,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=47&root=config
*sas-,to strike,,Dravidian etymology,,,,,,,,,Causative conjugation in PGn (which explains voiceless reflexes everywhere).,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=717&root=config
*sas-,to beat,,Gondwan etymology,,,,,,,,,,,,2421,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=552&root=config
*ǯāc-,to stretch out,,Dravidian etymology,,,,,,,,,PPMj-is not quite clear. It can only be explained through assimilation (*sāc->*cāc-)  and then (!) dissimilation (*cāc->jāc-). The root itself had a velar suffix in its intransitive form (*sā-ŋ-) and a palatal causative suffix (*sā-c-).,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=727&root=config
*ǯāc-,to stretch,,Gondwan etymology,,,,,,,,,,,,2433,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=153&root=config
*sip-ṛi,leaf-cup,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=88&root=config
*sip-ṛi,leaf-cup,,Gondwan etymology,,,,,,,,,,,,2619,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=581&root=config
*coṭ-,lame,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=89&root=config
*coṭ-,lame,,Gondwan etymology,,,,,,,,,,,,2838,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=52&root=config
*ǯūb-,to suck,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=246&root=config
*ǯūb-,to suck,,Gondwan etymology,,,,,,,,,,,,2621,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=169&root=config
*suk-,star,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=788&root=config
*suk-,star,,Gondwan etymology,"Also Pengohukeraŋ,hukeriŋ(pl. only recorded) stars",,,,,,,,,,,2646,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=604&root=config
*cup-el,a k. of rat,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=94&root=config
*cup-el,musk-rat,,Gondwan etymology,,,,,,,,,,,,2675,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=55&root=config
*sunǯ-,to sleep,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=789&root=config
*sunǯ-,to sleep,,Gondwan etymology,"Also Mandahūskankesleepiness, sleepy eyes",,,,,,,,,,,3291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=605&root=config
*sap-aṛ,"slap, blow",,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=1016&root=config
*sap-aṛ,a slap,,Gondwan etymology,,,,,,,,,,,,2335,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=549&root=config
*conḍ-i,"lip, mouth",,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=939&root=config
*conḍ-i,beak of bird,,Gondwan etymology,,,,,,,,,,,,2664,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=51&root=config
*suṛ-,to see,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=793&root=config
*suṛ-,to see,,Gondwan etymology,,,,,,,,,,,,2735,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=606&root=config
*darmb-u,ashes,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=102&root=config
*darmb-u,ashes,,Gondwan etymology,,,,,,,,,,,,3092,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=61&root=config
*ḍre-b-,to belch,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=144&root=config
*ḍre-b-,to belch,,Gondwan etymology,,,,,,,,,,,,3451,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=78&root=config
*dug-er,graveyard,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=943&root=config
*dug-er,burial place,,Gondwan etymology,,,,,,,,,,,,3375,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=70&root=config
*ḍunḍ-i,bud,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=944&root=config
*ḍunḍ-i,bud,,Gondwan etymology,,,,,,,,,,,,2963,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=82&root=config
*ec-,to beat; to shoot,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=945&root=config
*ec-,to shoot with bow,,Gondwan etymology,,,,,,,,,,,,859,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=86&root=config
*zē- (*ǯ-),to descend,,Dravidian etymology,,,,,,,,,In DED PPM and PK forms are erroneously compared with SDR*cāy-'to incline'; this is impossible because of the initial consonant.,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=235&root=config
*zē- (*ǯ-),to descend,,Gondwan etymology,"Also Manda caus.hēpa-,jēpa-",,,,,,,,,,,2456,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=721&root=config
*ej-k-,to arrive,,Dravidian etymology,,,,,,,,,Most of the seeming irregularities in this root's reflexation are the result of its joining with the root*vā-'to come' (*ey-v-). This form is seen in Gondi*ev-(and not*ey-) and PK*ey-v-. In PPM the old suffixal form*ey-k(probably a nominal derivative) was also used only withvā-. Kondaī-is irregular as well; maybe developed from*eyv-.,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=152&root=config
*ej-k-,to arrive,,Gondwan etymology,"Also Pengoipka-,ipka vā-id. (intensive, <ik-pa-).",,,,,,,,"Initialn-in Manda is irregular and rather strange. The samen-is found in Dongriya Kuwi,  but still, the evidence is too few to reconstruct something other than an initial vowel.",,,809,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=138&root=config
*līm,white ant,,Dravidian etymology,,,,,,,,,Bisyllabic root.,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=164&root=config
*līm,white ant,,Gondwan etymology,,,,,,,,,,,,837,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=286&root=config
*eŋ-,to be left over,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=947&root=config
*eŋ-,to be left over,,Gondwan etymology,Also Pengoek-(-t-) to leave over,,,,,,,,,,,780,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=93&root=config
*et-,to carry (child) on waist,,Dravidian etymology,,,,,,,,,,,,,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgndet&text_number=161&root=config
*et-,to carry (child),,Gondwan etymology,,,,,,,,,,,,796,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fpemet&text_number=91&root=config
