Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*ac-,mould (n.),,,,,,,,,,,"Burrow & Emeneau tentatively suggest an IA origin for the root (Old Indiansañcaka-, Panj.sañcā, saccā""mould""). This is highly unlikely, because inlaut-c-suggests a recent borrowing from one of IA dialects where*-ñc->*-cc-; on the other hand, the ubiquitous dropping of the initial sibilant suggests a very old borrowing. Proto-Dravidian origin (with an old meaning like ""mould"" - not necessarily for casting iron) is thus more probable at the moment. // Present in 2/6 branches.",,,,,,,1,1,
*ac-,"mould, type",,Dravidian etymology,,,,,,,,,In Kodagu and Tulu the root is augmented by the nominal suffix-i.,,,0047,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=42&root=config
*aḍai- ~ *aḍaŋ-,to hide; to press down,,,,,,,,,,,"The original form of this stem is seen only in Tulu (aḍē-vuni). Most of the time, however, it is met with consonantal suffixes: PDR*aḍá-ŋ-, caus.*aḍá-p-with expected aphaeresis of the first syllable throughout Telugu and Central Dravidian languages. // Present in 5/6 branches.",,,,,,,1,3,
*aḍai- ~ *aḍaŋ-,to submit; to hide,,Dravidian etymology,,,,,,,,,"The more archaic version of the stem, without the velar nasal suffix, is seen in Tuluaḍē-vuni.",,,0063,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=55&root=config
*aḍai,green plants (leaves),,,,,,,,,,,"A Tamil-Kurukh isogloss that is nevertheless quite plausible. (More widespread are derivatives like*aḍai-pa-""betel pouch"" and*aḍai-kāj""betel nut""). The PNDR form would reflect the variant*aḍa[i]-kái. // Present in 2/6 branches.",,,,,,,1,4,
*aḍai,betel leaf,,Dravidian etymology,,,,,,,,,,,,0059,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=51&root=config
*aḍai- ~ *aḍi-,"to compact, gather together; lump, clot",,,,,,,,,,,"Monosyllabic forms are also found but are in the minority and may be secondary. PNDR*aṛg-""spleen"" can go back to*aḍV́K-and fits in rather well phonetically; as for the shift in meaning, it is commonly observed in South Dravidian: cf. Tam.kaṭṭi""clod, lump, enlarged spleen"", Kod.gëṇḍe""spleen"", etc. // Present in 4/6 branches.",,,,,,,1,5,
*aḍai- ~ *aḍi-,heap; to collect,,Dravidian etymology,,,,,,,,,"Kannadaaḍḍa, with a voiced geminate, and Tuluaṭṭideviate from the general mass of forms with strong verbal suffixes. It is possible that all the stems go back to an original monosyllabic*aṭṭ-(*aḍḍ-?), but contaminations and occasional dialectisms are not excluded either.",,,0084,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=76&root=config
*aḍai[j]āḷ-,"mark, token",,,,,,,,,,,See the South Dravidian database for comments. // Present in 2/6 branches.,,,,,,,1,6,
*SIlamb-,fencing,,,,,,,,,,,,,,2564,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2185&root=config
