Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
*acc-,mould (n.),,,,,,,,,,,"Burrow & Emeneau tentatively suggest an IA origin for the root (Old Indiansañcaka-, Panj.sañcā, saccā""mould""). This is highly unlikely, because inlaut-c-suggests a recent borrowing from one of IA dialects where*-ñc->*-cc-; on the other hand, the ubiquitous dropping of the initial sibilant suggests a very old borrowing. Proto-Dravidian origin (with an old meaning like ""mould"" - not necessarily for casting iron) is thus more probable at the moment. // Present in 2/6 branches.",,,,,,,1,1,
*acc-,"stamp, impression, print, mould",,Dravidian etymology,,,,,,,,,,,,47,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=39&root=config
*aḍa-[-ŋ-/-c-],to hide; to press down,,,,,,,,,,,"The original form of this stem is seen only in Tulu (aḍē-vuni). Most of the time, however, it is met with consonantal suffixes: PDR*aḍá-ŋ-, caus.*aḍá-p-with expected aphaeresis of the first syllable throughout Telugu and Central Dravidian languages. // Present in 5/6 branches.",,,,,,,1,3,
*aḍa-[-ŋ-/-c-],"to yield, submit, be humbled",,Dravidian etymology,,"Also [1]aḍãcu, [2]aḍacuto suppress, humble, subject;aḍãkuvahumility, modesty, submissiveness; [1]ḍā̃gu, [2]ḍāgu, [3]dā̃guto lie hidden; [1]ḍā̃cu, [2]ḍācu, [3]dā̃cuto hide, conceal;dā̃gurincuto conceal, deceive;dā̃gurintaconcealment, deceit;dā̃panahiding, concealment;dā̃paramustealing;dā̃parincuto steal;dā̃parī̃ḍuthief",,aḍagu,,,,,,,,63,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=47&root=config
*aḍar- ~ *aḍi-,"to compact, gather together; lump, clot",,,,,,,,,,,"Monosyllabic forms are also found but are in the minority and may be secondary. PNDR*aṛg-""spleen"" can go back to*aḍV́K-and fits in rather well phonetically; as for the shift in meaning, it is commonly observed in South Dravidian: cf. Tam.kaṭṭi""clod, lump, enlarged spleen"", Kod.gëṇḍe""spleen"", etc. // Present in 4/6 branches.",,,,,,,1,5,
*aḍar- ~ *aḍi-,"to increase; n. increase, excess",,Dravidian etymology,,"Alsoaḍi-excessive, great;aḍaa lump, clot, mass;aṭṭamuexcessiveness; (VPK) [1]aṭṭadi, [2]aṭṭava, [3]eṭṭampacks of cut or fencing branches/bushes collected and piled up on bullock carts",,,,,,,,,,84,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=61&root=config
*aḍijāla-,"mark, token",,,,,,,,,,,See the South Dravidian database for comments. // Present in 2/6 branches.,,,,,,,1,6,
*aḍijāla-,"sign, token",,Dravidian etymology,,,,,,,,,,,,89,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=64&root=config
*aḍa-kat-,areca nut (betel nut),,,,,,,,,,,"Compound forms derived from SDR*aḍái""green leaves, betel leaves"". // Present in 2/6 branches.",,,,,,,1,7,
*aḍa-kat-,"nippers for cutting betel-nuts, betel-nut cracker",,Dravidian etymology,,"Also [1]aḍapa, [2]aḍapakattelady in waiting, who carries her mistress's betel-nut pouch;aḍapakā̃ḍuservant who carries his master's betel-nut pouch",,aḍa-kottu,aḍḍa-kattera,aḍa-katti (B),,,,,,88,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=63&root=config
