Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aṭṭ- ""to strike, beat""",to strike,,Dravidian etymology,,"Also Parjimāva aṭṭ-to harrow;poṭkul aṭṭ-to clap hands, snap fingers",,,,,,,,,,77,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=49&root=config
aḍg-,to dig,,Dravidian etymology,,Also Naikiagulmurdigging,,,,,,,,,,11,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=15&root=config
āya,mother,,Dravidian etymology,,"Also Naikriayka(pl.-śikuḷ) husband's elder sister; Parjiiya(pl.iyov) mother; Ollariayalwoman, wife;asmalwoman; Salurayālwife;āsmalwoman",,,,,,,,,,364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=56&root=config
"ōnḍ, ōr ""he, they""",that,,Dravidian etymology,,"Also Kolami adj. (rarely used)ā; Naikri adj.ā; Parji adj.ā; Ollari adj.ā,āy",,,,,,,"The inflected forms are as follows:*avnd_(masc. sg.),*avr(masc. pl.),*ad(fem. sg.). As for the fem./neut. pl. form, external data shows*avto be most archaic. The formadavhas obviously developed by analogy withad; as for Naikianda, it is unclear.",,,1,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=9&root=config
"all- ""to twine; to spread as a creeper""",to weave,,Dravidian etymology,,Also Parjialṭ-to be twined around;alṭayp-(alṭayt-) to wind round (tr.),,,,,,,In DEDR Salurall-is separately placed in entry 260 as 'to twine' and entry 207 as 'to spread as a creeper'.,,,260,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=21&root=config
"ammi ""younger sister""",mother; sister,,Dravidian etymology,,Also Kolamiavre tāk ammanertheir parents (tākfather); Naikiamma tākparents,,,,,,,,,,183,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=28&root=config
anukci key-,to kill,,Dravidian etymology,,"Also Saluranuyk-to kill, destroy",,,,,,,"Initialn-in South Parji is unclear; quite obviously, it cannot be of archaic origin.",,,277,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=31&root=config
ayk- (ayt-),to sweep,,Dravidian etymology,,Also Kolamiayak(obl.ayk-) rubbish,,,,,,,,,,194,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=57&root=config
"āl- ""to cool down, to become cold""",to be dry; to cool down,,Dravidian etymology,,"Also Kolamiārp-(ārapt-) to make to dry; Naikiārup-/ārp-to dry up, heal (tr.); Salurālupp-to make something cool; (P)alap-to cure",,,,,,,,,,404,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=81&root=config
āl,pipal tree,,Dravidian etymology,,,,,,,,,,,,382,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=71&root=config
ādur,hail,,Dravidian etymology,,,,,,,,,,,,406,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=66&root=config
"aykil ""a kind of millet""","grain, millet",,Dravidian etymology,,,,,,,,,,,,195,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=59&root=config
āmk-,to yawn,,Dravidian etymology,,"Also Parjiāmkuḍ,āvkuḍ,ākuba yawn; Gadba_S3āmkuna yawn",,,,,,,"External data shows*-v-to be original. Both variants were probably free, with*-v->*-m-due to expressive character of the form.",,,392,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=75&root=config
ākum,steam,,Dravidian etymology,,"Parji and Salur forms go back to*āv-kum(second component unclear), while the Kondekor form is comparable with Teluguāviri.",,,,,,,,,,393,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=82&root=config
"baŋka ""gum, stickiness""",resin,,Dravidian etymology,,Also Kolami (Pat.)bakkasap,,,,,,,,,,3817,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=92&root=config
bogge,charcoal,,Dravidian etymology,,,,,,,,,,,,4467,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=109&root=config
"borra ""hole in tree""",hole,,Dravidian etymology,,,,,,,,,,,,4604,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=119&root=config
"buṇḍurke ""a kind of gourd""",pumpkin,,Dravidian etymology,,Also Parjiburkagourd,,,,,,,,,,4332,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=135&root=config
"buggi ""earth""","ashes, earth",,Dravidian etymology,,,,,,,,,,,,4243,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=128&root=config
"burki ""a small kind of basket""",basket,,Dravidian etymology,,,,,,,,,,,,4289,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=134&root=config
būrje,silk-cotton tree,,Dravidian etymology,,,,,,,,,,,,4366,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=138&root=config
"cellāl (pl. cellāsil) ""sister""",younger sister,,Dravidian etymology,,,,,,,,,,,,2783,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=168&root=config
cīkaṭ,darkness,,Dravidian etymology,,,,,,,,,,,,2604,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=155&root=config
cīnd-,to blow the nose,,Dravidian etymology,,,,,,,,,,,,2618,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=172&root=config
soy-,to itch,,Dravidian etymology,,,,,,,,,,,,2865,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1153&root=config
"cōr- ""to pour (of water)""",to be spilled,,Dravidian etymology,,Also Parji (?)cōp-to overflow,,,,,,,,,,2883,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=181&root=config
jōng ēr-,to get drunk,,Dravidian etymology,,,,,,,,,,,,2853,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1214&root=config
"cupk- (cupt-) ""to suck, smack""",to suck,,Dravidian etymology,,,,,,,,,,,,2621,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=183&root=config
"cukka ""drop of rain""",star,,Dravidian etymology,,,,,,,,,,,,2646,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=160&root=config
"cuṭṭ- ""to roll up""",to wind,,Dravidian etymology,,Also Naikricuṭṭaleaf-pipe,,,,,,,,,,2715,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=166&root=config
kiccu,fire,,Dravidian etymology,,,,,,,,,,,,1514,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=513&root=config
"citt- ""to insert (as flowers into a braid)""","to butt, gore",,Dravidian etymology,,,,,,,,,,,,2527,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=177&root=config
"cinḍu, sinḍu (pl. cinḍīl, sinḍīl) ""son""",small,,Dravidian etymology,,"Also Parjicind, (NE)cinḍson; Ollarisinḍson; Salurcin makilchildren",,,,,,,,,,2594,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=151&root=config
cūḍ-,to see,,Dravidian etymology,,,,,,,,,,,,2735,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=185&root=config
ḍekka,hoof,,Dravidian etymology,,,,,,,,,,,,2970,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=194&root=config
