Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"anḍ- (-it-) ""to join, unite with""","to join, unite",,Gondwan etymology,,Also Kuwi_Faṇḍatasipartner;andivi aiyalito be friendly; Kuwi_Fantūmenses; Kuwi_Saṭhinaito add; Kuwi_Israṭ-(-h-) to mix (tr.),,,,,,,"Both Kuwi_Faṇḍatasiandantūare probably borrowings. Kuwi_Sandinaiis probably  misspelled (*anḍinaishould be expected; only one such case). The same problem arises with Kuwi_Saṭhinai: retroflex consonants are extremely rare in this dialect, and we should expect (at least, in the transcription), a simple dental. This way, the retroflex here is either misspelled or, if the word itself is a new borrowing or influenced by some other dialect or language, probably obligatory in a relatively new word-formation.",,,120,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=25&root=config
"rāk- ""to rub""","to rub, wash",,Gondwan etymology,,"Also Kuirāpka(<rāk-p-;rākt-) to cause to rub together, wear by friction;rēsa(rēsi-) to rub, chafe; n. act of rubbing; Kuwi_Srājinaito launder",,,,,,,"The final consonant (-k-,-g-,-c-) in all these forms reflects older causative / transitive / intransitive suffixes; more complicated is the question of vocalic differences betweenrā-g-aandrē-s-a, etc. - these indicate that we may actually be dealing with two different roots here.",,,228,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=981&root=config
"āṛu ""wife""","woman, wife",,Gondwan etymology,,"Also Kuiāliwoman, wife (Letchmajee); Kuwi_Sācafemale",,,,,,,,,,400,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=53&root=config
bela,spleen,,Gondwan etymology,,,,,,,,,,,,3995,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=57&root=config
hīnd-,to blow the nose,,Gondwan etymology,,,,,,,,,,,,2618,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=124&root=config
"ḍoṭa vanju ""thumb""","swollen, thick",,Gondwan etymology,,,,,,,,,,,,3491,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=153&root=config
"ḍrogi ""chameleon""","chameleon, lizard",,Gondwan etymology,,,,,,,,,"Inlaut*-gḍ-(see external parallels) > Kui-0-; in Kuwi*-gḍ->*-ṛg-(metathese), then another metathese to avoid a bad cluster.",,,2977,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=192&root=config
"ērsp- ""to winnow with a sidewise motion""",to sort; to winnow,,Gondwan etymology,,"Also Kuiēspa(ēst-) to separate; Kuwi_Fēṛsalito separate; Kuwi_Isrērs-(-it-) to separate, keep separate",,,,,,,"An interesting and unique case. The original causative form seems to be preserved in Kui_T; in other  languages either-r-or-p-have fallen out. As for the original auslaut cluster, on the  base of the correspondence ""Kui-j- - Kuwi-rl-"" (-ṛ-in Kuwi_F is misspelled as usual)  we reconstruct a PK*-Rl-which is indirectly indicated by external data (cf. Kondaer_lis-to separate). The vowel is long in the causative form; in the simple form the short vowel, preserved in Kuwi_Isr, is primary; in other dialects vowel length is the result either of compensatory lengthening or analogy.",,,915,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=210&root=config
"ēṛ- ""to hold out the hand""","to accept, receive",,Gondwan etymology,,Also Kuwi_Sēnh'naito receive,,,,,,,"Forms with-h-in Kuwi_S are probably ""restored"" from the past tense forms.",,,905,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=234&root=config
giri,line,,Gondwan etymology,,,,,,,,,Kuwi_Sgrīnai<*gīr-inai.,,,1623,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkuiet&text_number=277&root=config
