Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
accu,"stamp, impression, print, mould",,Dravidian etymology,,,,,,,,,,,,47,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=39&root=config
aḍãgu,"to yield, submit, be humbled",,Dravidian etymology,,"Also [1]aḍãcu, [2]aḍacuto suppress, humble, subject;aḍãkuvahumility, modesty, submissiveness; [1]ḍā̃gu, [2]ḍāgu, [3]dā̃guto lie hidden; [1]ḍā̃cu, [2]ḍācu, [3]dā̃cuto hide, conceal;dā̃gurincuto conceal, deceive;dā̃gurintaconcealment, deceit;dā̃panahiding, concealment;dā̃paramustealing;dā̃parincuto steal;dā̃parī̃ḍuthief",,aḍagu,,,,,,,,63,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=47&root=config
aḍaru,"to increase; n. increase, excess",,Dravidian etymology,,"Alsoaḍi-excessive, great;aḍaa lump, clot, mass;aṭṭamuexcessiveness; (VPK) [1]aṭṭadi, [2]aṭṭava, [3]eṭṭampacks of cut or fencing branches/bushes collected and piled up on bullock carts",,,,,,,,,,84,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=61&root=config
aḍiyālamu,"sign, token",,Dravidian etymology,,,,,,,,,,,,89,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=64&root=config
aḍa-kattu,"nippers for cutting betel-nuts, betel-nut cracker",,Dravidian etymology,,"Also [1]aḍapa, [2]aḍapakattelady in waiting, who carries her mistress's betel-nut pouch;aḍapakā̃ḍuservant who carries his master's betel-nut pouch",,aḍa-kottu,aḍḍa-kattera,aḍa-katti (B),,,,,,88,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=63&root=config
adalu,"to start, be alarmed or afraid",,Dravidian etymology,,"Also [1]adalincu, [2]adalucu, [3]adalupu, [4]adalputo frighten, rebuke, reproach; [1]adalupu, [2]adalpufrightening, rebuke;adiri-paḍuto start, be alarmed;adiri-pāṭua start, alarm; adv. suddenly, unexpectedly",,,,,,,"Possibly the same as*adar-, but this is not totally obvious. Some interaction between Kannaḍa and Telugu is not excluded either.",,,137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=89&root=config
ḍappi,thirst,,Dravidian etymology,,,,dappi,dappika,,,,,,,109,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=74&root=config
addamu,"mirror, pane of glass",,Dravidian etymology,,,,,,,,,,,,147,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=94&root=config
aḍucu-konu,"to become obstructed or choked, be stopped, choke",,Dravidian etymology,,"Alsoaḍḍamuobstacle, hindrance, opposition, a screen, that which hides or separates; adj. cross, which is crosswise; [1]aḍḍa-kaṭṭu, [2]aḍḍagincu, [3]aḍḍa-paḍu, [4]aḍḍuto hinder, obstruct; [1]aḍḍakar_r_a, [2]aḍḍaŋki, [3]aḍḍugur_r_ahindrance, obstruction;aḍḍakaṭṭaa dam or bank, embankment;aḍḍamugācrosswise, transversely;aḍḍua screen, anything that affords concealment;aḍḍanamua shield;aḍḍihindrance, obstruction, delay;āṭaŋkamuprevention, obstacle, hindrance, obstruction, resistance, an objection, a difficulty",,,,,,,,,,83,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=60&root=config
aḍḍigalu,(pl) ornament worn round the neck by women,,Dravidian etymology,,,,,,,,,,,,95,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=67&root=config
