Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aḍalu ""to be afraid, tremble, shake""","to be afraid; n. fear, alarm",,Dravidian etymology,,"Alsoaḍalincuto terrify, frighten;aḍici-paḍuto be in a hurry;aḍici-pāṭuimpatience, hurry, haste",,,,,,,,,,74,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=51&root=config
adumu,"to press, squeeze",,Dravidian etymology,,"Alsoadumuḍupressing, squeezing, pressure",,,,,,,,,,133,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=86&root=config
"ḍancu ""to pound, beat, clean grain in a mortar""","to beat, strike, break, destroy",,Dravidian etymology,,"Alsoaḍupua stroke, blow;aḍaru(Tikkana; comm. by Velcheru Narayana Rao and George L. Hart III) to fight, do battle, kill;āṭua blow;dancuto pound, beat, clean grain in a mortar;daŋgu, (KR also)ḍaŋguto be pounded (as rice, etc.);damputo pound, beat, clean grain in a mortar; n. (alsodampuḍu) pounding, etc.; [1]aḍukulu, [2]aṭukulu(pl.) rice wetted, parched and flattened, beaten rice",,,,,,,,,,77,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=54&root=config
aluku,"to sprinkle, scatter (rice, etc., in a net to lure birds)",,Dravidian etymology,,,,,,,,,,,,305,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=159&root=config
alamu,"to spread, extend",,Dravidian etymology,,Alsolā̃ncuto spread (intr.); n.lā̃pu,,,,,,,,,,307,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=161&root=config
"lāyu ""to approach""",(B) to approach,,Dravidian etymology,,"Alsoalamuto seize, lay hold of, take; (K. also) mix with, be one with",,,,,,,,,,296,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=154&root=config
"alarcu ""to blossom""","to open as a flower, expand, shine, glitter, rejoice; n. a flower, blossom, (K. also) splendour, joy; splendid",,Dravidian etymology,,,,,,,,,,,,247,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=136&root=config
ancu,"to oppress, afflict",,Dravidian etymology,,Also (K)avukkuto yield to pressure; adj. weak (of wall or soil),,,,,,,Teluguancu<*am-c-(regular assimilation).,,,169,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=104&root=config
"pempu ""to destroy, ruin; n. damage, destruction""","to break or snap, as a (marriage) thread",,Dravidian etymology,,,,,,,,,,,,4414,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=2179&root=config
"andu ""to hand in, hand over""","to reach at, take with the hand, obtain, gain, suffer, feel, be within reach",,Dravidian etymology,,,,,,,,,,,,149,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2ftelet&text_number=95&root=config
