Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"oḍg- (oḍgy-) ""to be quiet, find sleeping accomodation in a crowded place""","to stop, calm down",,South Dravidian etymology,,"Also Kotaaṛk-(aṛky-) to cause to stop;aṛkaṭmobedience;aṛkm(obl.aṛkt-) act of making submit, burial; Todaoṛk-(oṛky-) to subdue, give sleeping accomodation in a crowded place;oḍkm(obl.oḍkt-) submission, burial",,,,,,,,,,63,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=51&root=config
oḍyk,often,,South Dravidian etymology,,,,,,,,,,,,84,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1010&root=config
aḍky,betel pouch,,South Dravidian etymology,,,,,,,,,"*-kǐ < *kāj ""fruit"" (cf. external evidence).",,,88,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=53&root=config
"aṛf- (aṛt-) ""to shut""",to block; to shut,,South Dravidian etymology,,"Also Kotaaṛv-(aṛt-) (door) shuts; to shut (door, hole), shut up (cattle);aḍoblique, slanting, at right angles, crosswise;aḍ aḍat full length, at right angles;aḍ voṛtrising or setting sun;aḍ mug-to bow to ground before god or godlike person;aḍ gaṭ-to obstruct, stop; Todamɨṛk aṛf-to spoil one's voice by shouting (lit. choke to the neck);oḍcrosswise, obstructing, prostrate, contour line round a hill;oḍ oḍ foṭ-to obstruct (lit. lie crosswise);oḍ fɨḍɵ-to prostrate oneself (lit. fall horizontal);oḍ xoṭ-to obstruct;oḍtylimit beyond which one must not go;oḍɵawkward, ugly",,,,,,,,,,83,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=5&root=config
oṛy,foot,,South Dravidian etymology,,,,,,,,,,,,72,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=4&root=config
"aṛpɨn ""dowry (of buffaloes given by girl's father)""",to happen; to give,,South Dravidian etymology,,"Also Todaaṛpɨt ɨrbuffaloes of the dowry;nes_oṭ-(nes_oṭy-) to put to forehead in salutation, put forehead to something (e. g. ground) ceremonially (nes_nground);tes_oṛ-(tes_oṭ-) to place cover on oneself (or someone else) for sleeping (tes_, cf.tel-to wrap tightly [garment])",,,,,,,"Todaaṛpɨn<*aḍ-ä-pǝn-(whencea, not*o); the modified form is seen intes_-oṛ-.",,,79,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=47&root=config
"ōpoṛ- (ōpoṭ-) ""to be caught, be got""",inside,,South Dravidian etymology,,"Also Todaōpoṛc-(ōpoṛč-) to catch, get;wɨrxityhusband's brother's wife",,,,,,,Kotaaŋgāl<*ak-ǝm-kāl('inside of foot'); Todaōpoṛ- <*ak-paṛ-'to be included within' (see Tamil forms). Todawɨrxity< PN*or-k-at-ĭ <*or-ak-at-ĭ (see Tamilōr-akatti).,,,7,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=30&root=config
"ox ɨn- ""be broad""",broad,,South Dravidian etymology,,Also Kotaān-(ād_-) to open (mouth) wide; (mouth) is open wide (PSS); Todaox et_-(ox et_y-) to make broad,,,,,,,"Kotaān-is compared with forms like Tamilān_r_a'wide' (supposedly from*ak-an_r_-?). If it is so, the Kota form should be traced back to*ag-nd_->*ā-nd_->*ān-.",,,8,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=7&root=config
aḍ- (aḍɵ-),to dig,,South Dravidian etymology,,,,,,,,,Inlaut cluster reconstructed based on external data. Preservation of Todaais explained by the development*agǝṛ-v->*aṛ-ǝv->*aḍ-.,,,11,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=59&root=config
tōy,mother (in songs),,South Dravidian etymology,,,,,,,,,,,,364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1123&root=config
"in, eyī (voc.eyā)","father, father's brother or parallel male cousin, mother's sister's husband",,South Dravidian etymology,,,,,,,,,Retroflex -ṇ in Kota is hardly regular (peculiar cluster development?).,,,196,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=62&root=config
"a (before consonant), ay (before vowel)",demonstrative adjective,,South Dravidian etymology,,"Also Kotaaythat place, there;aykto that place;aytrfrom that place;ayōn,ayōl,ayōr,aydthat man, woman, etc.;ajnthence;at_that direction;at_āka little in that direction;at_ltrfrom that direction;at_ēgo! (pl.at_ēm);atervīin that neighbourhood;adejnfrom that time on;althat time;alkat that time;alōn,alōḷ,alōr,aldthat previous man, woman, etc.;alīkto that previous place;alālo there!;anm(obl.ant-) like that, that fashion, that amount;antkto that extent;anān/anōn,anōḷ,anōr,andsuch an important man, woman, etc. as that;anā,ananāadj. such and such (as that);antāadj. so great;āpāṭyso big as that;antalso many as that;anmūṛlike that; sexual organs;anmūṛōnman like that, etc.;aŋ gey-to have intercourse with;and_that day;amnērtwo days before yesterday; Todaaɵɨdbecause of that, therefore;at_in that direction;at_ɨka little in that direction;alin that place, there;at_s_n,as_nfrom that direction;ad_on that day;atfokthen;atthat many; that much;attonjust/only that much, in that same way;atkthat much;atks_at that distance;atatkonly so much as that;atōfsuch as that;a/g/ gɨsin that manner;as_ ɨn-to say like that;ānkto that place;ānār_towards there, by that road;ātoṭthat bank;a munthat side, the other side;a mun nōṛthe world of the dead",,,,,,,"In many Toda forms we should expecto, but the preservation ofathroughout is either due to analogy with those stems where it should have been preserved (e.g.l-stems) or due to the frequency of this pronominal stem in general.",,,1,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=3&root=config
"alos_y ""except (lit. not being)""",not to be,,South Dravidian etymology,,"Also Kotaalādwhich is not so-and-so; bad; except, besides, not only but also;alāvōrbad men;alātmēlif/since it is not so",,,,,,,,,,234,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=12&root=config
aɫ̣- (aɫ̣ɵ-),to measure,,South Dravidian etymology,,Also Kotaaḷvlimit; Todaaɫ̣t-(obl.) measure,,,,,,,Todaaɫ̣-<*aɫ̣f-due to the influence of the past stem.,,,295,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=17&root=config
"alx- (alxy-) ""to shake (intr.)""",to shake,,South Dravidian etymology,,"Also Kotaalk-(alky-) to shake (tr.), shake down (e.g. fruit);alv-(ald-) to wander aimlessly; Todaalk-(alky-) to shake (tr.)",,,,,,,Base vowel*-ä-in the bivocalic derivate reconstructed upon external evidence.,,,240,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=13&root=config
as_p- (as_py-),to clean,,South Dravidian etymology,,,,,,,,,,,,246,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=871&root=config
"omx- (omxy-), omg- (omgy-) ""to be pressed down""",to press,,South Dravidian etymology,,"Also Kotaamk- (amky-) to press hard, make to keep quiet;amkact of pressing;amc-(amc-) to press, throw (woman) on ground to rape; Todaomk-(omky-) to press down",,,,,,,Todaomg-possibly borrowed from Kota (or Badaga?).,,,169,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=20&root=config
tes_amf- (tes_amt-),"to perform ceremony of cutting child's hair and giving name (*talayhead, hair +*amay-to prepare)",,South Dravidian etymology,,,,,,,,,,,,162,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1099&root=config
ob,"arrow, flensing knife",,South Dravidian etymology,,,,,,,,,,,,178,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=18&root=config
obely,"watery mess of rice, rāgi, etc.",,South Dravidian etymology,,,,,,,,,,,,174,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1006&root=config
"oṇ, oṇoṇ",elder brother or male parallel cousin,,South Dravidian etymology,,,,,,,,,,,,131,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=25&root=config
"oṇc ""ferrule on stick or pounder""",to set in place,,South Dravidian etymology,,Also Kotaaṇḍc-(aṇḍc-) to set (a thing) in place,,,,,,,Caus.*aṇḍ-Vc-> Todaoṇ-c('something set on a stick').,,,120,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=26&root=config
"oḷ ""molar tooth""","lower jaw, molar teeth",,South Dravidian etymology,,Also Kotaaṇg valmolar teeth,,,,,,,Todaoḷprobably <*aṇg-pal>*oṇ-pl>*oṇḷ>*oḷ(although cf. Tamilaṇal).,,,114,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=28&root=config
oc,"edge, bank of river, border of thicket",,South Dravidian etymology,,,,,,,,,,,,57,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1007&root=config
oʒ- (oj-),to fear,,South Dravidian etymology,,"Also Kotaanjalkfear;anjrc-(anjrc-) to terrify; Todaoʒk,ojkyfear;ojur_t-(ojur_ty-) to terrify (*ur_t-to cause to be)",,,,,,,The past stem*anǯ-<*anʒ-ǐ-. Unclear whether Kotaanjrc-and Todaojur_t-go back to the same form (*anǯ-ur_-t-ĭ-?),,,55,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=23&root=config
"ogod_y ""bazaar (? <Badaga)""",bazaar,,South Dravidian etymology,,"Toda-d_-is unclear; however, explaining it as a result of borrowing (which is proposed by Burrow and Emeneau) is equally unsatisfying, since in Kannada we also have-ḍ-. Probably a dialectal form (a similar irregular development is also met in a few other cases).",,,,,,,,,,35,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=29&root=config
"arx- (arxy-) ""to be subdued""","to reduce, subdue",,South Dravidian etymology,,Also Kotaark-(arky-) to use up extravagantly; Todaark-(arky-) to subdue;arkmstate of being subdued,,,,,,,,,,221,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=37&root=config
arɵ- (arɵy-),to sharpen,,South Dravidian etymology,,,,,,,,,In Toda*ar-would be expected; the suffixal -ɵ- is unclear.,,,228,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=850&root=config
ar,half,,South Dravidian etymology,,,,,,,,,,,,229,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=32&root=config
"ark- (arky-) ""to chip, cut square (end of plank or post)""",to divide in small pieces,,South Dravidian etymology,,,,,,,,,,,,212,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=64&root=config
"ašky ""rice""",rice; grain,,South Dravidian etymology,,Also Todanes_iškyrice,,,,,,,,,,215,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=11&root=config
"arsn ""saffron, yellow""",saffron,,South Dravidian etymology,,,,,,,,,,,,220,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=36&root=config
"oty ""sp. fig""",fig,,South Dravidian etymology,,,,,,,,,,,,144,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=852&root=config
ar_,flat rock,,South Dravidian etymology,,,,,,,,,,,,321,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=33&root=config
"oṭm (obl.oṭt-) ""place for firewood made of cords tied from side rafters to roof""",loft,,South Dravidian etymology,,,,,,,,,In Kota the oblique stem superseded the direct one.,,,93,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=57&root=config
"af, afuf","mother, mother's sister or female parallel cousin",,South Dravidian etymology,,,,,,,,,,,,273,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=58&root=config
efɨr,bean,,South Dravidian etymology,,"A ""double"" umlaut:*avar-ay>*avǝrä>*avĭrä> Toda*evirä>*efɨr.",,,,,,,,,,264,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=61&root=config
ofy- (ofs-),"to calm down (intr.), cease talking",,South Dravidian etymology,,"Also Todaofy-(ofc-) to calm (tr.), make to cease talking",,,,,,,,,,267,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1012&root=config
"as_ ""heat of sun or fire""","flame, heat",,South Dravidian etymology,,Also Kotaarlfever,,,,,,,Kotaaṛc-cannot go back to simple*aṛ-(in that case*aḷc-would be expected).,,,276,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=40&root=config
"oḍy- (oḍs-) ""(money) is spent""",to spend,,South Dravidian etymology,,"Also Kotaaḷyvdestruction; Todaoḍy-(oḍc-) (stones of ruinous building) slip down; to spend, expend (property at funeral), overcome (in contest)",,,,,,,"Present stem is*aṛ-ĭ-(with suffixal-ĭ-) > Kota-ḷc-, Toda-ḍy-. Past stem for the transitive forms is*aṛ-ĭ-t-, for the intransitive forms*aṛ-ĭ-d-(in Kota*aṛĭt-,*aṛĭd->*aṛt́->*aḷc-; in Toda*aṛĭt->*oḍt́->*oḍc-, but*aṛĭd->*aṛyɵ->*oḍɵ́->*oḍs-).",,,277,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=16&root=config
"arkyn ""passionate woman""",passion,,South Dravidian etymology,,,,,,,,,,,,281,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=9&root=config
