Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
acci,"mould, type",,Dravidian etymology,,,,,,,,,In Kodagu and Tulu the root is augmented by the nominal suffix-i.,,,0047,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=42&root=config
"aḍēvuni, aḍēyuni",to submit; to hide,"deŋgunito be hidden, concealed, lie in ambush; (B-K.)aḍeŋgụ,ḍeŋgụto hide;aḍekasmall, narrow",Dravidian etymology,,,,,,,,,"The more archaic version of the stem, without the velar nasal suffix, is seen in Tuluaḍē-vuni.",,,0063,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=55&root=config
aṭṭi,heap; to collect,"aṭārawidespread, as the branches of a tree;aḍarụcopse",Dravidian etymology,,,,,,,,,"Kannadaaḍḍa, with a voiced geminate, and Tuluaṭṭideviate from the general mass of forms with strong verbal suffixes. It is possible that all the stems go back to an original monosyllabic*aṭṭ-(*aḍḍ-?), but contaminations and occasional dialectisms are not excluded either.",,,0084,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=76&root=config
"aḍḍa-katteri, iḍa-katteri",areca-nut,,Dravidian etymology,,,,,,,,KOR (T)ḍakkeareca nut,"A compound:*aḍai""betel; areca"" +*kāj""fruit"". The second root becomes reduced in most languages due to its post-tonic position. For the other compound (*aḍai-kat-""instrument for cracking betel nuts"") cf.*kati""knife"".",,,0088,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=80&root=config
addalipuni,"to rebuke, scold, reprimand",,Dravidian etymology,,,,,,,,,"Burrow & Emeneau place this in the same entry with*adir-'to shake, tremble, intimidate, etc.'. While the semantic link is possible (atiralso has the meaning 'rebuke'), the morphological ties are harder to understand. The formataṭṭuis an obvious causative, but it cannot be from*adir-tu(which should have yielded Tamilatirttu); it can only be from*adaḷ-tu. The stem*adaḷ-is not, however, attested directly; there is Tuluaddalipuni, with an unclear geminate, and possibly also Kan.adalu'to tremble', if-l-dial. <*-ḷ-. As for the other Tamil forms,atampu(= Kan.adapu) <*adaḷ-mbu;atakaṭiis an unclear expressive formation.",,,0137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=122&root=config
aḍamīnu,a k. of fish,(B-K.)aḍāvuid.,Dravidian etymology,,,,,,,,,"It is unclear which variant (with*-l-or*-v-) is primary. Obviously Tam.aṭalai= Mal.aṭava, but whether this is dialectal variation or a case of morphological restructuring is unknown.",,,0068,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=60&root=config
"aḍepuni, aḍevuni, aḍeŋguni","to shut, close; to obstruct","aḍepuact of shutting, clossing, finishing;aḍakụ,aḍaka,aḍēke,aṭaka,aṭakāvuobstacle, hindrance;aḍḍaid., horizontal, intervening; across, athwart; rafter;aḍḍakaṭṭèa dam;aḍḍakāruthe bent knee;aḍḍa borunito prostrate, bow down;aḍḍa kaṭṭunito dam up, shut in, hinder, prevent, screen;aḍḍiobstacle, opposition;aḍḍaṇa,aḍḍaṇè,aḍanaa shield;āṭaŋkụ,āṭaŋkahindrance, obstacle",Dravidian etymology,,,,,,,,,,,,0083,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=75&root=config
aḍi,foot,"kār aḍifootsole, footstep;aḍi kaipalm of the hand",Dravidian etymology,,,,,,,,,,,,0072,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=63&root=config
"adụruni, adaruni, aduruni",to shake,"adụrāvunito shake, agitate;adụrāṭashaking, trembling;adụrụpadụrụshaking and trembling;adarpunito cause to tremble, admonish, rebuke",Dravidian etymology,,,,,,,,,For Kan. adal- cf.*adaḷ-.,,,0137,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=121&root=config
aḍikai,"to pound, beat; to kill","aṇepunito push, strike against;darpunito thrash, beat, strike, break;dartele,darpelea striker, breaker;dartelụbreakage, what is broken",Dravidian etymology,,,,,,,,,,,,0077,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=68&root=config
"aḍavu, aḍāvu",to approach; to reach,"aḍepuni,aḍevunito roost, perch;aṭṭunito put",Dravidian etymology,,,,,,,,,,,,0079,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=70&root=config
aŋgai,inside,aŋgārụsole of the foot,Dravidian etymology,,,,,,,,,,,,0007,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=6&root=config
agapuni,to spread,"agapāvunito send away, cause to depart;agelabreadth; (B-K.)agelụto go apart, widen",Dravidian etymology,,,,,,,,,"The auslaut-al- on SDR grounds at least - forms part of the root (Tamilālam< dial.*agalam; Todaoxinox ɨn-, etc. may be a contraction from earlier*oxl-<*agal-).",,,0008,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=7&root=config
"agoli, agoḷi",small earthen pot,,Dravidian etymology,,,,,,,,,,,,0009,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=8&root=config
agase-nārụ,common flax,,Dravidian etymology,,,,,,,,,,,,0003,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2&root=config
agase-mara,pea-tree,,Dravidian etymology,,,,,,,,,"Only an old inlaut cluster can account for the correspondences between Tamil and Kannada; the cluster is clearly seen in the Old Indian borrowingagasti-. Some of the Kannada forms (or even all of them) may actually be borrowed from Telugu, which would still leave us with the same correspondence, but between Tamil and Telugu.",,,0005,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4&root=config
"agarụ, agaḷụ",to dig,(B-K.)agateoverturning the soil by spade,Dravidian etymology,,,,,,,,,,,,0011,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=10&root=config
agge,"to sprout, flourish",,Dravidian etymology,,,,,,,,,,,,0015,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=14&root=config
aguruni,"to tremble, fear",,Dravidian etymology,,,,,,,,,,,,0012,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=11&root=config
agilụ,eagle-wood,kari agilụAgallochum,Dravidian etymology,,,,,,,,,"Tamilakkumay point to a more archaic monosyllabic form, but could be a later back formation as well.",,,0013,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=12&root=config
tāyi,mother; woman,,Dravidian etymology,,,,,,,,,,,,0364,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=327&root=config
ayye,father; father's brother,tammaiyaan affectionate form of addressing a younger brother,Dravidian etymology,,,,,,,,,"Just like*t-and-, this root commonly refers to 'father' as an honourable mention. The original meaning differentiation may have been preserved in Kodagu, whereappë= 'father', whileayyë= 'father's brother, male cousin'; none of the other languages present an equally clear picture. The only common PSDR stem is the one in*-n(*ajja-n, pl.*ajja-r).",,,0196,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=175&root=config
"akka, akkè",elder sister,,Dravidian etymology,,,,,,,,,,,,0023,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=20&root=config
"āye, āḷụ, ārụ/ākulụ, avu (obl.ay-), aykuḷu",that,,Dravidian etymology,,,,,,,,,,,,0001,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4686&root=config
