language,filename,entries,unique_words,with_meaning,status
Proto South Dravidian,Proto_South_Dravidian.csv,3563,1716,3544,success
Proto Telugu,Proto_Telugu.csv,3011,1389,3011,success
Proto Dravidian,Proto_Dravidian.csv,2211,1820,2211,success
Proto Gondi Kui,Proto_Gondi_Kui.csv,2154,1062,2152,success
Proto Kolami Gadba,Proto_Kolami_Gadba.csv,2026,995,2018,success
Proto Nilgiri,Proto_Nilgiri.csv,1792,922,1784,success
Proto Kui Kuwi,Proto_Kui_Kuwi.csv,1426,718,1424,success
Tamil,Tamil.csv,1425,1360,1411,success
Proto Gondi,Proto_Gondi.csv,1414,702,1412,success
Kannada,Kannada.csv,1407,1359,1395,success
Telugu,Telugu.csv,1339,1296,1339,success
Konda,Konda.csv,1266,632,1265,success
Malayalam,Malayalam.csv,1207,1170,1200,success
Tulu,Tulu.csv,1174,1159,1168,success
Proto North Dravidian,Proto_North_Dravidian.csv,1104,569,1104,success
Proto Pengo Manda,Proto_Pengo_Manda.csv,822,409,822,success
Kota,Kota.csv,761,755,761,success
Kodagu,Kodagu.csv,660,653,659,success
Toda,Toda.csv,655,649,655,success
Parji,Parji.csv,618,616,615,success
Kui,Kui.csv,493,491,493,success
Kurukh,Kurukh.csv,441,440,441,success
Kolami,Kolami.csv,417,416,415,success
Malto,Malto.csv,413,411,413,success
Naikri,Naikri.csv,379,379,377,success
Pengo,Pengo.csv,374,372,374,success
Brahui,Brahui.csv,371,195,371,success
Koya Gondi,Koya_Gondi.csv,371,370,371,success
Kuwi (Schulze),Kuwi_(Schulze).csv,368,366,368,success
Kuwi (Fitzgerald),Kuwi_(Fitzgerald).csv,367,365,367,success
Kuwi (Israel),Kuwi_(Israel).csv,356,354,356,success
Muria Gondi,Muria_Gondi.csv,353,352,353,success
Maria Gondi,Maria_Gondi.csv,345,344,345,success
Betul Gondi,Betul_Gondi.csv,343,342,343,success
Sunkarametta Kuwi,Sunkarametta_Kuwi.csv,309,307,309,success
Adilabad Gondi,Adilabad_Gondi.csv,305,305,305,success
Salur Gadba,Salur_Gadba.csv,274,274,273,success
Manda,Manda.csv,270,268,270,success
Ollari Gadba,Ollari_Gadba.csv,238,238,237,success
Naiki,Naiki.csv,237,237,236,success
Mandla Gondi (Phailbus),Mandla_Gondi_(Phailbus).csv,213,212,213,success
Maria Gondi (Mitchell),Maria_Gondi_(Mitchell).csv,213,213,213,success
Mandla Gondi (Williamson),Mandla_Gondi_(Williamson).csv,202,202,202,success
Seoni Gondi,Seoni_Gondi.csv,196,196,196,success
Telugu (Krishnamurti),Telugu_(Krishnamurti).csv,188,185,188,success
Kondekor Gadba,Kondekor_Gadba.csv,174,174,174,success
Gommu Gondi,Gommu_Gondi.csv,160,159,160,success
Kinwat Kolami,Kinwat_Kolami.csv,159,159,159,success
Kolami (Setumadhava Rao),Kolami_(Setumadhava_Rao).csv,146,146,146,success
Parja Kuwi,Parja_Kuwi.csv,126,125,126,success
Yeotmal Gondi,Yeotmal_Gondi.csv,120,120,120,success
Poya Gadba,Poya_Gadba.csv,101,101,101,success
Maria Gondi (Lind),Maria_Gondi_(Lind).csv,101,101,101,success
Chindwara Gondi,Chindwara_Gondi.csv,90,90,90,success
Khuttia Kui,Khuttia_Kui.csv,86,86,86,success
Konda (Burrow/Bhattacharya),Konda_(Burrow_Bhattacharya).csv,67,67,67,success
Maria Gondi (Smith),Maria_Gondi_(Smith).csv,58,58,58,success
Kuwi (Mahanti),Kuwi_(Mahanti).csv,49,49,49,success
Tekriya Kuwi,Tekriya_Kuwi.csv,47,47,47,success
Inscriptional Telugu,Inscriptional_Telugu.csv,45,45,45,success
Durg Gondi,Durg_Gondi.csv,38,38,38,success
Chanda Gondi,Chanda_Gondi.csv,36,36,36,success
Dongriya Kuwi,Dongriya_Kuwi.csv,32,32,32,success
Mandla Gondi,Mandla_Gondi.csv,13,13,13,success
Irula,Irula.csv,12,12,12,success
Merolu Telugu,Merolu_Telugu.csv,6,6,6,success
Kasaba,Kasaba.csv,2,2,2,success
